drug_impact	dose	impact_category	assay	avg_precision	no_of_replicates	matching_score
p38 mapk inhibitor	3.33 uM	MOA	Cell Painting	0.0395626325843809	6	0.06569451324189368
dopamine receptor agonist	0.04 uM	MOA	Cell Painting	0.0105402654150846	9	0.0012615748154992347
acetylcholine receptor agonist	0.37 uM	MOA	Cell Painting	0.0105249906998123	8	0.00870744555411801
androgen receptor antagonist	10 uM	MOA	Cell Painting	0.0125198988727346	5	0.03546440864910255
p38 mapk inhibitor	10 uM	MOA	Cell Painting	0.0147986863147118	6	0.048266623999777825
glutamate receptor modulator	0.37 uM	MOA	Cell Painting	0.00176132990031726	3	-0.030184466078948518
akt inhibitor	0.12 uM	MOA	Cell Painting	0.0193089671446591	6	0.04214911802869475
hcv inhibitor	0.12 uM	MOA	Cell Painting	0.00820234615380129	7	0.006637583574801544
cdk inhibitor	0.12 uM	MOA	Cell Painting	0.083638185738079407	7	0.10220626357604508
potassium channel activator	0.04 uM	MOA	Cell Painting	0.0073788283432025	6	-0.00153885531359773
ppar receptor agonist	10 uM	MOA	Cell Painting	0.00999993310236501	3	0.053403527519401146
angiotensin receptor antagonist	10 uM	MOA	Cell Painting	0.00866256857757944	4	0.031275328715616293
nucleoside reverse transcriptase inhibitor	0.37 uM	MOA	Cell Painting	0.00541203818104575	4	0.01506375132967923
atpase inhibitor	1.11 uM	MOA	Cell Painting	0.00416677339784169	3	-0.0020185807673447453
selective serotonin reuptake inhibitor (ssri)	10 uM	MOA	Cell Painting	0.0162808862114765	4	0.1554796030459581
vegfr inhibitor	1.11 uM	MOA	Cell Painting	0.0129892046160443	4	0.04213713709270929
rho associated kinase inhibitor	3.33 uM	MOA	Cell Painting	0.0694682617406285	6	0.06131058446669071
angiotensin receptor antagonist	3.33 uM	MOA	Cell Painting	0.00961907515369616	4	0.04350531128244181
jak inhibitor	0.37 uM	MOA	Cell Painting	0.00601865556460478	5	0.0019921259846971606
alk tyrosine kinase receptor inhibitor	1.11 uM	MOA	Cell Painting	0.00646124803377583	3	0.02212142824990115
prostanoid receptor antagonist	3.33 uM	MOA	Cell Painting	0.00980454779163034	3	-0.018354926387687348
dopamine receptor agonist	0.37 uM	MOA	Cell Painting	0.00819524657661267	9	0.005416440061485461
retinoid receptor agonist	3.33 uM	MOA	Cell Painting	0.0439143075388553	6	0.12030154946775792
dopamine receptor agonist	1.11 uM	MOA	Cell Painting	0.0078707556993656	9	-0.013812924600250933
raf inhibitor	1.11 uM	MOA	Cell Painting	0.0188844655765525	5	0.04073641046180193
ppar receptor agonist|insulin sensitizer	0.37 uM	MOA	Cell Painting	0.00931500456038702	3	-0.012326616999824106
benzodiazepine receptor agonist	10 uM	MOA	Cell Painting	0.00173635374395316	7	-0.006662438311491911
vegfr inhibitor	0.04 uM	MOA	Cell Painting	0.00960625569838439	4	0.007791479094869881
angiotensin receptor antagonist	0.04 uM	MOA	Cell Painting	0.00534627555105345	4	-0.0012266702480597455
bacterial 30s ribosomal subunit inhibitor	1.11 uM	MOA	Cell Painting	0.00408261678226258	5	-0.0060072258476852455
tachykinin antagonist	1.11 uM	MOA	Cell Painting	0.00955929132845751	6	0.02140880000619672
glucosidase inhibitor	0.37 uM	MOA	Cell Painting	0.00192677108865191	3	-0.015682354489457904
fgfr inhibitor|vegfr inhibitor	1.11 uM	MOA	Cell Painting	0.0105332810640268	3	0.051453133110752815
angiotensin converting enzyme inhibitor	0.37 uM	MOA	Cell Painting	0.00947781470692347	8	0.02087433034281681
akt inhibitor	1.11 uM	MOA	Cell Painting	0.157664679260798	6	0.0688066115178018
androgen receptor modulator	3.33 uM	MOA	Cell Painting	0.00632116372198265	3	0.04113667274108962
rna polymerase inhibitor	0.37 uM	MOA	Cell Painting	0.00972043208869585	7	0.011246103941004986
fgfr inhibitor|vegfr inhibitor	0.12 uM	MOA	Cell Painting	0.00774781551328273	3	0.026947958975625803
ppar receptor agonist|insulin sensitizer	1.11 uM	MOA	Cell Painting	0.0118844143761271	3	-0.013523821753011336
p38 mapk inhibitor	0.12 uM	MOA	Cell Painting	0.0278942075485368	6	0.07387812151559196
rna polymerase inhibitor	0.04 uM	MOA	Cell Painting	0.0094718134279555	7	0.014843349451517976
fgfr inhibitor|vegfr inhibitor	3.33 uM	MOA	Cell Painting	0.0136999851899961	3	0.02022394920609347
nfkb pathway inhibitor	0.04 uM	MOA	Cell Painting	0.0061458227992477	4	-0.003903807719018207
free radical scavenger	10 uM	MOA	Cell Painting	0.00511006550540797	4	0.022718444614829053
tachykinin antagonist	3.33 uM	MOA	Cell Painting	0.0281780114816747	6	0.037902263163981056
sterol demethylase inhibitor	0.04 uM	MOA	Cell Painting	0.0131049963223404	7	0.02059483632663678
raf inhibitor	0.12 uM	MOA	Cell Painting	0.0218397719923776	5	0.06145731262250253
sterol demethylase inhibitor	0.37 uM	MOA	Cell Painting	0.0102333318953065	7	0.010594040789085388
dna methyltransferase inhibitor	1.11 uM	MOA	Cell Painting	0.00975733385991692	3	0.06528981009517053
fgfr inhibitor|vegfr inhibitor	10 uM	MOA	Cell Painting	0.016049665389545	3	0.09326568884799458
vegfr inhibitor	0.37 uM	MOA	Cell Painting	0.00915092444932804	4	-0.00950428073609701
acetylcholine receptor agonist	0.12 uM	MOA	Cell Painting	0.00759564227498727	8	-0.008460580434801697
selective serotonin reuptake inhibitor (ssri)	3.33 uM	MOA	Cell Painting	0.00628076923575962	4	0.021773968227500638
angiotensin converting enzyme inhibitor	3.33 uM	MOA	Cell Painting	0.0071580408976687	8	0.003309041572445763
calcineurin inhibitor	10 uM	MOA	Cell Painting	0.108426111561376	3	0.24558281810090285
dna synthesis inhibitor	3.33 uM	MOA	Cell Painting	0.00732881771059522	7	-0.012074530455877702
tachykinin antagonist	10 uM	MOA	Cell Painting	0.0139088472276356	6	0.10246776929416729
bacterial 50s ribosomal subunit inhibitor	0.04 uM	MOA	Cell Painting	0.00662403053297761	5	0.01884359357283811
benzodiazepine receptor agonist	3.33 uM	MOA	Cell Painting	0.00937197626603836	7	0.004733828658195865
ppar receptor agonist|insulin sensitizer	0.04 uM	MOA	Cell Painting	0.00796710449939316	3	0.028111454751268222
sterol demethylase inhibitor	1.11 uM	MOA	Cell Painting	0.0111147301763951	7	0.00469317682022785
prostanoid receptor antagonist	10 uM	MOA	Cell Painting	0.0112384235402606	3	0.058654612317005306
aromatase inhibitor	10 uM	MOA	Cell Painting	0.0143130768605952	3	0.0819360649135572
acetylcholine receptor agonist	0.04 uM	MOA	Cell Painting	0.00812860531472451	8	0.0051423427356670276
angiotensin converting enzyme inhibitor	0.12 uM	MOA	Cell Painting	0.0127037890235314	8	0.021701572298365397
vegfr inhibitor	0.12 uM	MOA	Cell Painting	0.00808748074939499	4	-0.005843555608727715
nitric oxide synthase inhibitor	0.04 uM	MOA	Cell Painting	0.00345742874595214	4	-0.0012199731205503423
tachykinin antagonist	0.37 uM	MOA	Cell Painting	0.00796954542756625	6	0.012061961782597665
bacterial 30s ribosomal subunit inhibitor	10 uM	MOA	Cell Painting	0.00738245812876917	5	0.022206992135046837
reverse transcriptase inhibitor	0.04 uM	MOA	Cell Painting	0.00205583372341844	3	-0.016963328022757605
t-type calcium channel blocker	3.33 uM	MOA	Cell Painting	0.0027487681986909	3	0.008830413083034942
coagulation factor inhibitor	0.12 uM	MOA	Cell Painting	0.00230592317318361	4	-0.03484726712270758
acetylcholine receptor agonist	3.33 uM	MOA	Cell Painting	0.00922517217111567	8	0.005321060941408855
bcl inhibitor	3.33 uM	MOA	Cell Painting	0.0170207142665486	3	0.15299246944170816
retinoid receptor agonist	1.11 uM	MOA	Cell Painting	0.036887822165388	6	0.12693366566435513
nucleoside reverse transcriptase inhibitor	1.11 uM	MOA	Cell Painting	0.00571984526251901	4	0.0012041081750140768
mucolytic agent	1.11 uM	MOA	Cell Painting	0.00222963672090362	3	9.370047679105917e-4
prostanoid receptor antagonist	0.37 uM	MOA	Cell Painting	0.0122726552059108	3	-0.01659676607102603
non-nucleoside reverse transcriptase inhibitor	10 uM	MOA	Cell Painting	0.0332826990060499	4	0.09223350566352287
opioid receptor agonist	0.37 uM	MOA	Cell Painting	0.00389533572266969	3	0.020704194765096627
benzodiazepine receptor agonist	0.12 uM	MOA	Cell Painting	0.0584409246755432	7	0.003899358079700978
cc chemokine receptor antagonist	0.37 uM	MOA	Cell Painting	0.0076679180162583	7	0.01795213974186261
free radical scavenger	1.11 uM	MOA	Cell Painting	0.0032668404404515	4	0.02181169981356171
bacterial 30s ribosomal subunit inhibitor	0.37 uM	MOA	Cell Painting	0.00608253299916747	5	-0.004841677539663375
raf inhibitor	3.33 uM	MOA	Cell Painting	0.00737874997789461	5	0.035704381679682456
angiotensin converting enzyme inhibitor	1.11 uM	MOA	Cell Painting	0.00938774029252414	8	0.010031615133175999
cannabinoid receptor agonist	3.33 uM	MOA	Cell Painting	0.00219252441509827	3	-0.015451549372917475
monoamine oxidase inhibitor	0.12 uM	MOA	Cell Painting	0.00432686056335066	6	-0.004178001166181549
progesterone receptor agonist	0.12 uM	MOA	Cell Painting	0.00840004057576192	7	0.012013501901467903
gamma secretase inhibitor	0.04 uM	MOA	Cell Painting	0.0110425926743128	7	0.024607742402900517
proteasome inhibitor	0.04 uM	MOA	Cell Painting	0.0217137340098983	4	0.06797949632785114
p38 mapk inhibitor	0.04 uM	MOA	Cell Painting	0.0179065324037655	6	0.04250240997049155
progesterone receptor agonist	0.37 uM	MOA	Cell Painting	0.00913797157184944	7	0.038365348968111807
nucleoside reverse transcriptase inhibitor	0.12 uM	MOA	Cell Painting	0.00394245234687183	4	-0.011467483939843669
selective serotonin reuptake inhibitor (ssri)	1.11 uM	MOA	Cell Painting	0.00370261266351928	4	0.01538381513472518
progesterone receptor agonist	0.04 uM	MOA	Cell Painting	0.0104588876507417	7	0.010186804462971022
bacterial 30s ribosomal subunit inhibitor	0.12 uM	MOA	Cell Painting	0.00382490932773698	5	-0.01454523414461522
vasopressin receptor antagonist	10 uM	MOA	Cell Painting	0.00318082225446491	4	-0.0026555309545747904
benzodiazepine receptor agonist	1.11 uM	MOA	Cell Painting	0.00220111717013775	7	0.0014760343966340132
hmgcr inhibitor	1.11 uM	MOA	Cell Painting	0.0086161091653716	5	0.01131766587019979
rna polymerase inhibitor	1.11 uM	MOA	Cell Painting	0.00707975262573327	7	0.008818291036871996
atpase inhibitor	10 uM	MOA	Cell Painting	0.00321814881430633	3	-0.005679608326737542
cc chemokine receptor antagonist	3.33 uM	MOA	Cell Painting	0.00535380838117589	7	-0.001241706872301198
ppar receptor agonist|insulin sensitizer	3.33 uM	MOA	Cell Painting	0.0232108307721721	3	0.12200646098275758
raf inhibitor	0.37 uM	MOA	Cell Painting	0.0256343573241837	5	0.053439415826873
fgfr inhibitor|vegfr inhibitor	0.37 uM	MOA	Cell Painting	0.0074289795115471	3	-0.01654321195663451
p38 mapk inhibitor	0.37 uM	MOA	Cell Painting	0.0711547622863099	6	0.11037639801426861
purinergic receptor antagonist	10 uM	MOA	Cell Painting	0.0029806259314456	3	0.008145483574218905
coagulation factor inhibitor	3.33 uM	MOA	Cell Painting	0.00392109043356945	4	0.015410694006396455
acetylcholine receptor agonist	10 uM	MOA	Cell Painting	0.007343989067114	8	0.017490439047055648
androgen receptor antagonist	3.33 uM	MOA	Cell Painting	0.0203943866777577	5	0.03690189171063647
benzodiazepine receptor agonist	0.04 uM	MOA	Cell Painting	0.0294368581509367	7	0.03129204446054435
prostanoid receptor agonist	0.37 uM	MOA	Cell Painting	0.0115517493713135	3	0.012317864701568397
adenosine receptor antagonist	0.12 uM	MOA	Cell Painting	0.00521104071585726	4	0.010194253557004271
benzodiazepine receptor agonist	0.37 uM	MOA	Cell Painting	0.00378708780004621	7	0.0014631942959892705
tyrosine kinase inhibitor	0.04 uM	MOA	Cell Painting	0.0454019051750743	4	0.02362863281476522
gamma secretase inhibitor	0.12 uM	MOA	Cell Painting	0.00900550746557745	7	0.010392630474405662
integrin antagonist	0.12 uM	MOA	Cell Painting	0.00580614189852532	5	0.001875080956462331
rna polymerase inhibitor	10 uM	MOA	Cell Painting	0.0113099117202358	7	0.01568597296636703
potassium channel activator	0.37 uM	MOA	Cell Painting	0.00969263531112978	6	0.019180740782538012
free radical scavenger	3.33 uM	MOA	Cell Painting	0.00518259475361443	4	0.013513441117425282
hcv inhibitor	3.33 uM	MOA	Cell Painting	0.0172368885285156	7	0.02748984934117188
cc chemokine receptor antagonist	0.12 uM	MOA	Cell Painting	0.00589577765529779	7	-0.006995494884513481
opioid receptor agonist	0.12 uM	MOA	Cell Painting	0.0100333531346123	3	0.04021711579771177
calcineurin inhibitor	0.37 uM	MOA	Cell Painting	0.0216111633856694	3	0.057217703347233084
ppar receptor agonist	1.11 uM	MOA	Cell Painting	0.00664750654989923	3	-8.532812326583077e-4
integrin antagonist	0.37 uM	MOA	Cell Painting	0.00551212546976067	5	0.012903171856926078
raf inhibitor	0.04 uM	MOA	Cell Painting	0.00987271618654034	5	0.02975626497412295
insulin secretagogue	1.11 uM	MOA	Cell Painting	0.00300105052519358	4	-0.002066890858747153
reverse transcriptase inhibitor	10 uM	MOA	Cell Painting	0.00175969373896814	3	-0.039092049806604315
free radical scavenger	0.12 uM	MOA	Cell Painting	0.00311231640656789	4	-0.007935682820329734
free radical scavenger	0.04 uM	MOA	Cell Painting	0.00497084790478371	4	0.021772639580065534
hcv inhibitor	0.04 uM	MOA	Cell Painting	0.011188030626794	7	0.004548277673074514
insulin secretagogue	0.37 uM	MOA	Cell Painting	0.00268153101352113	4	-0.015615920656684712
tyrosine kinase inhibitor	0.37 uM	MOA	Cell Painting	0.00563059237511814	4	0.019406016345652005
retinoid receptor agonist	0.04 uM	MOA	Cell Painting	0.0439020313150249	6	0.11777264412640784
coagulation factor inhibitor	0.37 uM	MOA	Cell Painting	0.0071803622379055	4	0.002758099092294226
estrogen receptor agonist	1.11 uM	MOA	Cell Painting	0.00521397679532912	6	0.00787765083044017
ppar receptor agonist	0.04 uM	MOA	Cell Painting	0.00414155379283948	3	-0.014673691648730015
vitamin d receptor agonist	0.12 uM	MOA	Cell Painting	0.0256132748619547	5	0.07749228640813959
opioid receptor antagonist	0.37 uM	MOA	Cell Painting	0.00439500852171591	4	-0.014602073197822352
acat inhibitor	10 uM	MOA	Cell Painting	0.00614599218145494	3	0.03819405732627611
prostanoid receptor agonist	0.12 uM	MOA	Cell Painting	0.0125256451787064	3	0.07192470219146127
leukotriene receptor antagonist	3.33 uM	MOA	Cell Painting	0.0034175376605583	4	-0.009904449582223205
gaba receptor agonist	10 uM	MOA	Cell Painting	0.00122624156958921	3	0.02249609785594163
vasopressin receptor antagonist	0.37 uM	MOA	Cell Painting	0.00540886735876121	4	0.02449743978909769
nfkb pathway inhibitor	3.33 uM	MOA	Cell Painting	0.0064225915766164	4	0.014628949203964113
parp inhibitor	0.12 uM	MOA	Cell Painting	0.00555759134363761	5	0.01382737047651994
opioid receptor antagonist	0.04 uM	MOA	Cell Painting	0.00545075563644764	4	-0.014102737134859164
rna polymerase inhibitor	3.33 uM	MOA	Cell Painting	0.00833606499020023	7	-0.009631519816981527
glutamate receptor agonist	0.37 uM	MOA	Cell Painting	0.00269591913805574	4	-0.021774293303897907
parp inhibitor	10 uM	MOA	Cell Painting	0.0090319894013142	5	0.01566758072046506
opioid receptor agonist	3.33 uM	MOA	Cell Painting	0.00373817955858115	3	0.016749207633601902
pkc inhibitor	0.12 uM	MOA	Cell Painting	0.00463783693542171	4	0.019838237544547208
jak inhibitor	10 uM	MOA	Cell Painting	0.0195774190742099	5	0.06202464867430396
xiap inhibitor	0.12 uM	MOA	Cell Painting	0.200176366843033	3	0.19114526420984887
retinoid receptor agonist	0.37 uM	MOA	Cell Painting	0.0287970863171319	6	0.10382753042201061
bacterial 50s ribosomal subunit inhibitor	0.37 uM	MOA	Cell Painting	0.00387500197525004	5	-0.00954360100420749
opioid receptor antagonist	10 uM	MOA	Cell Painting	0.0254646140330721	4	0.00835965477724242
vitamin d receptor agonist	0.37 uM	MOA	Cell Painting	0.0256177300723043	5	0.07001542913047432
dna synthesis inhibitor	0.12 uM	MOA	Cell Painting	0.00679545465844172	7	0.005972606793368265
endothelin receptor antagonist	0.04 uM	MOA	Cell Painting	0.003263235490712	4	0.011250236983128853
dna synthesis inhibitor	0.37 uM	MOA	Cell Painting	0.00572561486928644	7	0.0010548328658750434
dna synthesis inhibitor	0.04 uM	MOA	Cell Painting	0.00739746577510525	7	0.003188081188048955
leukotriene receptor antagonist	0.37 uM	MOA	Cell Painting	0.00529161844296337	4	-0.010007611352813823
hiv integrase inhibitor	0.04 uM	MOA	Cell Painting	0.0042813907391223	3	0.03366942422485762
bacterial 50s ribosomal subunit inhibitor	10 uM	MOA	Cell Painting	0.030020466557059	5	-0.006487361224977778
vasopressin receptor antagonist	3.33 uM	MOA	Cell Painting	0.00249924480804387	4	-0.010551282846903532
dna synthesis inhibitor	1.11 uM	MOA	Cell Painting	0.00556647380682061	7	0.007031278726871462
monoamine oxidase inhibitor	10 uM	MOA	Cell Painting	0.00456527889426789	6	-0.004994073837492306
sterol demethylase inhibitor	0.12 uM	MOA	Cell Painting	0.00965998269538661	7	0.013239739527533073
chelating agent	0.37 uM	MOA	Cell Painting	0.00308077438705182	4	1.2207420648514735e-4
non-nucleoside reverse transcriptase inhibitor	1.11 uM	MOA	Cell Painting	0.00617612236789894	4	0.023152893355922334
angiotensin converting enzyme inhibitor	0.04 uM	MOA	Cell Painting	0.0114386949513252	8	0.019951211623272454
monoamine oxidase inhibitor	1.11 uM	MOA	Cell Painting	0.0070545169421636	6	0.002809951363116741
potassium channel activator	0.12 uM	MOA	Cell Painting	0.0137617563264125	6	0.011649252438953992
carbonic anhydrase inhibitor	1.11 uM	MOA	Cell Painting	0.00505630819426911	5	0.017522313180193122
integrin antagonist	0.04 uM	MOA	Cell Painting	0.0110351079888551	5	-0.00843796183850958
parp inhibitor	0.37 uM	MOA	Cell Painting	0.0045063100888563	5	-0.008928537214647017
dna methyltransferase inhibitor	3.33 uM	MOA	Cell Painting	0.00918934862785292	3	0.029543620227601593
leukotriene receptor antagonist	0.04 uM	MOA	Cell Painting	0.00742734701139812	4	0.018417063182151326
angiotensin receptor antagonist	1.11 uM	MOA	Cell Painting	0.00494961750361883	4	0.011832349613833108
nfkb pathway inhibitor	0.37 uM	MOA	Cell Painting	0.00588794099169271	4	0.022569452066465257
potassium channel activator	1.11 uM	MOA	Cell Painting	0.0147674734184963	6	0.015888497077167735
chelating agent	0.12 uM	MOA	Cell Painting	0.00335774531967076	4	-0.04564397606958824
jak inhibitor	3.33 uM	MOA	Cell Painting	0.01674685434819	5	0.04918339869946954
cc chemokine receptor antagonist	10 uM	MOA	Cell Painting	0.00782987098575293	7	0.039382255211086875
ppar receptor agonist	0.12 uM	MOA	Cell Painting	0.00745763754621255	3	0.008318505405985928
calcitonin antagonist	1.11 uM	MOA	Cell Painting	0.00235243117847987	3	-0.061623914309346134
potassium channel activator	10 uM	MOA	Cell Painting	0.00304878653888566	6	-0.0013382309264494284
potassium channel activator	3.33 uM	MOA	Cell Painting	0.00418690026728113	6	0.021867736048255558
cdk inhibitor	0.04 uM	MOA	Cell Painting	0.0355729935408015	7	0.06292101865817265
integrin antagonist	3.33 uM	MOA	Cell Painting	0.0148002141329008	5	-0.009659201450031924
dna synthesis inhibitor	10 uM	MOA	Cell Painting	0.0181875594322579	7	-0.00634772304268108
jak inhibitor	1.11 uM	MOA	Cell Painting	0.00629135986064562	5	0.02474339171798512
hcv inhibitor	1.11 uM	MOA	Cell Painting	0.0147944999948698	7	-0.013347124837080674
dipeptidyl peptidase inhibitor	0.37 uM	MOA	Cell Painting	0.00633134531473215	3	0.01840943036390507
cc chemokine receptor antagonist	1.11 uM	MOA	Cell Painting	0.00972335745699168	7	0.03176031503298254
cholesterol inhibitor	0.37 uM	MOA	Cell Painting	0.00775586530039491	3	0.043201576123825275
hcv inhibitor	0.37 uM	MOA	Cell Painting	0.00956644409044047	7	0.017852313787080444
integrin antagonist	10 uM	MOA	Cell Painting	0.0290377161947097	5	0.03716653570399585
matrix metalloprotease inhibitor	0.37 uM	MOA	Cell Painting	0.00682030715535035	3	-0.023084763416514928
dipeptidyl peptidase inhibitor	0.12 uM	MOA	Cell Painting	0.00474714546104988	3	0.016353499672608636
fungal squalene epoxidase inhibitor	0.12 uM	MOA	Cell Painting	0.00182065908753964	3	-0.04492375490174643
jak inhibitor	0.04 uM	MOA	Cell Painting	0.00793834872494318	5	0.023890698580018275
monoamine oxidase inhibitor	0.04 uM	MOA	Cell Painting	0.00511057760019068	6	-0.001965959558518809
serotonin reuptake inhibitor	10 uM	MOA	Cell Painting	0.00541586767654683	4	0.02367792379202029
akt inhibitor	0.37 uM	MOA	Cell Painting	0.0268187638656474	6	0.06074509457567888
hiv integrase inhibitor	10 uM	MOA	Cell Painting	0.0033979592218366	3	0.015298598959460293
atpase inhibitor	3.33 uM	MOA	Cell Painting	0.00245423900777878	3	-0.0022050476901310997
atp channel blocker	3.33 uM	MOA	Cell Painting	0.0162060052708518	3	0.0141452179291169
hmgcr inhibitor	3.33 uM	MOA	Cell Painting	0.0160245978937694	5	0.004007489660499595
integrin antagonist	1.11 uM	MOA	Cell Painting	0.0049561455326177	5	0.00362809336330135
akt inhibitor	0.04 uM	MOA	Cell Painting	0.0100418773569143	6	0.02062407844320813
monoamine oxidase inhibitor	0.37 uM	MOA	Cell Painting	0.00658525349668322	6	0.006636729811181604
serotonin reuptake inhibitor	1.11 uM	MOA	Cell Painting	0.0045968180540474	4	0.007258923230979879
monoamine oxidase inhibitor	3.33 uM	MOA	Cell Painting	0.00463890184464714	6	-0.013080581132249997
benzodiazepine receptor antagonist	3.33 uM	MOA	Cell Painting	0.00193295783749567	3	-0.01472185194651241
carbonic anhydrase inhibitor	0.12 uM	MOA	Cell Painting	0.00534754912820745	5	0.014596549338035518
nitric oxide synthase inhibitor	0.37 uM	MOA	Cell Painting	0.00369076751366663	4	-0.004821959343298019
carbonic anhydrase inhibitor	3.33 uM	MOA	Cell Painting	0.00566024642381334	5	0.011184119802905932
parp inhibitor	3.33 uM	MOA	Cell Painting	0.00741701063480999	5	-0.010562503084930707
farnesyltransferase inhibitor	10 uM	MOA	Cell Painting	0.00428549641257351	3	0.07678394652096993
adenosine receptor agonist	0.12 uM	MOA	Cell Painting	0.00315605706915874	3	-0.018228040678737338
coagulation factor inhibitor	0.04 uM	MOA	Cell Painting	0.00354303828105127	4	0.02913683354879461
bacterial 50s ribosomal subunit inhibitor	3.33 uM	MOA	Cell Painting	0.0116436002648815	5	0.009046288985084337
lipoxygenase inhibitor	1.11 uM	MOA	Cell Painting	0.0019016839224603	3	-0.015270074878145095
alk tyrosine kinase receptor inhibitor	0.37 uM	MOA	Cell Painting	0.00206566871988396	3	-0.050049101637081206
mineralocorticoid receptor antagonist	10 uM	MOA	Cell Painting	0.0154385285273142	3	0.08695683098503555
endothelin receptor antagonist	10 uM	MOA	Cell Painting	0.00433239908315209	4	0.017011508024096386
purinergic receptor antagonist	0.37 uM	MOA	Cell Painting	0.00122324159021407	3	-0.008489627537127583
opioid receptor agonist	1.11 uM	MOA	Cell Painting	0.00283082685673637	3	0.009531637295294564
aromatase inhibitor	1.11 uM	MOA	Cell Painting	0.0274406830641284	3	0.11443770187037405
estrogen receptor agonist	0.04 uM	MOA	Cell Painting	0.00584635168022065	6	0.021242291489639468
carbonic anhydrase inhibitor	0.04 uM	MOA	Cell Painting	0.00470112207265003	5	0.018438412485437802
adenosine receptor antagonist	3.33 uM	MOA	Cell Painting	0.00388892533162972	4	-0.010807228199724055
retinoid receptor agonist	0.12 uM	MOA	Cell Painting	0.0572548112732753	6	0.13268630630196093
glutamate receptor agonist	1.11 uM	MOA	Cell Painting	0.00380460690172058	4	0.0015532530874868798
pkc inhibitor	10 uM	MOA	Cell Painting	0.00509066093511956	4	0.021522625115036467
mucolytic agent	3.33 uM	MOA	Cell Painting	0.00222104386751094	3	0.010239425706301214
chelating agent	0.04 uM	MOA	Cell Painting	0.00313846961929824	4	0.006284257572448308
glutamate receptor antagonist	3.33 uM	MOA	Cell Painting	0.0077237444316321	5	-0.008956854984722463
hmgcr inhibitor	0.37 uM	MOA	Cell Painting	0.00401109812450873	5	-0.0012859941835832841
glutamate receptor antagonist	0.12 uM	MOA	Cell Painting	0.00951292268322601	5	0.01849846297765298
dipeptidyl peptidase inhibitor	0.04 uM	MOA	Cell Painting	0.00584314821434978	3	0.06256219686757054
opioid receptor antagonist	1.11 uM	MOA	Cell Painting	0.00338137451152725	4	-0.028819952793276187
aromatase inhibitor	0.12 uM	MOA	Cell Painting	0.00871708698497152	3	0.08440498195743115
chelating agent	3.33 uM	MOA	Cell Painting	0.003336389377811	4	-0.010760410784596641
nfkb pathway inhibitor	1.11 uM	MOA	Cell Painting	0.00422413037148823	4	0.024314916432848437
hmgcr inhibitor	0.04 uM	MOA	Cell Painting	0.00668818360225067	5	0.040273443337700866
carbonic anhydrase inhibitor	10 uM	MOA	Cell Painting	0.00461105482528246	5	0.009036682943391347
hiv protease inhibitor	1.11 uM	MOA	Cell Painting	0.00499228097989308	5	-0.003463948192274423
nfkb pathway inhibitor	0.12 uM	MOA	Cell Painting	0.0052421488765144	4	0.01717390890135306
bacterial 30s ribosomal subunit inhibitor	3.33 uM	MOA	Cell Painting	0.00555026816530626	5	0.010244582070125472
vitamin d receptor agonist	0.04 uM	MOA	Cell Painting	0.00807550961861547	5	0.038206611727519726
estrogen receptor agonist	3.33 uM	MOA	Cell Painting	0.00612123420789401	6	0.00544858836115081
bacterial 50s ribosomal subunit inhibitor	1.11 uM	MOA	Cell Painting	0.00375235663474894	5	0.01540788960886782
cholesterol inhibitor	3.33 uM	MOA	Cell Painting	0.00501566944254691	3	0.0013226939046029284
estrogen receptor agonist	0.12 uM	MOA	Cell Painting	0.00760856298122789	6	0.020177965716484354
calcitonin antagonist	3.33 uM	MOA	Cell Painting	0.00175539793199426	3	-0.01498437562104991
fungal squalene epoxidase inhibitor	0.04 uM	MOA	Cell Painting	0.00250489949960426	3	0.019639060421558857
dipeptidyl peptidase inhibitor	3.33 uM	MOA	Cell Painting	0.00430509935856921	3	0.008056479236501064
calcitonin antagonist	0.12 uM	MOA	Cell Painting	0.0030408610876743	3	0.012761190093189927
gaba receptor agonist	0.12 uM	MOA	Cell Painting	0.0028735632183908	3	0.014258805572500099
glutamate receptor antagonist	0.04 uM	MOA	Cell Painting	0.00652242056738354	5	0.011282716042554295
hiv protease inhibitor	10 uM	MOA	Cell Painting	0.00788513696655613	5	0.027878308928575884
ppar receptor agonist	3.33 uM	MOA	Cell Painting	0.00488917224584058	3	-0.0021674942243595117
atpase inhibitor	0.04 uM	MOA	Cell Painting	0.00301370745026552	3	-0.016961038081374096
endothelin receptor antagonist	3.33 uM	MOA	Cell Painting	0.00264640651736715	4	-0.036255818822450644
opioid receptor agonist	0.04 uM	MOA	Cell Painting	0.00438375073169391	3	0.007614872642469804
insulin secretagogue	0.12 uM	MOA	Cell Painting	0.00333487848326098	4	-0.017247053964666876
estrogen receptor agonist	0.37 uM	MOA	Cell Painting	0.00499636753468845	6	-0.01899675028522711
androgen receptor antagonist	0.37 uM	MOA	Cell Painting	0.0112220237992239	5	0.02263277047046939
adenosine receptor antagonist	0.37 uM	MOA	Cell Painting	0.00349605427225527	4	-0.010265247218784784
hiv protease inhibitor	3.33 uM	MOA	Cell Painting	0.00457133362983816	5	0.0015803608784162623
potassium channel blocker	10 uM	MOA	Cell Painting	0.00530837777217399	4	0.05590497173593273
bacterial 50s ribosomal subunit inhibitor	0.12 uM	MOA	Cell Painting	0.00760794547872142	5	-0.020298779064869918
