assay	compound	moa	dose	well	no_of_replicates_per_compound	median_replicate_correlation_compound	p_value_compound	no_of_compounds_per_moa	median_replicate_correlation_moa	p_value_moa
Cell Painting	felbinac	cyclooxygenase inhibitor	0.12 uM	P17	5	0.023653645489276	0.414	27	0.010191237151493292	0.241
Cell Painting	felodipine	calcium channel blocker	0.12 uM	G11	5	0.0117052824085835	0.35	15	-0.003119600673337827	0.967
Cell Painting	fenobam	glutamate receptor antagonist	0.12 uM	O17	5	0.0298543153549066	0.147	5	0.01849846297765298	0.291
Cell Painting	fenoterol	adrenergic receptor agonist	0.12 uM	I05	5	0.0250314243994377	0.188	20	0.002574939720989639	0.838
Cell Painting	fenticonazole	bacterial cell wall synthesis inhibitor	0.12 uM	N23	5	0.0555873041301205	0.119	14	7.836360066157877e-4	0.836
Cell Painting	fexofenadine	histamine receptor antagonist	0.12 uM	L11	5	0.0213560661733739	0.131	24	0.007805857062870054	0.446
Cell Painting	fiacitabine	dna synthesis inhibitor	0.12 uM	L23	5	0.0869335729290604	0.007	7	0.005972606793368265	0.545
Cell Painting	fidarestat	aldose reductase inhibitor	0.12 uM	G11	5	0.0161485104850877	0.245	NA	NA	NA
Cell Painting	fidaxomicin	rna polymerase inhibitor	0.12 uM	D17	5	0.0648590358459799	0.002	7	0.021337385157429094	0.139
Cell Painting	filgotinib	jak inhibitor	0.12 uM	H17	5	0.0545887867827381	0.002	5	-0.0027960426662788124	0.736
Cell Painting	finasteride	5 alpha reductase inhibitor	0.12 uM	A17	5	0.0900464106499856	0.011	NA	NA	NA
Cell Painting	fipronil	NA	0.12 uM	O23	5	0.0403186870515239	0.265	NA	NA	NA
Cell Painting	firategrast	integrin antagonist	0.12 uM	L05	5	0.0541907531621512	0.005	5	0.001875080956462331	0.651
Cell Painting	flavoxate	acetylcholine receptor antagonist	0.12 uM	H17	5	0.0069233170357664	0.399	21	0.013668237501608511	0.095
Cell Painting	flecainide	sodium channel blocker	0.12 uM	I05	5	0.0408836052500151	0.029	11	0.008714371629934058	0.42
Cell Painting	floxuridine	dna synthesis inhibitor	0.12 uM	P17	5	0.765446973432748	0	7	0.005972606793368265	0.545
Cell Painting	fluconazole	sterol demethylase inhibitor	0.12 uM	G23	5	0.0890306018359155	0	7	0.013239739527533073	0.33
Cell Painting	fludarabine-phosphate	NA	0.12 uM	K23	5	0.12438460276487	0.031	NA	NA	NA
Cell Painting	fludroxycortide	glucocorticoid receptor agonist	0.12 uM	N11	5	0.5193133838531406	0	14	0.3459664919953673	0
Cell Painting	flumatinib	bcr-abl kinase inhibitor	0.12 uM	F05	5	0.0996084110059833	0	NA	NA	NA
Cell Painting	flumazenil	benzodiazepine receptor antagonist	0.12 uM	M05	5	0.0379148669274388	0.148	3	0.008617892807301361	0.449
Cell Painting	fluocinonide	glucocorticoid receptor agonist	0.12 uM	P11	5	0.6134622043668227	0	14	0.3459664919953673	0
Cell Painting	fluorometholone	glucocorticoid receptor agonist	0.12 uM	G05	5	0.69686636377857325	0	14	0.3459664919953673	0
Cell Painting	fluorouracil	NA	0.12 uM	J23	5	0.0968154321261665	0	NA	NA	NA
Cell Painting	fluoxetine	selective serotonin reuptake inhibitor (ssri)	0.12 uM	A17	5	0.0542673150935827	0.073	4	0.009244456736093844	0.473
Cell Painting	fluphenazine	dopamine receptor antagonist	0.12 uM	K23	5	0.0892621182665114	0.063	19	-0.001498395727189042	0.965
Cell Painting	fluspirilene	dopamine receptor antagonist	0.12 uM	L11	5	0.0514999604471015	0.002	19	-0.001498395727189042	0.965
Cell Painting	flutamide	androgen receptor antagonist	0.12 uM	A23	5	0.0151196885834394	0.724	5	0.019625191308108435	0.27
Cell Painting	fluticasone	glucocorticoid receptor agonist	0.12 uM	B23	5	0.4236991132576748	0	14	0.3459664919953673	0
Cell Painting	flutrimazole	sterol demethylase inhibitor	0.12 uM	B17	4	0.1023585060904699	0	7	0.013239739527533073	0.33
Cell Painting	fluvoxamine	selective serotonin reuptake inhibitor (ssri)	0.12 uM	H17	5	5.279298733481e-4	0.562	4	0.009244456736093844	0.473
Cell Painting	folic-acid	NA	0.12 uM	O23	5	0.0863416729713911	0.008	NA	NA	NA
Cell Painting	fomepizole	alcohol dehydrogenase inhibitor	0.12 uM	F05	5	0.0304140657672114	0.096	NA	NA	NA
Cell Painting	fomocaine	NA	0.12 uM	B17	5	0.0356230144914987	0.111	NA	NA	NA
Cell Painting	foretinib	vegfr inhibitor	0.12 uM	P23	4	0.6504730775788421	0.003	4	-0.005843555608727715	0.754
Cell Painting	formestane	aromatase inhibitor	0.12 uM	O17	5	0.2112062246686187	0	3	0.08440498195743115	0.006
Cell Painting	formoterol	adrenergic receptor agonist	0.12 uM	I17	5	0.0099134098468474	0.612	20	0.002574939720989639	0.838
Cell Painting	forskolin	NA	0.12 uM	J11	5	0.0344492912726418	0.036	NA	NA	NA
Cell Painting	fosfomycin	bacterial cell wall synthesis inhibitor	0.12 uM	I23	5	0.0888004029572983	0	14	7.836360066157877e-4	0.836
Cell Painting	fostamatinib	NA	0.12 uM	D23	5	0.0778833166696048	0.004	NA	NA	NA
Cell Painting	fpl-62064	NA	0.12 uM	M11	5	0.1114501679256554	0	NA	NA	NA
Cell Painting	ftorafur	thymidylate synthase inhibitor	0.12 uM	O11	5	0.0321701341117198	0.092	NA	NA	NA
Cell Painting	fulvestrant	estrogen receptor antagonist	0.12 uM	O11	4	0.0777446827881332	0.002	NA	NA	NA
Cell Painting	fusidic-acid	bacterial 30s ribosomal subunit inhibitor	0.12 uM	L17	5	0.0347254618492191	0.075	5	-0.01454523414461522	0.898
Cell Painting	gabapentin	calcium channel blocker	0.12 uM	M23	5	0.5100213348419831	0	15	-0.003119600673337827	0.967
Cell Painting	galeterone	androgen receptor modulator	0.12 uM	A17	5	0.0294939558118555	0.319	3	0.027854223122429897	0.204
Cell Painting	ganaxolone	gaba receptor modulator	0.12 uM	H23	5	0.0303452656561659	0.396	4	0.032117700545090645	0.127
Cell Painting	gatifloxacin	bacterial dna gyrase inhibitor	0.12 uM	B11	5	0.0348690213152244	0.059	11	0.002880721731251867	0.7
Cell Painting	gdc-0068	akt inhibitor	0.12 uM	I11	5	0.0280929081481829	0.065	6	0.04214911802869475	0.024
Cell Painting	gdc-0152	xiap inhibitor	0.12 uM	M05	5	0.2282680638542239	0	3	0.19114526420984887	0.001
Cell Painting	gdc-0199	bcl inhibitor	0.12 uM	G05	5	0.0571851309630494	0.004	3	0.013295509986185729	0.375
Cell Painting	gdc-0834	bruton's tyrosine kinase (btk) inhibitor	0.12 uM	H11	5	0.0291414272815983	0.059	NA	NA	NA
Cell Painting	gefitinib	egfr inhibitor	0.12 uM	H17	5	0.0431865569097288	0.01	13	0.10843464893653823	0
Cell Painting	gemcitabine	ribonucleotide reductase inhibitor	0.12 uM	N17	5	0.6487812071330392	0	NA	NA	NA
Cell Painting	gemfibrozil	NA	0.12 uM	M23	5	0.1136129489208281	0.67	NA	NA	NA
Cell Painting	gemifloxacin	bacterial dna gyrase inhibitor	0.12 uM	H23	2	-0.0327995094946664	0.923	11	0.002880721731251867	0.7
Cell Painting	genz-644282	topoisomerase inhibitor	0.12 uM	E05	5	0.6918917269296354	0	15	0.009568127793505467	0.376
Cell Painting	gestrinone	progesterone receptor antagonist	0.12 uM	P17	5	0.1882024623328319	0	NA	NA	NA
Cell Painting	gimeracil	NA	0.12 uM	N17	5	0.0384940460351142	0.028	NA	NA	NA
Cell Painting	ginkgolide-b	NA	0.12 uM	F17	5	0.0211836990776608	0.247	NA	NA	NA
Cell Painting	glasdegib	NA	0.12 uM	L05	5	0.0432800184480302	0.034	NA	NA	NA
Cell Painting	gliclazide	NA	0.12 uM	P05	5	0.0331430279906807	0.205	NA	NA	NA
Cell Painting	glimepiride	insulin secretagogue	0.12 uM	K23	5	0.0334294694027895	0.59	4	-0.017247053964666876	0.888
Cell Painting	glipizide	sulfonylurea	0.12 uM	B17	5	0.1340257902498891	0	NA	NA	NA
Cell Painting	gliquidone	sulfonylurea	0.12 uM	B17	5	0.043854369834351	0.049	NA	NA	NA
Cell Painting	glycitein	tumor necrosis factor release inhibitor	0.12 uM	M17	5	0.0477653229531261	0.007	NA	NA	NA
Cell Painting	glycopyrrolate	acetylcholine receptor antagonist	0.12 uM	N23	5	0.1172576442018191	0	21	0.013668237501608511	0.095
Cell Painting	golvatinib	vegfr inhibitor	0.12 uM	F17	5	0.0391872700003141	0.042	4	-0.005843555608727715	0.754
Cell Painting	goserelin-acetate	gonadotropin releasing factor hormone receptor agonist	0.12 uM	L23	5	0.041561060849867	0.235	NA	NA	NA
Cell Painting	granisetron	serotonin receptor antagonist	0.12 uM	M11	5	0.0158239943550558	0.286	12	0.0035545129942511308	0.668
Cell Painting	grazoprevir	hcv inhibitor	0.12 uM	N11	5	0.0284654157431989	0.104	7	0.006637583574801544	0.53
Cell Painting	griseofulvin	tubulin inhibitor	0.12 uM	C05	5	0.0351888098674411	0.027	8	0.03941576045631294	0.006
Cell Painting	gsk1292263	glucose-dependent insulinotropic receptor (gdir, gpr119) agonists	0.12 uM	G23	5	0.1059171572465149	0	NA	NA	NA
Cell Painting	gsk2110183	akt inhibitor	0.12 uM	A11	5	0.0846692022432936	0.003	6	0.04214911802869475	0.024
Cell Painting	gsk256066	phosphodiesterase inhibitor	0.12 uM	B23	2	-0.0300099315568831	0.917	28	0.013802077576337054	0.076
Cell Painting	gsk2636771	pi3k inhibitor	0.12 uM	K17	5	0.0466365385513943	0.009	7	-0.022786382351160185	0.998
Cell Painting	guanabenz	adrenergic receptor agonist	0.12 uM	E05	5	0.0352021721079441	0.045	20	0.002574939720989639	0.838
Cell Painting	guanadrel	adrenergic inhibitor	0.12 uM	J23	5	0.0549903272828832	0.054	NA	NA	NA
Cell Painting	guanethidine	adrenergic inhibitor	0.12 uM	D11	5	0.0194490079062186	0.151	NA	NA	NA
Cell Painting	gw842166	cannabinoid receptor agonist	0.12 uM	B11	5	0.0143789310205926	0.414	3	0.0026348997515119052	0.549
Cell Painting	halcinonide	glucocorticoid receptor agonist	0.12 uM	C05	5	0.3802899952092416	0	14	0.3459664919953673	0
Cell Painting	haloperidol	dopamine receptor antagonist	0.12 uM	N11	5	0.1382979469038694	0	19	-0.001498395727189042	0.965
Cell Painting	hc-030031	NA	0.12 uM	G11	5	0.0366002435360109	0.021	NA	NA	NA
Cell Painting	hesperidin	NA	0.12 uM	F17	5	-0.0012010186383503	0.77	NA	NA	NA
Cell Painting	hexachlorophene	potassium channel activator	0.12 uM	M23	5	0.3584617922175537	0.019	6	0.011649252438953992	0.37
Cell Painting	histamine	histamine receptor agonist	0.12 uM	H17	4	0.0742576562607617	0	NA	NA	NA
Cell Painting	homochlorcyclizine	NA	0.12 uM	J05	5	0.0555958696840026	0.005	NA	NA	NA
Cell Painting	homoharringtonine	protein synthesis inhibitor	0.12 uM	L11	5	0.6767657419175828	0	6	0.010323748559372693	0.408
Cell Painting	honokiol	akt inhibitor	0.12 uM	A23	5	0.1424744749027492	0	6	0.04214911802869475	0.024
Cell Painting	hydrocortisone	glucocorticoid receptor agonist	0.12 uM	E23	5	0.4515607036467432	0	14	0.3459664919953673	0
Cell Painting	hydroxyurea	ribonucleoside reductase inhibitor	0.12 uM	C17	5	0.0548106720611163	0.014	NA	NA	NA
Cell Painting	hymecromone	monoamine oxidase inhibitor	0.12 uM	E17	5	0.0442495764097539	0.033	6	-0.004178001166181549	0.774
Cell Painting	hypericin	tyrosine kinase inhibitor	0.12 uM	M17	5	0.0301110390757352	0.089	4	0.01972969029961438	0.278
Cell Painting	i-bet-762	NA	0.12 uM	A23	5	0.1505820071074822	0	NA	NA	NA
Cell Painting	ib-meca	adenosine receptor agonist	0.12 uM	B11	5	0.001729572003534	0.714	3	-0.018228040678737338	0.814
Cell Painting	ibrutinib	NA	0.12 uM	G23	5	0.2813681196827575	0	NA	NA	NA
Cell Painting	ibudilast	NA	0.12 uM	E11	5	0.061288762415803	0.001	NA	NA	NA
Cell Painting	ibuprofen	cyclooxygenase inhibitor	0.12 uM	L17	5	0.0603595167960641	0.008	27	0.010191237151493292	0.241
Cell Painting	ibutamoren	growth hormone secretagogue receptor agonist	0.12 uM	C05	5	0.0027252259766075	0.564	NA	NA	NA
Cell Painting	ici-162846	histamine receptor antagonist	0.12 uM	M17	5	0.0326802421515377	0.071	24	0.007805857062870054	0.446
Cell Painting	ici-185,282	thromboxane receptor antagonist	0.12 uM	J05	5	0.0641600849127873	0	NA	NA	NA
Cell Painting	ici-192605	thromboxane receptor antagonist	0.12 uM	K23	5	0.1458049192711721	0.02	NA	NA	NA
Cell Painting	idalopirdine	serotonin receptor antagonist	0.12 uM	N23	5	0.0510756706089297	0.159	12	0.0035545129942511308	0.668
Cell Painting	idelalisib	pi3k inhibitor	0.12 uM	I05	5	0.1021811597734372	0	7	-0.022786382351160185	0.998
Cell Painting	idoxuridin	dna synthesis inhibitor	0.12 uM	M17	5	0.0990400720853066	0	7	0.005972606793368265	0.545
Cell Painting	ifosfamide	dna alkylating agent	0.12 uM	P05	5	0.0685756799645599	0.002	NA	NA	NA
Cell Painting	iguratimod	NA	0.12 uM	O23	5	0.2244898564743958	0	NA	NA	NA
Cell Painting	ilomastat	matrix metalloprotease inhibitor	0.12 uM	D05	5	0.0222464983535274	0.184	3	-0.010173642091950808	0.741
Cell Painting	imatinib	NA	0.12 uM	A23	5	0.0361488852527339	0.314	NA	NA	NA
Cell Painting	imexon	NA	0.12 uM	N11	5	0.0411295242983533	0.016	NA	NA	NA
Cell Painting	imiloxan	adrenergic receptor antagonist	0.12 uM	M05	5	0.04050304266836	0.119	31	0.009110430087823206	0.307
Cell Painting	imipramine	NA	0.12 uM	E05	2	-0.0049968410035326	0.624	NA	NA	NA
Cell Painting	imiquimod	NA	0.12 uM	E11	5	0.0367155495185473	0.05	NA	NA	NA
Cell Painting	indacaterol	adrenergic receptor agonist	0.12 uM	E17	5	0.0284554600531688	0.169	20	0.002574939720989639	0.838
Cell Painting	indapamide	NA	0.12 uM	G05	5	0.0241856995279688	0.227	NA	NA	NA
Cell Painting	indibulin	tubulin inhibitor	0.12 uM	G23	5	0.2838356593664491	0	8	0.03941576045631294	0.006
Cell Painting	indinavir	hiv protease inhibitor	0.12 uM	H11	5	0.0335742046042361	0.03	5	0.02086456316240371	0.253
Cell Painting	indiplon	NA	0.12 uM	I05	5	0.0200997658104704	0.286	NA	NA	NA
Cell Painting	indirubin	NA	0.12 uM	M11	5	0.1558800281364843	0	NA	NA	NA
Cell Painting	indobufen	NA	0.12 uM	E05	5	0.0889336390320645	0	NA	NA	NA
Cell Painting	indole	NA	0.12 uM	H23	4	0.0868972869588894	0.002	NA	NA	NA
Cell Painting	indoprofen	cyclooxygenase inhibitor|prostanoid receptor antagonist	0.12 uM	O17	2	0.0458319855624712	0.231	4	0.02264842068430893	0.225
Cell Painting	indoramin	adrenergic receptor antagonist	0.12 uM	I23	5	0.0530396724385622	0.052	31	0.009110430087823206	0.307
Cell Painting	ingenol-mebutate	NA	0.12 uM	D23	5	0.7438554745177084	0	NA	NA	NA
Cell Painting	iniparib	parp inhibitor	0.12 uM	P05	5	0.0868570612715161	0	5	0.01382737047651994	0.379
Cell Painting	inosine	neurotrophic agent	0.12 uM	J23	5	0.0540794780329115	0.063	NA	NA	NA
Cell Painting	inositol	insulin sensitizer	0.12 uM	P05	5	0.0716086596019326	0	NA	NA	NA
Cell Painting	iowh032	NA	0.12 uM	L23	5	0.0331770838359486	0.38	NA	NA	NA
Cell Painting	ipratropium	acetylcholine receptor antagonist	0.12 uM	L17	5	0.0338021596120892	0.08	21	0.013668237501608511	0.095
Cell Painting	ipriflavone	NA	0.12 uM	E17	5	0.033902004641963	0.104	NA	NA	NA
Cell Painting	irinotecan	topoisomerase inhibitor	0.12 uM	C17	5	0.0641640839830869	0.006	15	0.009568127793505467	0.376
Cell Painting	isbufylline	phosphodiesterase inhibitor	0.12 uM	I23	5	0.0929485133526516	0	28	0.013802077576337054	0.076
Cell Painting	isoconazole	NA	0.12 uM	E05	5	0.0028137037223493	0.616	NA	NA	NA
Cell Painting	isofloxythepin	dopamine receptor antagonist	0.12 uM	P11	5	0.0313911394034593	0.458	19	-0.001498395727189042	0.965
Cell Painting	isosorbide	nitric oxide stimulant	0.12 uM	F05	5	0.0173750219819744	0.269	NA	NA	NA
Cell Painting	isradipine	calcium channel blocker	0.12 uM	D05	5	0.0146515698427281	0.329	15	-0.003119600673337827	0.967
Cell Painting	istaroxime	atpase inhibitor	0.12 uM	K17	5	0.0312648021386817	0.055	3	-0.019006712526523337	0.82
Cell Painting	itopride	dopamine receptor antagonist	0.12 uM	M11	5	0.0321064599238854	0.041	19	-0.001498395727189042	0.965
Cell Painting	ivabradine	NA	0.12 uM	B23	5	0.056828191942484	0.104	NA	NA	NA
Cell Painting	ivacaftor	NA	0.12 uM	F23	5	0.1177376308343468	0	NA	NA	NA
Cell Painting	ivermectin	gaba receptor agonist	0.12 uM	J23	5	0.065579490319388	0.015	3	0.014258805572500099	0.364
Cell Painting	ixabepilone	NA	0.12 uM	B11	5	0.4300004206582279	0	NA	NA	NA
Cell Painting	josamycin	NA	0.12 uM	D05	5	0.0428835327587799	0.01	NA	NA	NA
Cell Painting	kakonein	NA	0.12 uM	O23	5	0.1200165897339862	0.001	NA	NA	NA
Cell Painting	kbg	NA	0.12 uM	B23	4	0.0391726056263698	0.381	NA	NA	NA
Cell Painting	kd-023	acat inhibitor	0.12 uM	L23	5	0.0968014577316756	0.003	3	0.02324071030893521	0.247
Cell Painting	kd025	rho associated kinase inhibitor	0.12 uM	C17	5	0.0132836159369775	0.609	6	-0.0012029208477313258	0.706
Cell Painting	ketoconazole	sterol demethylase inhibitor	0.12 uM	L23	5	0.0622804304173559	0.047	7	0.013239739527533073	0.33
Cell Painting	ketoprofen	cyclooxygenase inhibitor	0.12 uM	O17	5	-0.0061737282690248	0.861	27	0.010191237151493292	0.241
Cell Painting	ketorolac	cyclooxygenase inhibitor	0.12 uM	H11	2	-0.0488291151447684	0.913	27	0.010191237151493292	0.241
Cell Painting	ketotifen	NA	0.12 uM	C17	5	0.0430775773064655	0.069	NA	NA	NA
Cell Painting	kpt-330	NA	0.12 uM	E17	5	0.5491170820913217	0	NA	NA	NA
Cell Painting	kw-2449	NA	0.12 uM	K23	5	0.1311833435809663	0.028	NA	NA	NA
Cell Painting	kw-2478	hsp inhibitor	0.12 uM	J05	2	0.0851212513368334	0.064	5	0.06179563575806861	0.004
Cell Painting	kx2-391	NA	0.12 uM	F23	5	0.5425875694491749	0	NA	NA	NA
Cell Painting	l-citrulline	nitric oxide stimulant	0.12 uM	B23	5	0.1611247569358861	0.002	NA	NA	NA
Cell Painting	l-ergothioneine	free radical scavenger	0.12 uM	P05	5	0.0705761544710511	0	4	-0.007935682820329734	0.787
Cell Painting	l-name	nitric oxide synthase inhibitor	0.12 uM	G05	5	0.0882376760502557	0	4	-0.026674686968229326	0.958
Cell Painting	labetalol	adrenergic receptor antagonist	0.12 uM	N17	5	0.0355602666953033	0.039	31	0.009110430087823206	0.307
Cell Painting	lacitol	NA	0.12 uM	K17	5	0.0575666800528864	0.001	NA	NA	NA
Cell Painting	lacosamide	NA	0.12 uM	C05	5	0.0278746887995247	0.066	NA	NA	NA
Cell Painting	lafutidine	histamine receptor antagonist	0.12 uM	P23	5	0.5337323919786938	0.04	24	0.007805857062870054	0.446
Cell Painting	lamivudine	nucleoside reverse transcriptase inhibitor	0.12 uM	N11	4	0.024971725787491	0.203	4	-0.011467483939843669	0.83
Cell Painting	lamotrigine	NA	0.12 uM	E11	5	0.0130689651025983	0.403	NA	NA	NA
Cell Painting	lapatinib	NA	0.12 uM	D11	5	0.1102301130863151	0	NA	NA	NA
Cell Painting	lasalocid	NA	0.12 uM	P05	5	0.0862585045387992	0	NA	NA	NA
Cell Painting	latanoprost	prostanoid receptor agonist	0.12 uM	N05	5	0.0417925291673395	0.074	3	0.07192470219146127	0.018
Cell Painting	lcl-161	xiap inhibitor	0.12 uM	D05	5	0.2942872918319461	0	3	0.19114526420984887	0.001
Cell Painting	ledipasvir	hcv inhibitor	0.12 uM	E23	5	0.0585150183339687	0.093	7	0.006637583574801544	0.53
Cell Painting	leflunomide	NA	0.12 uM	M23	5	0.1577690762851493	0.481	NA	NA	NA
Cell Painting	lenalidomide	NA	0.12 uM	N05	5	0.1041960181766092	0	NA	NA	NA
Cell Painting	lenvatinib	NA	0.12 uM	G05	2	0.1098593850350483	0.019	NA	NA	NA
Cell Painting	lerisetron	serotonin receptor antagonist	0.12 uM	E17	5	0.0282936785098055	0.172	12	0.0035545129942511308	0.668
Cell Painting	lersivirine	non-nucleoside reverse transcriptase inhibitor	0.12 uM	P11	4	0.0702475569695651	0.045	4	0.0021657386916383607	0.614
Cell Painting	lestaurtinib	NA	0.12 uM	G05	5	0.5718818564340373	0	NA	NA	NA
Cell Painting	letermovir	NA	0.12 uM	L11	5	0.0300833504217942	0.041	NA	NA	NA
Cell Painting	levalbuterol	adrenergic receptor agonist	0.12 uM	L11	5	0.0496513049844367	0.002	20	0.002574939720989639	0.838
Cell Painting	levamisole	acetylcholine receptor agonist	0.12 uM	O23	5	0.0689708302671027	0.032	8	-0.008460580434801697	0.93
Cell Painting	levcromakalim	NA	0.12 uM	G05	5	0.0122753482170567	0.502	NA	NA	NA
Cell Painting	levetiracetam	calcium channel blocker	0.12 uM	P11	5	0.075022521053336	0.007	15	-0.003119600673337827	0.967
Cell Painting	levobunolol	adrenergic receptor antagonist	0.12 uM	C17	5	0.1296000448048641	0	31	0.009110430087823206	0.307
Cell Painting	levocabastine	histamine receptor antagonist	0.12 uM	H23	5	0.0752233053295436	0.002	24	0.007805857062870054	0.446
Cell Painting	levocetirizine	histamine receptor antagonist	0.12 uM	O23	5	0.0287489353141132	0.483	24	0.007805857062870054	0.446
Cell Painting	levofloxacin	bacterial dna gyrase inhibitor	0.12 uM	H23	5	0.0422124361708722	0.177	11	0.002880721731251867	0.7
Cell Painting	levomequitazine	histamine receptor antagonist	0.12 uM	N05	5	0.0670093294935341	0.002	24	0.007805857062870054	0.446
Cell Painting	levonorgestrel	NA	0.12 uM	G05	5	0.1731494234458921	0	NA	NA	NA
Cell Painting	levosimendan	NA	0.12 uM	N17	4	0.0240419070618139	0.212	NA	NA	NA
Cell Painting	levothyroxine	NA	0.12 uM	H05	5	0.0130701977198981	0.486	NA	NA	NA
Cell Painting	lgx818	raf inhibitor	0.12 uM	A23	5	0.3736519330180637	0	5	0.06145731262250253	0.004
Cell Painting	licochalcone-a	topoisomerase inhibitor	0.12 uM	D11	5	0.02910310023681	0.053	15	0.009568127793505467	0.376
Cell Painting	lidamidine	adrenergic receptor agonist	0.12 uM	D23	5	0.0464647588678813	0.114	20	0.002574939720989639	0.838
Cell Painting	lidocaine	histamine receptor agonist	0.12 uM	F17	5	0.0513093606061832	0.006	NA	NA	NA
Cell Painting	lidoflazine	calcium channel blocker	0.12 uM	H05	5	0.0625799128777727	0.001	15	-0.003119600673337827	0.967
Cell Painting	linezolid	bacterial 50s ribosomal subunit inhibitor	0.12 uM	M23	5	0.4786556254894571	0.001	5	-0.020298779064869918	0.958
Cell Painting	linifanib	pdgfr tyrosine kinase receptor inhibitor|vegfr inhibitor	0.12 uM	N17	5	0.019798092784094	0.235	NA	NA	NA
Cell Painting	linopirdine	potassium channel blocker	0.12 uM	K17	5	0.0444841698544528	0.01	4	-0.006436368341822162	0.768
Cell Painting	linsidomine	nitric oxide donor	0.12 uM	P11	5	0.0887676136456761	0.002	NA	NA	NA
Cell Painting	linsitinib	NA	0.12 uM	F17	5	0.1481163884159751	0	NA	NA	NA
Cell Painting	liranaftate	fungal squalene epoxidase inhibitor	0.12 uM	N23	5	0.0874318178735685	0.001	3	-0.04492375490174643	0.974
Cell Painting	lisinopril	angiotensin converting enzyme inhibitor	0.12 uM	A17	5	0.0829158925155964	0.018	8	0.021701572298365397	0.106
Cell Painting	lisofylline	NA	0.12 uM	E17	5	0.0237164980354618	0.267	NA	NA	NA
Cell Painting	lobenzarit	immunosuppressant	0.12 uM	B17	5	0.0543908341863288	0.012	NA	NA	NA
Cell Painting	lodoxamide	histamine receptor antagonist	0.12 uM	K17	5	0.0098398042252026	0.396	24	0.007805857062870054	0.446
Cell Painting	lofexidine	adrenergic receptor agonist	0.12 uM	M11	4	0.0211679747306887	0.223	20	0.002574939720989639	0.838
Cell Painting	lomeguatrib	o6-alkylguanine-dna alkyltransferase inhibitor	0.12 uM	H11	5	0.0134562712012164	0.257	NA	NA	NA
Cell Painting	lomerizine	calcium channel blocker	0.12 uM	F17	5	0.0351776397168112	0.062	15	-0.003119600673337827	0.967
Cell Painting	lomitapide	NA	0.12 uM	C17	5	0.0783551165847085	0.001	NA	NA	NA
Cell Painting	lonafarnib	farnesyltransferase inhibitor	0.12 uM	P17	5	0.2456503463142283	0	3	0.017165625928597716	0.326
Cell Painting	lonidamine	NA	0.12 uM	N11	5	0.0343499705582979	0.053	NA	NA	NA
Cell Painting	loperamide	opioid receptor agonist	0.12 uM	O17	5	0.0325732763814713	0.112	3	0.04021711579771177	0.106
Cell Painting	lopinavir	hiv protease inhibitor	0.12 uM	P11	5	0.0578977737986024	0.065	5	0.02086456316240371	0.253
Cell Painting	loratadine	histamine receptor antagonist	0.12 uM	G11	5	0.0317870028521338	0.045	24	0.007805857062870054	0.446
Cell Painting	lorazepam	NA	0.12 uM	B11	5	0.1011064352830615	0	NA	NA	NA
Cell Painting	lorcaserin	NA	0.12 uM	K17	5	0.0280809342029164	0.069	NA	NA	NA
Cell Painting	lorglumide	cck receptor antagonist	0.12 uM	F17	5	0.0349463035273205	0.065	4	-0.014075143003676814	0.859
Cell Painting	losmapimod	p38 mapk inhibitor	0.12 uM	D05	5	0.0726041329826938	0	6	0.07387812151559196	0
Cell Painting	loxoprofen	cyclooxygenase inhibitor|prostanoid receptor antagonist	0.12 uM	N11	2	0.0651431888131599	0.092	4	0.02264842068430893	0.225
Cell Painting	lucitanib	fgfr inhibitor|vegfr inhibitor	0.12 uM	B17	5	0.0410241135185581	0.061	3	0.026947958975625803	0.21
Cell Painting	luliconazole	sterol demethylase inhibitor	0.12 uM	L11	5	0.0471897624051412	0.003	7	0.013239739527533073	0.33
Cell Painting	lupanine	sodium channel blocker	0.12 uM	D05	5	0.0068334504829539	0.5	11	0.008714371629934058	0.42
Cell Painting	lurasidone	dopamine receptor antagonist|serotonin receptor antagonist	0.12 uM	A17	5	0.0526125298096287	0.083	9	0.01801473453050567	0.155
Cell Painting	lx1031	NA	0.12 uM	D23	5	0.0723286074865659	0.005	NA	NA	NA
Cell Painting	ly215490	glutamate receptor antagonist	0.12 uM	P11	5	0.0460789149230129	0.175	5	0.01849846297765298	0.291
Cell Painting	ly2228820	p38 mapk inhibitor	0.12 uM	G05	5	0.1319278100675611	0	6	0.07387812151559196	0
Cell Painting	ly2334737	NA	0.12 uM	D23	5	0.1006801581883515	0	NA	NA	NA
Cell Painting	ly2784544	jak inhibitor	0.12 uM	M23	5	0.1333442575633853	0.582	5	-0.0027960426662788124	0.736
Cell Painting	ly2811376	beta-secretase inhibitor	0.12 uM	F17	5	0.006644849279852	0.594	NA	NA	NA
Cell Painting	ly2874455	NA	0.12 uM	J11	5	0.8183515164170263	0	NA	NA	NA
Cell Painting	ly2886721	beta-secretase inhibitor	0.12 uM	N17	5	0.0442612209512394	0.015	NA	NA	NA
Cell Painting	macitentan	endothelin receptor antagonist	0.12 uM	P05	5	0.0855983403750955	0	4	-0.030542727866339513	0.971
Cell Painting	malotilate	protein synthesis stimulant	0.12 uM	P17	5	0.0244744710282607	0.392	3	0.016091925818279108	0.34
