moa	no_of_replicates	dose	matching_score	assay	p_value	pass_thresh	neg_log_10_p_val
matrix metalloprotease inhibitor	3	1.11 uM	0.0089867332007183	Cell Painting	0.443	FALSE	0.3535962737769304
mdm inhibitor	3	1.11 uM	0.07533133661257488	Cell Painting	0.027	TRUE	1.5686362358410126
mek inhibitor	8	1.11 uM	0.37847732277633084	Cell Painting	0	TRUE	3.5
microtubule inhibitor	3	1.11 uM	0.029150626204889833	Cell Painting	0.2	FALSE	0.6989700043360187
mineralocorticoid receptor antagonist	3	1.11 uM	0.03840157930359636	Cell Painting	0.139	FALSE	0.8569851997459049
monoamine oxidase inhibitor	6	1.11 uM	0.002809951363116741	Cell Painting	0.621	FALSE	0.20690839982341983
mtor inhibitor	6	1.11 uM	0.3099254511122797	Cell Painting	0	TRUE	3.5
mtor inhibitor|pi3k inhibitor	4	1.11 uM	0.2153633513097417	Cell Painting	0.001	TRUE	3
mucolytic agent	3	1.11 uM	9.370047679105917e-4	Cell Painting	0.556	FALSE	0.2549252084179425
nfkb pathway inhibitor	4	1.11 uM	0.024314916432848437	Cell Painting	0.202	FALSE	0.6946486305533762
nitric oxide synthase inhibitor	4	1.11 uM	-0.002163270731596582	Cell Painting	0.662	FALSE	0.17914201056030005
non-nucleoside reverse transcriptase inhibitor	4	1.11 uM	0.023152893355922334	Cell Painting	0.219	FALSE	0.6595558851598816
nucleoside reverse transcriptase inhibitor	4	1.11 uM	0.0012041081750140768	Cell Painting	0.597	FALSE	0.22402566887063094
opioid receptor agonist	3	1.11 uM	0.009531637295294564	Cell Painting	0.433	FALSE	0.36351210364663455
opioid receptor antagonist	4	1.11 uM	-0.028819952793276187	Cell Painting	0.955	FALSE	0.019996628416253676
p38 mapk inhibitor	6	1.11 uM	0.11025151411155866	Cell Painting	0	TRUE	3.5
parp inhibitor	5	1.11 uM	0.022095759302299352	Cell Painting	0.19	FALSE	0.721246399047171
phosphodiesterase inhibitor	28	1.11 uM	0.010289807960808386	Cell Painting	0.135	FALSE	0.8696662315049939
pi3k inhibitor	7	1.11 uM	0.011255625206844075	Cell Painting	0.337	FALSE	0.47237009912866135
pkc inhibitor	4	1.11 uM	0.05700080974872822	Cell Painting	0.015	TRUE	1.8239087409443189
plk inhibitor	4	1.11 uM	0.6029968875628768	Cell Painting	0	TRUE	3.5
potassium channel activator	6	1.11 uM	0.015888497077167735	Cell Painting	0.262	FALSE	0.5816987086802545
potassium channel blocker	4	1.11 uM	-0.020060383606818145	Cell Painting	0.906	FALSE	0.042871802323186915
ppar receptor agonist	3	1.11 uM	-8.532812326583077e-4	Cell Painting	0.58	FALSE	0.23657200643706275
ppar receptor agonist|insulin sensitizer	3	1.11 uM	-0.013523821753011336	Cell Painting	0.756	FALSE	0.12147820449879346
progesterone receptor agonist	7	1.11 uM	0.021806628208777788	Cell Painting	0.108	FALSE	0.9665762445130504
prostanoid receptor agonist	3	1.11 uM	0.06496448788906382	Cell Painting	0.038	TRUE	1.4202164033831899
prostanoid receptor antagonist	3	1.11 uM	-0.045819123935141634	Cell Painting	0.96	FALSE	0.017728766960431602
proteasome inhibitor	4	1.11 uM	0.5107888402056746	Cell Painting	0	TRUE	3.5
protein synthesis inhibitor	6	1.11 uM	0.008003162587566094	Cell Painting	0.476	FALSE	0.32239304727950685
protein synthesis stimulant	3	1.11 uM	0.03463372621239261	Cell Painting	0.157	FALSE	0.8041003475907662
purinergic receptor antagonist	3	1.11 uM	0.00788956365860757	Cell Painting	0.457	FALSE	0.34008379993014975
raf inhibitor	5	1.11 uM	0.04073641046180193	Cell Painting	0.032	TRUE	1.494850021680094
retinoid receptor agonist	6	1.11 uM	0.12693366566435513	Cell Painting	0	TRUE	3.5
reverse transcriptase inhibitor	3	1.11 uM	-0.007472958762483828	Cell Painting	0.677	FALSE	0.16941133131485567
rho associated kinase inhibitor	6	1.11 uM	0.027524734303150177	Cell Painting	0.09	FALSE	1.0457574905606752
rna polymerase inhibitor	7	1.11 uM	0.008818291036871996	Cell Painting	0.424	FALSE	0.37263414340726736
selective serotonin reuptake inhibitor (ssri)	4	1.11 uM	0.01538381513472518	Cell Painting	0.324	FALSE	0.48945498979338786
serotonin receptor agonist	12	1.11 uM	0.013444101206658388	Cell Painting	0.162	FALSE	0.790484985457369
serotonin receptor agonist|serotonin receptor antagonist	3	1.11 uM	0.03455800309914472	Cell Painting	0.157	FALSE	0.8041003475907662
serotonin receptor antagonist	12	1.11 uM	0.01045527046947995	Cell Painting	0.282	FALSE	0.549750891680639
serotonin reuptake inhibitor	4	1.11 uM	0.007258923230979879	Cell Painting	0.476	FALSE	0.32239304727950685
sigma receptor antagonist	3	1.11 uM	0.008739271579235184	Cell Painting	0.444	FALSE	0.3526170298853802
sodium channel blocker	11	1.11 uM	0.004393529337698099	Cell Painting	0.624	FALSE	0.20481541031757602
sterol demethylase inhibitor	7	1.11 uM	0.00469317682022785	Cell Painting	0.561	FALSE	0.25103713874383854
t-type calcium channel blocker	3	1.11 uM	0.012534195732485664	Cell Painting	0.402	FALSE	0.3957739469155299
tachykinin antagonist	6	1.11 uM	0.02140880000619672	Cell Painting	0.162	FALSE	0.790484985457369
topoisomerase inhibitor	15	1.11 uM	0.019936129707703205	Cell Painting	0.025	TRUE	1.6020599913279623
tubulin inhibitor	8	1.11 uM	0.10136753869467127	Cell Painting	0	TRUE	3.5
tyrosine kinase inhibitor	4	1.11 uM	-0.019902358772729556	Cell Painting	0.904	FALSE	0.04383156952463668
vasopressin receptor antagonist	4	1.11 uM	-0.03859208890218218	Cell Painting	0.986	FALSE	0.0061230850587887945
vegfr inhibitor	4	1.11 uM	0.04213713709270929	Cell Painting	0.053	FALSE	1.275724130399211
vitamin d receptor agonist	5	1.11 uM	0.0851189560168148	Cell Painting	0.002	TRUE	2.6989700043360187
xanthine oxidase inhibitor	3	1.11 uM	-0.045013341318203545	Cell Painting	0.959	FALSE	0.018181392829336417
xiap inhibitor	3	1.11 uM	0.23679435655426992	Cell Painting	0	TRUE	3.5
acat inhibitor	3	3.33 uM	-0.10149004542821634	Cell Painting	0.999	FALSE	4.345117740176917e-4
acetylcholine receptor agonist	8	3.33 uM	0.005321060941408855	Cell Painting	0.522	FALSE	0.28232949699773785
acetylcholine receptor antagonist	21	3.33 uM	0.0018287949872760776	Cell Painting	0.842	FALSE	0.07468790850035051
adenosine receptor agonist	3	3.33 uM	0.0034734524644758746	Cell Painting	0.538	FALSE	0.2692177243336108
adenosine receptor antagonist	4	3.33 uM	-0.010807228199724055	Cell Painting	0.822	FALSE	0.08512818245994963
adrenergic receptor agonist	20	3.33 uM	0.0060439453744752375	Cell Painting	0.528	FALSE	0.27736607746618774
adrenergic receptor antagonist	31	3.33 uM	0.005774187425717837	Cell Painting	0.597	FALSE	0.22402566887063094
akt inhibitor	6	3.33 uM	0.013857602029719028	Cell Painting	0.327	FALSE	0.4854522473397139
alk tyrosine kinase receptor inhibitor	3	3.33 uM	0.10646183680339674	Cell Painting	0.008	TRUE	2.0969100130080562
androgen receptor agonist	3	3.33 uM	0.22081544230178954	Cell Painting	0.001	TRUE	3
androgen receptor antagonist	5	3.33 uM	0.03690189171063647	Cell Painting	0.046	TRUE	1.337242168318426
androgen receptor modulator	3	3.33 uM	0.04113667274108962	Cell Painting	0.125	FALSE	0.9030899869919435
angiotensin converting enzyme inhibitor	8	3.33 uM	0.003309041572445763	Cell Painting	0.59	FALSE	0.22914798835785583
angiotensin receptor antagonist	4	3.33 uM	0.04350531128244181	Cell Painting	0.059	FALSE	1.2291479883578558
aromatase inhibitor	3	3.33 uM	0.13972026456139594	Cell Painting	0.005	TRUE	2.3010299956639813
atp channel blocker	3	3.33 uM	0.0141452179291169	Cell Painting	0.384	FALSE	0.4156687756324692
atpase inhibitor	3	3.33 uM	-0.0022050476901310997	Cell Painting	0.601	FALSE	0.22112552799726048
bacterial 30s ribosomal subunit inhibitor	5	3.33 uM	0.010244582070125472	Cell Painting	0.404	FALSE	0.393618634889395
bacterial 50s ribosomal subunit inhibitor	5	3.33 uM	0.009046288985084337	Cell Painting	0.427	FALSE	0.36957212497497616
bacterial cell wall synthesis inhibitor	14	3.33 uM	-5.288581874951482e-4	Cell Painting	0.87	FALSE	0.060480747381381476
bacterial dna gyrase inhibitor	11	3.33 uM	0.004686199872204572	Cell Painting	0.606	FALSE	0.21752737583371382
bcl inhibitor	3	3.33 uM	0.15299246944170816	Cell Painting	0.002	TRUE	2.6989700043360187
benzodiazepine receptor agonist	7	3.33 uM	0.004733828658195865	Cell Painting	0.561	FALSE	0.25103713874383854
benzodiazepine receptor antagonist	3	3.33 uM	-0.01472185194651241	Cell Painting	0.748	FALSE	0.12609840213553863
calcineurin inhibitor	3	3.33 uM	0.14888710965696814	Cell Painting	0.003	TRUE	2.5228787452803374
calcitonin antagonist	3	3.33 uM	-0.01498437562104991	Cell Painting	0.753	FALSE	0.12320502379929942
calcium channel blocker	15	3.33 uM	0.023505009428523575	Cell Painting	0.006	TRUE	2.221848749616356
cannabinoid receptor agonist	3	3.33 uM	-0.015451549372917475	Cell Painting	0.756	FALSE	0.12147820449879346
carbonic anhydrase inhibitor	5	3.33 uM	0.011184119802905932	Cell Painting	0.38	FALSE	0.42021640338318983
cc chemokine receptor antagonist	7	3.33 uM	-0.001241706872301198	Cell Painting	0.744	FALSE	0.1284270644541213
cck receptor antagonist	4	3.33 uM	-0.024375456015390057	Cell Painting	0.947	FALSE	0.0236500209967266
cdk inhibitor	7	3.33 uM	0.21741848197441696	Cell Painting	0	TRUE	3.5
chelating agent	4	3.33 uM	-0.010760410784596641	Cell Painting	0.821	FALSE	0.08565684288055925
cholesterol inhibitor	3	3.33 uM	0.0013226939046029284	Cell Painting	0.561	FALSE	0.25103713874383854
coagulation factor inhibitor	4	3.33 uM	0.015410694006396455	Cell Painting	0.331	FALSE	0.48017200622428124
cyclooxygenase inhibitor	27	3.33 uM	4.176112750408031e-4	Cell Painting	0.963	FALSE	0.0163737128754655
cyclooxygenase inhibitor|prostanoid receptor antagonist	4	3.33 uM	8.78788985418032e-4	Cell Painting	0.616	FALSE	0.21041928783557454
dipeptidyl peptidase inhibitor	3	3.33 uM	0.008056479236501064	Cell Painting	0.459	FALSE	0.33818731446273875
dna inhibitor	5	3.33 uM	0.021875809816109582	Cell Painting	0.186	FALSE	0.7304870557820837
dna methyltransferase inhibitor	3	3.33 uM	0.029543620227601593	Cell Painting	0.219	FALSE	0.6595558851598816
dna polymerase inhibitor	3	3.33 uM	-0.03605647222561616	Cell Painting	0.931	FALSE	0.031050319018657353
dna synthesis inhibitor	7	3.33 uM	-0.012074530455877702	Cell Painting	0.941	FALSE	0.026410376572743116
dopamine receptor agonist	9	3.33 uM	1.2691680461350292e-4	Cell Painting	0.775	FALSE	0.1106982974936897
dopamine receptor antagonist	19	3.33 uM	0.01808917997718743	Cell Painting	0.022	TRUE	1.6575773191777938
dopamine receptor antagonist|serotonin receptor antagonist	9	3.33 uM	0.02764991523683695	Cell Painting	0.024	TRUE	1.6197887582883939
egfr inhibitor	13	3.33 uM	0.1302955749488086	Cell Painting	0	TRUE	3.5
endothelin receptor antagonist	4	3.33 uM	-0.036255818822450644	Cell Painting	0.989	FALSE	0.004803708402820599
estrogen receptor agonist	6	3.33 uM	0.00544858836115081	Cell Painting	0.563	FALSE	0.24949160514865382
farnesyltransferase inhibitor	3	3.33 uM	0.09395082192165755	Cell Painting	0.011	TRUE	1.958607314841775
fgfr inhibitor|vegfr inhibitor	3	3.33 uM	0.02022394920609347	Cell Painting	0.311	FALSE	0.5072396109731625
free radical scavenger	4	3.33 uM	0.013513441117425282	Cell Painting	0.358	FALSE	0.44611697335612566
fungal squalene epoxidase inhibitor	3	3.33 uM	0.02492551083180449	Cell Painting	0.267	FALSE	0.5734887386354247
gaba receptor agonist	3	3.33 uM	0.009067494071703147	Cell Painting	0.445	FALSE	0.3516399890190684
gaba receptor modulator	4	3.33 uM	0.02631463279670475	Cell Painting	0.177	FALSE	0.7520267336381934
gamma secretase inhibitor	7	3.33 uM	0.0751515696075187	Cell Painting	0	TRUE	3.5
glucocorticoid receptor agonist	14	3.33 uM	0.3672822242462069	Cell Painting	0	TRUE	3.5
glucosidase inhibitor	3	3.33 uM	-0.014969403989408362	Cell Painting	0.752	FALSE	0.12378215940835775
glutamate receptor agonist	4	3.33 uM	-0.018242051237622306	Cell Painting	0.905	FALSE	0.043351420794796675
glutamate receptor antagonist	5	3.33 uM	-0.008956854984722463	Cell Painting	0.82	FALSE	0.08618614761628333
glutamate receptor modulator	3	3.33 uM	-0.04610520748742154	Cell Painting	0.97	FALSE	0.01322826573375516
hcv inhibitor	7	3.33 uM	0.02748984934117188	Cell Painting	0.057	FALSE	1.2441251443275085
hdac inhibitor	13	3.33 uM	0.07193794099318841	Cell Painting	0	TRUE	3.5
histamine receptor antagonist	24	3.33 uM	0.005990784191788863	Cell Painting	0.566	FALSE	0.24718356881172862
hiv integrase inhibitor	3	3.33 uM	0.02501632999059241	Cell Painting	0.266	FALSE	0.575118363368933
hiv protease inhibitor	5	3.33 uM	0.0015803608784162623	Cell Painting	0.596	FALSE	0.22475374025976358
hmgcr inhibitor	5	3.33 uM	0.004007489660499595	Cell Painting	0.547	FALSE	0.2620126736665692
hsp inhibitor	5	3.33 uM	0.3674167692548067	Cell Painting	0	TRUE	3.5
insulin secretagogue	4	3.33 uM	0.009312162647102076	Cell Painting	0.444	FALSE	0.3526170298853802
integrin antagonist	5	3.33 uM	-0.009659201450031924	Cell Painting	0.827	FALSE	0.08249449044745336
jak inhibitor	5	3.33 uM	0.04918339869946954	Cell Painting	0.012	TRUE	1.9208187539523751
leukotriene receptor antagonist	4	3.33 uM	-0.009904449582223205	Cell Painting	0.806	FALSE	0.09366495819490933
lipoxygenase inhibitor	3	3.33 uM	0.052240127705078215	Cell Painting	0.071	FALSE	1.1487416512809248
matrix metalloprotease inhibitor	3	3.33 uM	0.08360263141126342	Cell Painting	0.016	TRUE	1.7958800173440752
mdm inhibitor	3	3.33 uM	0.21144117110341992	Cell Painting	0.001	TRUE	3
mek inhibitor	8	3.33 uM	0.4099457923183255	Cell Painting	0	TRUE	3.5
microtubule inhibitor	3	3.33 uM	0.056338532564118644	Cell Painting	0.056	FALSE	1.2518119729937995
mineralocorticoid receptor antagonist	3	3.33 uM	0.041880810094181625	Cell Painting	0.123	FALSE	0.91009488856060206
monoamine oxidase inhibitor	6	3.33 uM	-0.013080581132249997	Cell Painting	0.932	FALSE	0.030584087646018613
mtor inhibitor	6	3.33 uM	0.3046217619111401	Cell Painting	0	TRUE	3.5
mtor inhibitor|pi3k inhibitor	4	3.33 uM	0.22968911305125414	Cell Painting	0	TRUE	3.5
mucolytic agent	3	3.33 uM	0.010239425706301214	Cell Painting	0.431	FALSE	0.3655227298392684
nfkb pathway inhibitor	4	3.33 uM	0.014628949203964113	Cell Painting	0.349	FALSE	0.45717457304082015
nitric oxide synthase inhibitor	4	3.33 uM	-0.0022686884324865635	Cell Painting	0.672	FALSE	0.17263072694617473
non-nucleoside reverse transcriptase inhibitor	4	3.33 uM	-0.006747004244242167	Cell Painting	0.744	FALSE	0.1284270644541213
nucleoside reverse transcriptase inhibitor	4	3.33 uM	0.006697956327044831	Cell Painting	0.496	FALSE	0.30451832350980257
opioid receptor agonist	3	3.33 uM	0.016749207633601902	Cell Painting	0.354	FALSE	0.4509967379742122
opioid receptor antagonist	4	3.33 uM	-0.02065729824332577	Cell Painting	0.923	FALSE	0.03479829897408793
p38 mapk inhibitor	6	3.33 uM	0.06569451324189368	Cell Painting	0.001	TRUE	3
parp inhibitor	5	3.33 uM	-0.010562503084930707	Cell Painting	0.841	FALSE	0.07520400420208784
phosphodiesterase inhibitor	28	3.33 uM	0.010500959998663968	Cell Painting	0.146	FALSE	0.835647144215563
pi3k inhibitor	7	3.33 uM	0.03010766296535572	Cell Painting	0.043	TRUE	1.3665315444204136
pkc inhibitor	4	3.33 uM	-0.014270667559646968	Cell Painting	0.87	FALSE	0.060480747381381476
plk inhibitor	4	3.33 uM	0.6414705469931521	Cell Painting	0	TRUE	3.5
potassium channel activator	6	3.33 uM	0.021867736048255558	Cell Painting	0.157	FALSE	0.8041003475907662
potassium channel blocker	4	3.33 uM	0.010520926873968038	Cell Painting	0.419	FALSE	0.3777859770337047
ppar receptor agonist	3	3.33 uM	-0.0021674942243595117	Cell Painting	0.601	FALSE	0.22112552799726048
ppar receptor agonist|insulin sensitizer	3	3.33 uM	0.12200646098275758	Cell Painting	0.006	TRUE	2.221848749616356
progesterone receptor agonist	7	3.33 uM	0.06676430643153139	Cell Painting	0	TRUE	3.5
prostanoid receptor agonist	3	3.33 uM	0.03672559334278031	Cell Painting	0.156	FALSE	0.8068754016455384
prostanoid receptor antagonist	3	3.33 uM	-0.018354926387687348	Cell Painting	0.794	FALSE	0.10017949757290372
proteasome inhibitor	4	3.33 uM	0.5364523492969862	Cell Painting	0	TRUE	3.5
protein synthesis inhibitor	6	3.33 uM	0.017966851343081586	Cell Painting	0.223	FALSE	0.6516951369518393
protein synthesis stimulant	3	3.33 uM	0.01425113883061719	Cell Painting	0.384	FALSE	0.4156687756324692
purinergic receptor antagonist	3	3.33 uM	0.009184553233903532	Cell Painting	0.444	FALSE	0.3526170298853802
raf inhibitor	5	3.33 uM	0.035704381679682456	Cell Painting	0.052	FALSE	1.2839966563652008
retinoid receptor agonist	6	3.33 uM	0.12030154946775792	Cell Painting	0	TRUE	3.5
reverse transcriptase inhibitor	3	3.33 uM	-0.059695954883372516	Cell Painting	0.99	FALSE	0.004364805402450088
rho associated kinase inhibitor	6	3.33 uM	0.06131058446669071	Cell Painting	0.002	TRUE	2.6989700043360187
rna polymerase inhibitor	7	3.33 uM	-0.009631519816981527	Cell Painting	0.907	FALSE	0.04239271293990473
selective serotonin reuptake inhibitor (ssri)	4	3.33 uM	0.021773968227500638	Cell Painting	0.234	FALSE	0.6307841425898572
serotonin receptor agonist	12	3.33 uM	-0.005574086033830939	Cell Painting	0.968	FALSE	0.014124642691606345
serotonin receptor agonist|serotonin receptor antagonist	3	3.33 uM	0.06493828753369112	Cell Painting	0.037	TRUE	1.431798275933005
serotonin receptor antagonist	12	3.33 uM	0.006649004513709474	Cell Painting	0.482	FALSE	0.31695296176115045
serotonin reuptake inhibitor	4	3.33 uM	0.019422729390641588	Cell Painting	0.264	FALSE	0.5783960731301689
sigma receptor antagonist	3	3.33 uM	0.06613251280951576	Cell Painting	0.033	TRUE	1.4814860601221125
sodium channel blocker	11	3.33 uM	0.011900570047136327	Cell Painting	0.266	FALSE	0.575118363368933
sterol demethylase inhibitor	7	3.33 uM	0.003776430138688478	Cell Painting	0.591	FALSE	0.22841251911874466
t-type calcium channel blocker	3	3.33 uM	0.008830413083034942	Cell Painting	0.45	FALSE	0.3467874862246563
tachykinin antagonist	6	3.33 uM	0.037902263163981056	Cell Painting	0.025	TRUE	1.6020599913279623
topoisomerase inhibitor	15	3.33 uM	0.014873162632232215	Cell Painting	0.069	FALSE	1.1611509092627446
tubulin inhibitor	8	3.33 uM	0.3050076376240948	Cell Painting	0	TRUE	3.5
tyrosine kinase inhibitor	4	3.33 uM	-0.0015461630212602654	Cell Painting	0.66	FALSE	0.1804560644581313
vasopressin receptor antagonist	4	3.33 uM	-0.010551282846903532	Cell Painting	0.818	FALSE	0.08724669632867703
vegfr inhibitor	4	3.33 uM	0.022516870429509058	Cell Painting	0.227	FALSE	0.6439741428068773
vitamin d receptor agonist	5	3.33 uM	0.11928249473066979	Cell Painting	0	TRUE	3.5
xanthine oxidase inhibitor	3	3.33 uM	-0.008808068739261597	Cell Painting	0.69	FALSE	0.16115090926274472
xiap inhibitor	3	3.33 uM	0.26595047838829705	Cell Painting	0.001	TRUE	3
acat inhibitor	3	10 uM	0.03819405732627611	Cell Painting	0.279	FALSE	0.5543957967264024
acetylcholine receptor agonist	8	10 uM	0.017490439047055648	Cell Painting	0.449	FALSE	0.3477536589966768
acetylcholine receptor antagonist	21	10 uM	0.02600397434062479	Cell Painting	0.104	FALSE	0.9829666607012196
adenosine receptor agonist	3	10 uM	0.010341219232296849	Cell Painting	0.544	FALSE	0.26440110030182007
adenosine receptor antagonist	4	10 uM	0.04162152620298877	Cell Painting	0.19	FALSE	0.721246399047171
adrenergic receptor agonist	20	10 uM	0.008378001810730645	Cell Painting	0.886	FALSE	0.05256627811294924
adrenergic receptor antagonist	31	10 uM	0.017612812912331202	Cell Painting	0.419	FALSE	0.3777859770337047
akt inhibitor	6	10 uM	0.1139619401503426	Cell Painting	0	TRUE	3.5
alk tyrosine kinase receptor inhibitor	3	10 uM	0.1249325894935218	Cell Painting	0.024	TRUE	1.6197887582883939
androgen receptor agonist	3	10 uM	0.15547618806653532	Cell Painting	0.009	TRUE	2.0457574905606752
androgen receptor antagonist	5	10 uM	0.03546440864910255	Cell Painting	0.185	FALSE	0.7328282715969862
androgen receptor modulator	3	10 uM	0.06186349451413379	Cell Painting	0.137	FALSE	0.8632794328435932
angiotensin converting enzyme inhibitor	8	10 uM	0.0019817849294583418	Cell Painting	0.834	FALSE	0.0788339493622613
angiotensin receptor antagonist	4	10 uM	0.031275328715616293	Cell Painting	0.285	FALSE	0.5451551399914898
aromatase inhibitor	3	10 uM	0.0819360649135572	Cell Painting	0.081	FALSE	1.0915149811213503
atp channel blocker	3	10 uM	0.006994234075790476	Cell Painting	0.577	FALSE	0.2388241868442686
atpase inhibitor	3	10 uM	-0.005679608326737542	Cell Painting	0.731	FALSE	0.13608262304213956
bacterial 30s ribosomal subunit inhibitor	5	10 uM	0.022206992135046837	Cell Painting	0.376	FALSE	0.42481215507233894
bacterial 50s ribosomal subunit inhibitor	5	10 uM	-0.006487361224977778	Cell Painting	0.855	FALSE	0.06803388527182737
bacterial cell wall synthesis inhibitor	14	10 uM	0.026447421218431865	Cell Painting	0.165	FALSE	0.7825160557860937
bacterial dna gyrase inhibitor	11	10 uM	0.04159872374755771	Cell Painting	0.032	TRUE	1.494850021680094
bcl inhibitor	3	10 uM	0.1814500466252116	Cell Painting	0.005	TRUE	2.3010299956639813
benzodiazepine receptor agonist	7	10 uM	-0.006662438311491911	Cell Painting	0.943	FALSE	0.02548830726267165
benzodiazepine receptor antagonist	3	10 uM	-0.0016056396508218585	Cell Painting	0.687	FALSE	0.16304326294044955
calcineurin inhibitor	3	10 uM	0.24558281810090285	Cell Painting	0.002	TRUE	2.6989700043360187
calcitonin antagonist	3	10 uM	0.0934762076291658	Cell Painting	0.061	FALSE	1.214670164989233
calcium channel blocker	15	10 uM	0.03409558425633424	Cell Painting	0.051	FALSE	1.2924298239020637
cannabinoid receptor agonist	3	10 uM	-0.024013931759099435	Cell Painting	0.882	FALSE	0.054531414868180264
carbonic anhydrase inhibitor	5	10 uM	0.009036682943391347	Cell Painting	0.603	FALSE	0.2196826878598487
cc chemokine receptor antagonist	7	10 uM	0.039382255211086875	Cell Painting	0.12	FALSE	0.9208187539523752
cck receptor antagonist	4	10 uM	0.003661881304248489	Cell Painting	0.674	FALSE	0.17134010346468015
cdk inhibitor	7	10 uM	0.26606586473658284	Cell Painting	0	TRUE	3.5
chelating agent	4	10 uM	0.009894917041201337	Cell Painting	0.574	FALSE	0.2410881076020265
cholesterol inhibitor	3	10 uM	0.04214527888464872	Cell Painting	0.242	FALSE	0.6161846340195687
coagulation factor inhibitor	4	10 uM	0.03098009689571763	Cell Painting	0.29	FALSE	0.5376020021010439
cyclooxygenase inhibitor	27	10 uM	0.008501636504501696	Cell Painting	0.922	FALSE	0.03526907894637064
cyclooxygenase inhibitor|prostanoid receptor antagonist	4	10 uM	-0.04395359517895368	Cell Painting	0.995	FALSE	0.002176919254274547
dipeptidyl peptidase inhibitor	3	10 uM	0.021159732785548016	Cell Painting	0.439	FALSE	0.35753547975787864
dna inhibitor	5	10 uM	0.024848374065538092	Cell Painting	0.324	FALSE	0.48945498979338786
dna methyltransferase inhibitor	3	10 uM	0.09624379967798553	Cell Painting	0.055	FALSE	1.2596373105057561
dna polymerase inhibitor	3	10 uM	0.02592736056070796	Cell Painting	0.384	FALSE	0.4156687756324692
dna synthesis inhibitor	7	10 uM	-0.00634772304268108	Cell Painting	0.941	FALSE	0.026410376572743116
dopamine receptor agonist	9	10 uM	9.92079786201259e-4	Cell Painting	0.872	FALSE	0.05948351506743278
dopamine receptor antagonist	19	10 uM	0.04939263403638751	Cell Painting	0.003	TRUE	2.5228787452803374
dopamine receptor antagonist|serotonin receptor antagonist	9	10 uM	0.04975950410698836	Cell Painting	0.033	TRUE	1.4814860601221125
egfr inhibitor	13	10 uM	0.12122376088002812	Cell Painting	0	TRUE	3.5
endothelin receptor antagonist	4	10 uM	0.017011508024096386	Cell Painting	0.468	FALSE	0.32975414692587596
estrogen receptor agonist	6	10 uM	0.02550192423347988	Cell Painting	0.286	FALSE	0.543633966870957
farnesyltransferase inhibitor	3	10 uM	0.07678394652096993	Cell Painting	0.089	FALSE	1.0506099933550872
fgfr inhibitor|vegfr inhibitor	3	10 uM	0.09326568884799458	Cell Painting	0.061	FALSE	1.214670164989233
free radical scavenger	4	10 uM	0.022718444614829053	Cell Painting	0.389	FALSE	0.41005039867429227
fungal squalene epoxidase inhibitor	3	10 uM	-0.02199970452512478	Cell Painting	0.871	FALSE	0.059981844992336796
gaba receptor agonist	3	10 uM	0.02249609785594163	Cell Painting	0.422	FALSE	0.37468754903832613
gaba receptor modulator	4	10 uM	0.0446328934483664	Cell Painting	0.165	FALSE	0.7825160557860937
gamma secretase inhibitor	7	10 uM	0.06947029335258507	Cell Painting	0.008	TRUE	2.0969100130080562
glucocorticoid receptor agonist	14	10 uM	0.35110486839552696	Cell Painting	0	TRUE	3.5
glucosidase inhibitor	3	10 uM	0.005791810771330804	Cell Painting	0.602	FALSE	0.22040350874217546
glutamate receptor agonist	4	10 uM	0.019497157849451763	Cell Painting	0.426	FALSE	0.37059040089728107
glutamate receptor antagonist	5	10 uM	-0.0033991088147573246	Cell Painting	0.815	FALSE	0.08884239126002341
glutamate receptor modulator	3	10 uM	0.03832803307604347	Cell Painting	0.277	FALSE	0.5575202309355514
hcv inhibitor	7	10 uM	0.05479664673898017	Cell Painting	0.03	TRUE	1.5228787452803376
hdac inhibitor	13	10 uM	0.07651824844125704	Cell Painting	0.001	TRUE	3
histamine receptor antagonist	24	10 uM	0.016887986405726328	Cell Painting	0.432	FALSE	0.3645162531850879
hiv integrase inhibitor	3	10 uM	0.015298598959460293	Cell Painting	0.486	FALSE	0.3133637307377066
hiv protease inhibitor	5	10 uM	0.027878308928575884	Cell Painting	0.282	FALSE	0.549750891680639
hmgcr inhibitor	5	10 uM	0.0495621730644855	Cell Painting	0.102	FALSE	0.9913998282380825
hsp inhibitor	5	10 uM	0.3227394150762182	Cell Painting	0	TRUE	3.5
insulin secretagogue	4	10 uM	0.044075957832730675	Cell Painting	0.171	FALSE	0.7670038896078462
integrin antagonist	5	10 uM	0.03716653570399585	Cell Painting	0.168	FALSE	0.7746907182741372
jak inhibitor	5	10 uM	0.06202464867430396	Cell Painting	0.05	FALSE	1.3010299956639813
leukotriene receptor antagonist	4	10 uM	0.010656437659679791	Cell Painting	0.567	FALSE	0.24641694110709345
lipoxygenase inhibitor	3	10 uM	-0.031665634252610084	Cell Painting	0.921	FALSE	0.03574036980315106
matrix metalloprotease inhibitor	3	10 uM	0.11287040724138471	Cell Painting	0.035	TRUE	1.4559319556497243
mdm inhibitor	3	10 uM	0.22218662439118134	Cell Painting	0.003	TRUE	2.5228787452803374
mek inhibitor	8	10 uM	0.4296945634488759	Cell Painting	0	TRUE	3.5
microtubule inhibitor	3	10 uM	0.02853102228935584	Cell Painting	0.362	FALSE	0.4412914294668343
