compound	dose	no_of_replicates_per_compound	well	median_replicate_correlation	p_value	assay
suprofen	0.04 uM	5	I18	0.0613124730615604	0.003	Cell Painting
suvorexant	0.04 uM	5	H18	0.022263368142138	0.141	Cell Painting
swainsonine	0.04 uM	5	M24	0.3577720485404078	0.075	Cell Painting
t-5224	0.04 uM	5	C18	0.0352913077570976	0.183	Cell Painting
tacalcitol	0.04 uM	5	L06	0.0586010508373318	0.004	Cell Painting
tacedinaline	0.04 uM	5	E12	0.0294272073360246	0.111	Cell Painting
tacrine	0.04 uM	5	D12	0.0421116810019109	0.005	Cell Painting
tacrolimus	0.04 uM	5	N12	0.0417182902321849	0.023	Cell Painting
tadalafil	0.04 uM	5	E24	0.0461606910388893	0.361	Cell Painting
tafamidis-meglumine	0.04 uM	5	I18	0.0437843951838215	0.035	Cell Painting
tagatose	0.04 uM	5	A18	0.0668835738273009	0.025	Cell Painting
tak-285	0.04 uM	5	A18	0.0779931284900578	0.013	Cell Painting
tak-733	0.04 uM	5	G24	0.2011491630416045	0	Cell Painting
tak-875	0.04 uM	5	E18	0.1153701944343692	0	Cell Painting
taladegib	0.04 uM	5	P12	0.0522179910301379	0.096	Cell Painting
talazoparib	0.04 uM	5	I12	0.1756343079726812	0	Cell Painting
talinolol	0.04 uM	5	H12	0.0294303022994103	0.063	Cell Painting
talmapimod	0.04 uM	5	L12	0.0734468133858257	0	Cell Painting
talnetant	0.04 uM	5	G06	0.0547637400604122	0.003	Cell Painting
taltirelin	0.04 uM	5	C18	0.0504449546723238	0.03	Cell Painting
tamibarotene	0.04 uM	5	P18	0.1619364863544769	0	Cell Painting
tamoxifen	0.04 uM	5	F24	0.0580195287681436	0.161	Cell Painting
tamsulosin	0.04 uM	5	D18	0.0083722415313131	0.607	Cell Painting
tanaproget	0.04 uM	5	N24	0.0563039528697563	0.085	Cell Painting
taranabant	0.04 uM	5	P24	0.7037206452628527	0.001	Cell Painting
targinine	0.04 uM	5	H06	0.0845966743569186	0	Cell Painting
tas-103	0.04 uM	5	G24	0.6606434800449462	0	Cell Painting
taselisib	0.04 uM	5	A12	0.235276125435367	0	Cell Painting
tasisulam	0.04 uM	2	K24	-0.0145722256833089	0.838	Cell Painting
tasquinimod	0.04 uM	5	L12	0.0359554486848651	0.03	Cell Painting
tazobactam	0.04 uM	5	A12	0.0663639052156615	0.008	Cell Painting
tebipenem	0.04 uM	5	L06	0.0281578187610139	0.124	Cell Painting
tecastemizole	0.04 uM	5	I06	0.0248588958959993	0.152	Cell Painting
tedizolid	0.04 uM	5	L24	0.1065139274382926	0	Cell Painting
tegobuvir	0.04 uM	5	F18	0.0184801928132954	0.308	Cell Painting
telatinib	0.04 uM	5	C12	0.0097952697718489	0.538	Cell Painting
telbivudine	0.04 uM	5	D06	0.0490211284022311	0.006	Cell Painting
telcagepant	0.04 uM	5	I12	0.0240345591119237	0.094	Cell Painting
telmesteine	0.04 uM	5	F24	0.0763172653832997	0.035	Cell Painting
telmisartan	0.04 uM	5	H18	0.0259021745780177	0.095	Cell Painting
telotristat	0.04 uM	5	E12	0.0164365981348637	0.323	Cell Painting
temazepam	0.04 uM	5	D24	0.0534490270392522	0.162	Cell Painting
temozolomide	0.04 uM	5	K06	0.0297630876559941	0.087	Cell Painting
temsirolimus	0.04 uM	5	E06	0.3411178933603875	0	Cell Painting
temsirolimus	0.04 uM	5	A24	0.3411178933603875	0	Cell Painting
teneligliptin	0.04 uM	5	N18	0.1125951827454234	0	Cell Painting
tenidap	0.04 uM	5	A18	0.0291965156521038	0.265	Cell Painting
terbinafine	0.04 uM	5	D06	0.0475261259721083	0.008	Cell Painting
teroxirone	0.04 uM	5	N24	0.1173918305058243	0	Cell Painting
tesaglitazar	0.04 uM	5	B12	0.1110082966049099	0	Cell Painting
testosterone	0.04 uM	5	I12	0.2977097850633138	0	Cell Painting
tetrabenazine	0.04 uM	5	J24	0.0429036321760757	0.21	Cell Painting
tetracaine	0.04 uM	5	J12	0.0109365388641837	0.298	Cell Painting
tetrahydrouridine	0.04 uM	5	P06	0.0797234063594648	0	Cell Painting
tetrindole	0.04 uM	5	E18	0.0367152775065531	0.086	Cell Painting
tg-100801	0.04 uM	5	D12	0.0295316910230381	0.051	Cell Painting
thalidomide	0.04 uM	5	C12	0.0194439536675256	0.285	Cell Painting
theobromine	0.04 uM	5	P18	0.0600370296535034	0.014	Cell Painting
theophylline	0.04 uM	5	B18	0.10940011911677	0	Cell Painting
thiocolchicoside	0.04 uM	5	F06	0.0296670675051578	0.067	Cell Painting
thioctic-acid	0.04 uM	5	F06	0.0294065393466173	0.07	Cell Painting
thioguanine	0.04 uM	5	K24	0.1636407985078091	0.019	Cell Painting
thiomersal	0.04 uM	5	B24	0.0792378766129797	0.055	Cell Painting
thioridazine	0.04 uM	5	H06	0.0452156787031553	0.006	Cell Painting
thiothixene	0.04 uM	5	K24	0.0464362737956773	0.42	Cell Painting
tiagabine	0.04 uM	5	N18	0.0455446004755756	0.03	Cell Painting
tiapride	0.04 uM	5	G06	0.0330546685150711	0.058	Cell Painting
tic10	0.04 uM	5	K18	0.0102287797513202	0.467	Cell Painting
ticagrelor	0.04 uM	5	A24	0.1138259342020643	0.001	Cell Painting
ticlopidine	0.04 uM	4	D12	0.018688599463156	0.205	Cell Painting
tiludronate	0.04 uM	5	L18	0.0410683107424539	0.031	Cell Painting
timolol	0.04 uM	5	O18	0.0761841534634807	0.001	Cell Painting
timonacic	0.04 uM	5	O24	0.0717686027938631	0.057	Cell Painting
tioconazole	0.04 uM	5	N06	0.0357128953748413	0.075	Cell Painting
tioguanine	0.04 uM	5	J24	0.0693565292151892	0.012	Cell Painting
tipiracil	0.04 uM	5	A12	0.1156330426942738	0	Cell Painting
tirasemtiv	0.04 uM	5	B12	0.0148680181754877	0.423	Cell Painting
tirofiban	0.04 uM	2	C12	0.0114825258290507	0.492	Cell Painting
tivantinib	0.04 uM	5	H18	0.0740257117934285	0	Cell Painting
tivozanib	0.04 uM	5	H12	-4.518368884952979e-6	0.629	Cell Painting
tizanidine	0.04 uM	5	J06	0.0563287985440724	0.002	Cell Painting
tobramycin	0.04 uM	5	H12	-0.001775540107532	0.668	Cell Painting
tofacitinib	0.04 uM	5	P06	0.0396914005893717	0.128	Cell Painting
tolazamide	0.04 uM	5	L06	-0.0155347979222723	0.946	Cell Painting
tolbutamide	0.04 uM	5	M06	0.5784055749647498	0	Cell Painting
tolcapone	0.04 uM	5	K24	0.0679764577159548	0.184	Cell Painting
tolfenamic-acid	0.04 uM	5	M12	0.0873917310439877	0	Cell Painting
tolnaftate	0.04 uM	2	P18	0.0519110417124494	0.214	Cell Painting
tolperisone	0.04 uM	5	H06	0.0312132627746011	0.075	Cell Painting
tolvaptan	0.04 uM	5	P12	0.0733694879387499	0.007	Cell Painting
topiramate	0.04 uM	5	M12	0.0313890136927718	0.068	Cell Painting
torasemide	0.04 uM	5	O24	0.0982315889261328	0.006	Cell Painting
torcetrapib	0.04 uM	5	I06	0.0182366931268314	0.257	Cell Painting
torcitabine	0.04 uM	5	G06	0.0169628884789079	0.299	Cell Painting
tosedostat	0.04 uM	5	D18	0.3466522525164997	0	Cell Painting
tozasertib	0.04 uM	5	L18	0.0177007020280721	0.285	Cell Painting
tracazolate	0.04 uM	5	J24	0.1404055852669502	0	Cell Painting
tramiprosate	0.04 uM	5	E12	0.0302898651037985	0.104	Cell Painting
tranilast	0.04 uM	5	M06	0.1135016648379111	0	Cell Painting
trapidil	0.04 uM	5	E24	0.0648961135316731	0.125	Cell Painting
travoprost	0.04 uM	5	M06	0.0799819702160924	0.003	Cell Painting
trazodone	0.04 uM	5	G12	0.0238643207303361	0.161	Cell Painting
trehalose	0.04 uM	5	P12	0.0698148695768439	0.013	Cell Painting
triamcinolone	0.04 uM	2	C06	-0.0507091976212296	0.919	Cell Painting
triamcinolone-acetonide	0.04 uM	5	O24	0.6380799204101372	0	Cell Painting
triamterene	0.04 uM	5	K24	0.0629579497256898	0.221	Cell Painting
triclabendazole	0.04 uM	5	D24	0.0850459489528575	0.009	Cell Painting
triclosan	0.04 uM	5	P24	0.5619579014386613	0.085	Cell Painting
triflupromazine	0.04 uM	5	G24	0.1134296508154764	0	Cell Painting
trifluridine	0.04 uM	5	I06	0.0940561444694375	0	Cell Painting
trilostane	0.04 uM	5	J24	0.0797130946152903	0.002	Cell Painting
trimebutine	0.04 uM	5	A18	0.0324443926217224	0.21	Cell Painting
trimetazidine	0.04 uM	5	C12	0.0147597537574078	0.403	Cell Painting
trimethoprim	0.04 uM	5	M06	-0.0092638284761692	0.93	Cell Painting
trimipramine	0.04 uM	5	A24	0.1375397700419391	0	Cell Painting
triptorelin	0.04 uM	5	C18	0.034902122379939	0.189	Cell Painting
troglitazone	0.04 uM	5	F24	0.0720420970372186	0.056	Cell Painting
trovafloxacin	0.04 uM	4	C06	0.036256472363949	0.061	Cell Painting
tyrphostin-1	0.04 uM	5	N18	0.033075779987333	0.112	Cell Painting
uk-383367	0.04 uM	5	I06	0.018114796948992	0.26	Cell Painting
ulipristal	0.04 uM	5	G24	0.0603120952243018	0.07	Cell Painting
umeclidinium	0.04 uM	5	F24	0.1357367299757432	0	Cell Painting
urapidil	0.04 uM	5	K06	0.0691271102537781	0	Cell Painting
ursodeoxycholyltaurine	0.04 uM	5	C12	-0.0024003588405996	0.801	Cell Painting
ursodiol	0.04 uM	5	A12	0.0065333973715344	0.773	Cell Painting
ursolic-acid	0.04 uM	5	O24	0.1240357420955347	0.001	Cell Painting
valdecoxib	0.04 uM	5	F18	0.0621989709120874	0	Cell Painting
valproic-acid	0.04 uM	2	I12	-0.0236618627047613	0.752	Cell Painting
valrubicin	0.04 uM	5	O18	0.0848836299112733	0	Cell Painting
valsartan	0.04 uM	5	C06	0.0012065698579313	0.649	Cell Painting
vandetanib	0.04 uM	5	K24	0.2129612238117165	0.008	Cell Painting
vanoxerine	0.04 uM	5	F18	0.0879940358725138	0	Cell Painting
vardenafil	0.04 uM	5	I18	0.1218524048023489	0	Cell Painting
varenicline	0.04 uM	5	I12	0.030271764207267	0.038	Cell Painting
varespladib	0.04 uM	5	I18	0.0228737419846933	0.305	Cell Painting
veliparib	0.04 uM	5	C18	0.0333858333199442	0.204	Cell Painting
vemurafenib	0.04 uM	5	D18	0.0653342865888887	0	Cell Painting
venlafaxine	0.04 uM	5	D12	0.0354201252071586	0.024	Cell Painting
verapamil	0.04 uM	5	J06	0.0432908831881577	0.016	Cell Painting
vgx-1027	0.04 uM	5	F06	0.0596479342571972	0.001	Cell Painting
vicriviroc	0.04 uM	5	J06	0.006914332410822	0.608	Cell Painting
vidarabine	0.04 uM	5	M24	0.4094797712101187	0.025	Cell Painting
vilazodone	0.04 uM	5	H18	0.0552662033155373	0.001	Cell Painting
vinpocetine	0.04 uM	5	G12	0.017725776083641	0.279	Cell Painting
vismodegib	0.04 uM	5	D06	0.0251640999002666	0.106	Cell Painting
voglibose	0.04 uM	5	L12	0.0415103492684998	0.013	Cell Painting
volasertib	0.04 uM	5	H12	0.6864037834817105	0	Cell Painting
voreloxin	0.04 uM	5	J12	0.0251093784178251	0.078	Cell Painting
voriconazole	0.04 uM	5	J12	-0.001628792196064	0.594	Cell Painting
vortioxetine	0.04 uM	5	I12	0.0267130280730587	0.065	Cell Painting
voxtalisib	0.04 uM	5	C12	0.0377837773655897	0.051	Cell Painting
vt-464	0.04 uM	5	N12	-0.0086287877981921	0.844	Cell Painting
vtp-27999	0.04 uM	5	D18	0.0135507105761439	0.474	Cell Painting
vx-222	0.04 uM	5	J24	0.0433711854971423	0.204	Cell Painting
vx-661	0.04 uM	5	H24	0.0734173453174334	0.008	Cell Painting
vx-765	0.04 uM	5	F24	0.0693196997066331	0.07	Cell Painting
vx-809	0.04 uM	5	F06	0.0751425843434383	0	Cell Painting
xaliproden	0.04 uM	5	D06	0.0218337389433206	0.151	Cell Painting
xbd173	0.04 uM	5	K06	0.0249285952201855	0.147	Cell Painting
xl888	0.04 uM	5	A12	0.4284905729274627	0	Cell Painting
yohimbine	0.04 uM	5	M12	0.0216949298739814	0.162	Cell Painting
z160	0.04 uM	5	C12	0.0550688324939676	0.002	Cell Painting
zafirlukast	0.04 uM	5	J06	0.0562531141444636	0.002	Cell Painting
zalcitabine	0.04 uM	5	E18	0.0205051795551798	0.342	Cell Painting
zaldaride	0.04 uM	5	C18	0.0923083020764223	0	Cell Painting
zaleplon	0.04 uM	5	B18	0.054507458116226	0.008	Cell Painting
zaprinast	0.04 uM	5	F18	0.0642576619627149	0	Cell Painting
zardaverine	0.04 uM	2	A24	0.0299190465434803	0.587	Cell Painting
zd-7114	0.04 uM	5	K06	0.0633222819728051	0	Cell Painting
zidovudine	0.04 uM	5	M24	0.3736298326316839	0.061	Cell Painting
ziprasidone	0.04 uM	5	M06	0.0283814322745644	0.244	Cell Painting
zk-200775	0.04 uM	5	M06	0.142749656870525	0	Cell Painting
zk811752	0.04 uM	5	L12	0.0446002910301254	0.005	Cell Painting
zofenopril-calcium	0.04 uM	5	E24	0.1765631913126339	0	Cell Painting
zolpidem	0.04 uM	5	A18	0.015905995214841	0.536	Cell Painting
zonisamide	0.04 uM	5	J12	0.0028517442508224	0.497	Cell Painting
zosuquidar	0.04 uM	5	M12	0.0633317863619213	0.001	Cell Painting
17-hydroxyprogesterone-caproate	0.12 uM	5	N17	0.0441321590132845	0.015	Cell Painting
2-iminobiotin	0.12 uM	5	B11	0.0086585088548413	0.553	Cell Painting
3-amino-benzamide	0.12 uM	5	D23	0.0604531910703707	0.024	Cell Painting
3-deazaadenosine	0.12 uM	5	O11	0.0593288177470344	0.003	Cell Painting
abacavir	0.12 uM	5	J05	0.0361763222220973	0.086	Cell Painting
abiraterone-acetate	0.12 uM	5	C17	0.1210566877265109	0	Cell Painting
abt-202	0.12 uM	5	E17	-0.0052331886470437	0.881	Cell Painting
abt-239	0.12 uM	5	I05	0.045732131843359	0.012	Cell Painting
abt-724	0.12 uM	5	L11	0.0772127551202893	0	Cell Painting
acarbose	0.12 uM	4	H05	0.024885720997876	0.28	Cell Painting
acebutolol	0.12 uM	5	L11	0.0373566323873203	0.021	Cell Painting
acecainide	0.12 uM	5	O17	0.106176496414254	0	Cell Painting
acenocoumarol	0.12 uM	5	O17	0.033941090257619	0.1	Cell Painting
acetazolamide	0.12 uM	2	M23	0.1226043992792306	0.625	Cell Painting
acetylcysteine	0.12 uM	5	O17	0.06863429159623	0.001	Cell Painting
acexamic-acid	0.12 uM	5	J11	0.1024134499597629	0	Cell Painting
acifran	0.12 uM	5	F05	0.0389898175469806	0.037	Cell Painting
acipimox	0.12 uM	5	G05	0.031649196551472	0.119	Cell Painting
acivicin	0.12 uM	5	E23	0.1389569529169383	0.001	Cell Painting
aclidinium	0.12 uM	5	A11	0.044180747585963	0.077	Cell Painting
acrivastine	0.12 uM	5	A11	0.049616003887486	0.048	Cell Painting
actarit	0.12 uM	5	M17	0.0566624887705039	0.001	Cell Painting
acy-1215	0.12 uM	5	H23	0.0433579543309677	0.162	Cell Painting
adapalene	0.12 uM	5	N11	0.2124544015088031	0	Cell Painting
adarotene	0.12 uM	4	A17	0.2506592920226121	0	Cell Painting
adatanserin	0.12 uM	5	L17	0.0288847588915423	0.125	Cell Painting
adenosine	0.12 uM	4	G05	0.0219951036420581	0.29	Cell Painting
adoprazine	0.12 uM	5	L23	0.0168885602622577	0.716	Cell Painting
afatinib	0.12 uM	5	M05	0.4106144368775834	0	Cell Painting
afloqualone	0.12 uM	5	E11	0.0446400082006504	0.011	Cell Painting
agi-5198	0.12 uM	5	I17	0.0616347529792284	0.004	Cell Painting
agi-6780	0.12 uM	5	C11	0.0048963665982008	0.589	Cell Painting
agomelatine	0.12 uM	5	L05	0.042237521940631	0.037	Cell Painting
agp-103	0.12 uM	5	N11	0.0282722122804659	0.108	Cell Painting
alaproclate	0.12 uM	5	M11	0.063787415187907	0	Cell Painting
albendazole	0.12 uM	5	P05	0.1324614667296467	0	Cell Painting
alectinib	0.12 uM	5	P11	0.0942328592806731	0	Cell Painting
alisertib	0.12 uM	5	F23	0.4883129861570049	0	Cell Painting
aliskiren	0.12 uM	5	I11	0.0038788352357668	0.526	Cell Painting
alizapride	0.12 uM	4	M17	0.0236377107895618	0.214	Cell Painting
allopurinol	0.12 uM	5	O11	0.0146043030537728	0.397	Cell Painting
almitrine	0.12 uM	5	O23	0.1724175738699429	0	Cell Painting
almorexant	0.12 uM	5	K23	0.0634598536056321	0.147	Cell Painting
altanserin	0.12 uM	4	C17	0.0938145807686642	0	Cell Painting
altrenogest	0.12 uM	5	L05	0.1822440132189759	0	Cell Painting
altretamine	0.12 uM	5	K23	0.1051385878323453	0.042	Cell Painting
alvespimycin	0.12 uM	5	A23	0.6361642671020383	0	Cell Painting
alvimopan	0.12 uM	5	P23	0.4568358975585238	0.14	Cell Painting
alvocidib	0.12 uM	5	B23	0.3854346178606926	0	Cell Painting
am-24	0.12 uM	5	I23	0.0682358353761511	0.009	Cell Painting
amantadine	0.12 uM	5	E23	0.0677643580455369	0.055	Cell Painting
ambrisentan	0.12 uM	2	I05	0.0113926769906617	0.506	Cell Painting
ambroxol	0.12 uM	5	B23	-0.0021089837696325	0.97	Cell Painting
amd11070	0.12 uM	2	M05	0.0263732687650803	0.447	Cell Painting
amg-208	0.12 uM	5	E11	0.0608026707828963	0.001	Cell Painting
amg-232	0.12 uM	5	J23	0.0731055839948069	0.007	Cell Painting
amg-517	0.12 uM	5	P05	0.0100240966379232	0.707	Cell Painting
amikacin	0.12 uM	5	P05	0.0731644082359452	0	Cell Painting
amiloride	0.12 uM	5	I11	0.0140578022789568	0.26	Cell Painting
aminocaproic-acid	0.12 uM	5	J11	0.0423757313869094	0.012	Cell Painting
aminoglutethimide	0.12 uM	5	B17	0.0811202138652756	0.002	Cell Painting
aminoguanidine	0.12 uM	5	A11	0.0436640525600892	0.083	Cell Painting
aminolevulinic-acid	0.12 uM	5	H11	0.0268490927251342	0.074	Cell Painting
aminosalicylic-acid	0.12 uM	5	B11	0.0205012910731001	0.259	Cell Painting
amiodarone	0.12 uM	5	K17	0.0127923845968046	0.308	Cell Painting
amiprilose	0.12 uM	5	I23	0.0564823183861857	0.031	Cell Painting
amitifadine	0.12 uM	5	E17	0.043455233623179	0.035	Cell Painting
amlexanox	0.12 uM	5	E11	-0.0019747116644111	0.746	Cell Painting
amlodipine	0.12 uM	5	H11	0.0402668878462027	0.01	Cell Painting
ammonium-glycyrrhizinate	0.12 uM	5	O17	0.0842603867783336	0	Cell Painting
amonafide	0.12 uM	5	C17	0.0233362290994926	0.382	Cell Painting
amoxapine	0.12 uM	4	I17	0.0594577834131339	0.022	Cell Painting
ampalex	0.12 uM	5	A17	0.0352079586935312	0.237	Cell Painting
amrinone	0.12 uM	5	L11	0.0339028698814666	0.028	Cell Painting
amsacrine	0.12 uM	5	D11	0.7447440495478541	0	Cell Painting
amtolmetin-guacil	0.12 uM	5	K05	0.0667630517553194	0.002	Cell Painting
amuvatinib	0.12 uM	5	M17	0.1364897347522023	0	Cell Painting
anamorelin	0.12 uM	4	E23	0.1517306166832104	0.001	Cell Painting
anandamide	0.12 uM	2	K17	0.0656753389516257	0.085	Cell Painting
andrographolide	0.12 uM	5	N23	0.1572354795589985	0	Cell Painting
anecortave-acetate	0.12 uM	5	G23	0.0694540131809795	0.002	Cell Painting
anidulafungin	0.12 uM	5	J11	0.0340949513091605	0.038	Cell Painting
aniracetam	0.12 uM	5	D23	0.0125645809921333	0.761	Cell Painting
anisodamine	0.12 uM	5	N05	0.0565490818512014	0.011	Cell Painting
ap26113	0.12 uM	5	B17	0.1430142078620567	0	Cell Painting
apafant	0.12 uM	5	I05	0.0268286248729438	0.163	Cell Painting
apd668	0.12 uM	5	L23	0.0798150311239683	0.012	Cell Painting
aphidicolin	0.12 uM	5	M05	0.5146305555106101	0	Cell Painting
api-001	0.12 uM	5	H17	0.0714131746737702	0	Cell Painting
apixaban	0.12 uM	5	P11	0.1018692206757756	0	Cell Painting
apocynin	0.12 uM	5	P23	0.3805324707043269	0.324	Cell Painting
apremilast	0.12 uM	5	D05	0.0050229964622069	0.547	Cell Painting
aprepitant	0.12 uM	5	K05	0.0415954247543254	0.031	Cell Painting
arbutin	0.12 uM	5	B17	0.0116211109791528	0.546	Cell Painting
argatroban	0.12 uM	5	J23	0.0281684035598255	0.46	Cell Painting
arglabin	0.12 uM	5	D17	0.046861687637995	0.023	Cell Painting
aripiprazole	0.12 uM	5	F23	0.077751098665123	0.004	Cell Painting
arofylline	0.12 uM	5	I11	0.0151111505916201	0.235	Cell Painting
arry-334543	0.12 uM	5	D11	0.1399143492490398	0	Cell Painting
artesunate	0.12 uM	5	M17	0.0759546668972143	0	Cell Painting
asa-404	0.12 uM	5	G11	0.0158353115767106	0.251	Cell Painting
asc-j9	0.12 uM	5	P11	0.073603596669845	0.009	Cell Painting
asenapine	0.12 uM	5	I17	0.0089177073220389	0.641	Cell Painting
aspirin	0.12 uM	5	O23	0.0382122576885216	0.31	Cell Painting
at13387	0.12 uM	5	F05	0.7411961550880886	0	Cell Painting
ataluren	0.12 uM	5	I05	0.0414015489803099	0.028	Cell Painting
atenolol	0.12 uM	5	B17	0.0284609310540829	0.206	Cell Painting
atipamezole	0.12 uM	2	F17	-0.0178488073824451	0.757	Cell Painting
atn-161	0.12 uM	4	D05	0.0160533563831441	0.327	Cell Painting
atomoxetine	0.12 uM	5	E11	0.0593691795229582	0.001	Cell Painting
atorvastatin	0.12 uM	5	H05	0.0227008833076676	0.257	Cell Painting
atracurium	0.12 uM	5	J23	0.0992746329132685	0	Cell Painting
atrasentan	0.12 uM	5	D23	0.097631115077329	0	Cell Painting
av-608	0.12 uM	5	G23	0.0437796673905404	0.131	Cell Painting
avagacestat	0.12 uM	5	J05	0.1311346778227904	0	Cell Painting
avanafil	0.12 uM	5	L17	0.0087789549358779	0.498	Cell Painting
avasimibe	0.12 uM	5	B11	0.076003716631347	0.001	Cell Painting
avl-292	0.12 uM	5	A23	0.032975290771587	0.363	Cell Painting
avn-944	0.12 uM	5	A17	0.0475263370203764	0.118	Cell Painting
azacitidine	0.12 uM	5	L17	0.2376292038444065	0	Cell Painting
azathioprine	0.12 uM	5	F23	0.0999257052828237	0.001	Cell Painting
azd1208	0.12 uM	5	G05	0.0823308930482808	0	Cell Painting
azd1480	0.12 uM	5	L23	0.0837884458809877	0.01	Cell Painting
azd1981	0.12 uM	5	B17	0.0556939665907658	0.008	Cell Painting
azd2014	0.12 uM	5	H05	0.2508221610142386	0	Cell Painting
azd3514	0.12 uM	5	D23	0.075209030385216	0.004	Cell Painting
azd4547	0.12 uM	5	B23	0.0444059109410781	0.238	Cell Painting
azd5363	0.12 uM	5	N11	0.0298180735443472	0.093	Cell Painting
azd7545	0.12 uM	5	B11	0.0288722206965548	0.11	Cell Painting
azd7687	0.12 uM	5	L17	0.0358492503803904	0.065	Cell Painting
azd7762	0.12 uM	5	P11	0.1274539832910978	0	Cell Painting
azd8931	0.12 uM	5	M05	0.1506779330589508	0	Cell Painting
azd9668	0.12 uM	5	L23	0.0411289820676569	0.239	Cell Painting
azelaic-acid	0.12 uM	5	F17	0.0667375786874872	0	Cell Painting
azelastine	0.12 uM	5	E11	0.0398049192116226	0.036	Cell Painting
balaglitazone	0.12 uM	4	B11	0.0639640698953684	0.006	Cell Painting
balapiravir	0.12 uM	5	M17	0.1486581028883556	0	Cell Painting
balicatib	0.12 uM	5	P23	0.3360618324592416	0.478	Cell Painting
balsalazide	0.12 uM	2	J11	-0.0494389480054194	0.924	Cell Painting
bambuterol	0.12 uM	5	I23	0.1062025999910233	0	Cell Painting
bardoxolone-methyl	0.12 uM	5	H17	0.4908570482878356	0	Cell Painting
basimglurant	0.12 uM	5	E11	0.0052791004156164	0.592	Cell Painting
batimastat	0.12 uM	5	A23	0.1357037484736628	0	Cell Painting
bavisant	0.12 uM	5	O17	0.0255996406026198	0.204	Cell Painting
bay-87-2243	0.12 uM	5	H05	0.2665439232890611	0	Cell Painting
bazedoxifene	0.12 uM	5	H11	0.0300999384445477	0.05	Cell Painting
bci-540	0.12 uM	5	I11	0.0015229593569828	0.585	Cell Painting
beclomethasone-dipropionate	0.12 uM	5	O17	0.503922025453966	0	Cell Painting
belinostat	0.12 uM	5	L23	0.3232257272940041	0	Cell Painting
bemegride	0.12 uM	5	N11	0.0440078089027961	0.013	Cell Painting
benazepril	0.12 uM	5	M17	0.0413993808866123	0.019	Cell Painting
bendamustine	0.12 uM	5	J05	0.0685735087786554	0	Cell Painting
bendroflumethiazide	0.12 uM	5	O17	0.0261644464543399	0.197	Cell Painting
benzbromarone	0.12 uM	5	P23	0.341272483572393	0.459	Cell Painting
benzthiazide	0.12 uM	5	E23	0.0751769534829489	0.03	Cell Painting
benzydamine	0.12 uM	5	J05	0.0491905283741941	0.017	Cell Painting
benzylpenicillin	0.12 uM	5	L23	0.107563045411499	0.002	Cell Painting
bepotastine	0.12 uM	5	C05	0.0406966099865074	0.017	Cell Painting
berberine	0.12 uM	5	L17	0.0590964573729449	0.008	Cell Painting
betahistine	0.12 uM	5	J23	0.0646273913008844	0.02	Cell Painting
betulinic-acid	0.12 uM	2	B17	-0.0049214217887721	0.682	Cell Painting
bevirimat-dimeglumine	0.12 uM	5	G23	0.0883350173808543	0	Cell Painting
bexarotene	0.12 uM	5	A17	0.2291692143719191	0	Cell Painting
bezafibrate	0.12 uM	5	K17	0.0456091911435577	0.009	Cell Painting
bicalutamide	0.12 uM	5	E05	0.0324430089544438	0.065	Cell Painting
bifemelane	0.12 uM	5	A17	0.0213997684890769	0.473	Cell Painting
bifonazole	0.12 uM	5	F05	0.0456214921538592	0.016	Cell Painting
bimatoprost	0.12 uM	5	J23	0.0424451215147658	0.174	Cell Painting
bindarit	0.12 uM	5	O17	0.0154349191495734	0.41	Cell Painting
biperiden	0.12 uM	4	C11	0.0232368647968081	0.216	Cell Painting
birinapant	0.12 uM	5	H23	0.1655995695209944	0	Cell Painting
bisindolylmaleimide	0.12 uM	5	B17	0.0268709969549123	0.229	Cell Painting
bisoprolol	0.12 uM	5	F17	0.0380848088726616	0.048	Cell Painting
bitopertin	0.12 uM	5	I11	-0.0198334355515686	0.959	Cell Painting
blonanserin	0.12 uM	5	C11	0.0307850322413109	0.08	Cell Painting
bms-599626	0.12 uM	5	K23	0.0650602708974093	0.136	Cell Painting
bms-707035	0.12 uM	5	O23	0.1209664122488699	0.001	Cell Painting
bms-927711	0.12 uM	5	A17	0.0366510248079069	0.222	Cell Painting
bopindolol	0.12 uM	5	M23	0.175428939942076	0.398	Cell Painting
bortezomib	0.12 uM	5	D17	0.4749072834824084	0	Cell Painting
bosentan	0.12 uM	5	E05	0.0118529424574752	0.386	Cell Painting
bosutinib	0.12 uM	5	N23	0.2395095594195748	0	Cell Painting
brequinar	0.12 uM	5	K23	0.4682834215503902	0	Cell Painting
bretazenil	0.12 uM	5	N17	0.0213591529823768	0.203	Cell Painting
brexpiprazole	0.12 uM	4	F05	0.0396451507913072	0.054	Cell Painting
brivanib	0.12 uM	5	C05	0.0139097892387525	0.275	Cell Painting
brivudine	0.12 uM	5	H17	0.037705815800957	0.016	Cell Painting
bromocriptine	0.12 uM	5	H11	0.0175418609715714	0.175	Cell Painting
broxuridine	0.12 uM	5	M23	0.296507422513211	0.068	Cell Painting
bruceantin	0.12 uM	5	O11	0.5921923415203821	0	Cell Painting
bts-54505	0.12 uM	5	C11	0.0573721558484817	0.001	Cell Painting
bucladesine	0.12 uM	5	P23	0.4096766687652144	0.236	Cell Painting
budipine	0.12 uM	5	P11	0.139834681703561	0	Cell Painting
bumetanide	0.12 uM	5	M11	0.0129512402986919	0.351	Cell Painting
