moa,moa_cpds_dose_1,moa_cpds_dose_2,moa_cpds_dose_3,moa_cpds_dose_4,moa_cpds_dose_5,moa_cpds_dose_6,moa_size
cyclooxygenase inhibitor,oxaprozin;carprofen;ibuprofen;fentiazac;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;ketorolac;epirizole;balsalazide;paracetamol;piroxicam;indometacin;naproxen;etoricoxib;meloxicam;phenazone;piketoprofen;aminosalicylic-acid;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,oxaprozin;carprofen;ibuprofen;fentiazac;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;ketorolac;epirizole;balsalazide;paracetamol;piroxicam;indometacin;naproxen;etoricoxib;meloxicam;phenazone;piketoprofen;aminosalicylic-acid;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,oxaprozin;carprofen;ibuprofen;fentiazac;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;ketorolac;epirizole;balsalazide;paracetamol;piroxicam;indometacin;naproxen;etoricoxib;meloxicam;phenazone;piketoprofen;aminosalicylic-acid;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,oxaprozin;carprofen;ibuprofen;fentiazac;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;ketorolac;epirizole;balsalazide;paracetamol;piroxicam;indometacin;naproxen;etoricoxib;meloxicam;phenazone;piketoprofen;aminosalicylic-acid;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,oxaprozin;carprofen;ibuprofen;fentiazac;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;ketorolac;epirizole;balsalazide;paracetamol;piroxicam;indometacin;naproxen;etoricoxib;meloxicam;phenazone;piketoprofen;aminosalicylic-acid;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,oxaprozin;carprofen;ibuprofen;fentiazac;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;ketorolac;epirizole;balsalazide;paracetamol;piroxicam;indometacin;naproxen;etoricoxib;meloxicam;phenazone;piketoprofen;aminosalicylic-acid;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,30
cyclooxygenase inhibitor|prostanoid receptor antagonist,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,4
cytochrome p450 inhibitor,itraconazole;eplerenone;cobicistat;voriconazole;vt-464,itraconazole;eplerenone;cobicistat;voriconazole;vt-464,itraconazole;eplerenone;cobicistat;voriconazole;vt-464,itraconazole;eplerenone;cobicistat;voriconazole;vt-464,itraconazole;eplerenone;cobicistat;voriconazole;vt-464,itraconazole;eplerenone;cobicistat;voriconazole;vt-464,5
diacylglycerol o acyltransferase inhibitor,lcq908;pf-04620110;azd7687,lcq908;pf-04620110;azd7687,lcq908;pf-04620110;azd7687,lcq908;pf-04620110;azd7687,lcq908;pf-04620110;azd7687,lcq908;pf-04620110;azd7687,3
dihydrofolate reductase inhibitor,proguanil;trimethoprim;pralatrexate;pyrimethamine,proguanil;trimethoprim;pralatrexate;pyrimethamine,proguanil;trimethoprim;pralatrexate;pyrimethamine,proguanil;trimethoprim;pralatrexate;pyrimethamine,proguanil;trimethoprim;pralatrexate;pyrimethamine,proguanil;trimethoprim;pralatrexate;pyrimethamine,4
dihydroorotate dehydrogenase inhibitor,teriflunomide;sc-12267;brequinar,teriflunomide;sc-12267;brequinar,teriflunomide;sc-12267;brequinar,teriflunomide;sc-12267;brequinar,teriflunomide;sc-12267;brequinar,teriflunomide;sc-12267;brequinar,3
dipeptidyl peptidase inhibitor,linagliptin;sitagliptin;teneligliptin;saxagliptin;nvp-dpp728,linagliptin;sitagliptin;teneligliptin;saxagliptin;nvp-dpp728,linagliptin;sitagliptin;teneligliptin;saxagliptin;nvp-dpp728,linagliptin;sitagliptin;teneligliptin;saxagliptin;nvp-dpp728,linagliptin;sitagliptin;teneligliptin;saxagliptin;nvp-dpp728,linagliptin;sitagliptin;teneligliptin;saxagliptin;nvp-dpp728,5
diuretic,chlortalidone;pyrazinoylguanidine;furosemide,chlortalidone;pyrazinoylguanidine;furosemide,chlortalidone;pyrazinoylguanidine;furosemide,chlortalidone;pyrazinoylguanidine;furosemide,chlortalidone;pyrazinoylguanidine;furosemide,chlortalidone;pyrazinoylguanidine;furosemide,3
dna alkylating agent,dacarbazine;th-302;ifosfamide,dacarbazine;th-302;ifosfamide,dacarbazine;th-302;ifosfamide,dacarbazine;th-302;ifosfamide,dacarbazine;th-302;ifosfamide,dacarbazine;th-302;ifosfamide,3
dna alkylating drug,temozolomide;estramustine,temozolomide;estramustine,temozolomide;estramustine,temozolomide;estramustine,temozolomide;estramustine,temozolomide;estramustine,2
dna directed dna polymerase inhibitor,brivudine;penciclovir;edoxudine,brivudine;penciclovir;edoxudine,brivudine;penciclovir;edoxudine,brivudine;penciclovir;edoxudine,brivudine;penciclovir;edoxudine,brivudine;penciclovir;edoxudine,3
dna inhibitor,pibenzimol;bendamustine;busulfan;metronidazole;chlorambucil;teroxirone;cordycepin;tirapazamine,pibenzimol;bendamustine;busulfan;metronidazole;chlorambucil;teroxirone;cordycepin;tirapazamine,pibenzimol;bendamustine;busulfan;metronidazole;chlorambucil;teroxirone;cordycepin;tirapazamine,pibenzimol;bendamustine;busulfan;metronidazole;chlorambucil;teroxirone;cordycepin;tirapazamine,pibenzimol;bendamustine;busulfan;metronidazole;chlorambucil;teroxirone;cordycepin;tirapazamine,pibenzimol;bendamustine;busulfan;metronidazole;chlorambucil;teroxirone;cordycepin;tirapazamine,8
dna methyltransferase inhibitor,fdcyd;azacitidine;decitabine,fdcyd;azacitidine;decitabine,fdcyd;azacitidine;decitabine,fdcyd;azacitidine;decitabine,fdcyd;azacitidine;decitabine,fdcyd;azacitidine;decitabine,3
dna polymerase inhibitor,telbivudine;ganciclovir;acyclovir;famciclovir;torcitabine,telbivudine;ganciclovir;acyclovir;famciclovir;torcitabine,telbivudine;ganciclovir;acyclovir;famciclovir;torcitabine,telbivudine;ganciclovir;acyclovir;famciclovir;torcitabine,telbivudine;ganciclovir;acyclovir;famciclovir;torcitabine,telbivudine;ganciclovir;acyclovir;famciclovir;torcitabine,5
dna synthesis inhibitor,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,7
dopamine receptor agonist,ropinirole;amineptine;fenoldopam;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,ropinirole;amineptine;fenoldopam;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,ropinirole;amineptine;fenoldopam;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,ropinirole;amineptine;fenoldopam;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,ropinirole;amineptine;fenoldopam;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,ropinirole;amineptine;fenoldopam;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,11
dopamine receptor antagonist,prochlorperazine;butaclamol;levosulpiride;trifluoperazine;isofloxythepin;raclopride;alizapride;pimozide;cariprazine;chlorprothixene;tiapride;fluphenazine;molindone;triflupromazine;haloperidol;thioridazine;nemonapride;fluspirilene;oxiperomide;chlorpromazine;droperidol;thiothixene;itopride,prochlorperazine;butaclamol;levosulpiride;trifluoperazine;isofloxythepin;raclopride;alizapride;pimozide;cariprazine;chlorprothixene;tiapride;fluphenazine;molindone;triflupromazine;haloperidol;thioridazine;nemonapride;fluspirilene;oxiperomide;chlorpromazine;droperidol;thiothixene;itopride,prochlorperazine;butaclamol;levosulpiride;trifluoperazine;isofloxythepin;raclopride;alizapride;pimozide;cariprazine;chlorprothixene;tiapride;fluphenazine;molindone;triflupromazine;haloperidol;thioridazine;nemonapride;fluspirilene;oxiperomide;chlorpromazine;droperidol;thiothixene;itopride,prochlorperazine;butaclamol;levosulpiride;trifluoperazine;isofloxythepin;raclopride;alizapride;pimozide;cariprazine;chlorprothixene;tiapride;fluphenazine;molindone;triflupromazine;haloperidol;thioridazine;nemonapride;fluspirilene;oxiperomide;chlorpromazine;droperidol;thiothixene;itopride,prochlorperazine;butaclamol;levosulpiride;trifluoperazine;isofloxythepin;raclopride;alizapride;pimozide;cariprazine;chlorprothixene;tiapride;fluphenazine;molindone;triflupromazine;haloperidol;thioridazine;nemonapride;fluspirilene;oxiperomide;chlorpromazine;droperidol;thiothixene;itopride,prochlorperazine;butaclamol;levosulpiride;trifluoperazine;isofloxythepin;raclopride;alizapride;pimozide;cariprazine;chlorprothixene;tiapride;fluphenazine;molindone;triflupromazine;haloperidol;thioridazine;nemonapride;fluspirilene;oxiperomide;chlorpromazine;droperidol;thiothixene;itopride,23
dopamine receptor antagonist|serotonin receptor antagonist,blonanserin;ziprasidone;olanzapine;lurasidone;risperidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,blonanserin;ziprasidone;olanzapine;lurasidone;risperidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,blonanserin;ziprasidone;olanzapine;lurasidone;risperidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,blonanserin;ziprasidone;olanzapine;lurasidone;risperidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,blonanserin;ziprasidone;olanzapine;lurasidone;risperidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,blonanserin;ziprasidone;olanzapine;lurasidone;risperidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,10
dopamine reuptake inhibitor,diphenylpyraline;diclofensine;bts-54505,diphenylpyraline;diclofensine;bts-54505,diphenylpyraline;diclofensine;bts-54505,diphenylpyraline;diclofensine;bts-54505,diphenylpyraline;diclofensine;bts-54505,diphenylpyraline;diclofensine;bts-54505,3
dopamine uptake inhibitor,vanoxerine;bupropion,vanoxerine;bupropion,vanoxerine;bupropion,vanoxerine;bupropion,vanoxerine;bupropion,vanoxerine;bupropion,2
egfr inhibitor,pd153035;pelitinib;osimertinib;rociletinib;dacomitinib;arry-334543;canertinib;gefitinib;afatinib;tak-285;neratinib;erlotinib;tyrphostin-1;azd8931,pd153035;pelitinib;osimertinib;rociletinib;dacomitinib;arry-334543;canertinib;gefitinib;afatinib;tak-285;neratinib;erlotinib;tyrphostin-1;azd8931,pd153035;pelitinib;osimertinib;rociletinib;dacomitinib;arry-334543;canertinib;gefitinib;afatinib;tak-285;neratinib;erlotinib;tyrphostin-1;azd8931,pd153035;pelitinib;osimertinib;rociletinib;dacomitinib;arry-334543;canertinib;gefitinib;afatinib;tak-285;neratinib;erlotinib;tyrphostin-1;azd8931,pd153035;pelitinib;osimertinib;rociletinib;dacomitinib;arry-334543;canertinib;gefitinib;afatinib;tak-285;neratinib;erlotinib;tyrphostin-1;azd8931,pd153035;pelitinib;osimertinib;rociletinib;dacomitinib;arry-334543;canertinib;gefitinib;afatinib;tak-285;neratinib;erlotinib;tyrphostin-1;azd8931,14
elastase inhibitor,azd9668;dmp-777,azd9668;dmp-777,azd9668;dmp-777,azd9668;dmp-777,azd9668;dmp-777,azd9668;dmp-777,2
endothelin receptor antagonist,atrasentan;ambrisentan;macitentan;bosentan,atrasentan;ambrisentan;macitentan;bosentan,atrasentan;ambrisentan;macitentan;bosentan,atrasentan;ambrisentan;macitentan;bosentan,atrasentan;ambrisentan;macitentan;bosentan,atrasentan;ambrisentan;macitentan;bosentan,4
estrogen receptor agonist,estriol;estradiol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,estriol;estradiol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,estriol;estradiol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,estriol;estradiol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,estriol;estradiol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,estriol;estradiol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,7
estrogen receptor antagonist,clomifene;fulvestrant,clomifene;fulvestrant,clomifene;fulvestrant,clomifene;fulvestrant,clomifene;fulvestrant,clomifene;fulvestrant,2
estrogen receptor antagonist|selective estrogen receptor modulator (serm),toremifene;raloxifene;tamoxifen,toremifene;raloxifene;tamoxifen,toremifene;raloxifene;tamoxifen,toremifene;raloxifene;tamoxifen,toremifene;raloxifene;tamoxifen,toremifene;raloxifene;tamoxifen,3
farnesyltransferase inhibitor,lonafarnib;tipifarnib-p2;arglabin,lonafarnib;tipifarnib-p2;arglabin,lonafarnib;tipifarnib-p2;arglabin,lonafarnib;tipifarnib-p2;arglabin,lonafarnib;tipifarnib-p2;arglabin,lonafarnib;tipifarnib-p2;arglabin,3
fatty acid synthase inhibitor,pyrazinamide;cianidanol,pyrazinamide;cianidanol,pyrazinamide;cianidanol,pyrazinamide;cianidanol,pyrazinamide;cianidanol,pyrazinamide;cianidanol,2
fgfr inhibitor|vegfr inhibitor,lucitanib;brivanib;mk-2461,lucitanib;brivanib;mk-2461,lucitanib;brivanib;mk-2461,lucitanib;brivanib;mk-2461,lucitanib;brivanib;mk-2461,lucitanib;brivanib;mk-2461,3
focal adhesion kinase inhibitor,defactinib;pf-562271,defactinib;pf-562271,defactinib;pf-562271,defactinib;pf-562271,defactinib;pf-562271,defactinib;pf-562271,2
free radical scavenger,rebamipide;l-ergothioneine;nxy-059;nicaraven,rebamipide;l-ergothioneine;nxy-059;nicaraven,rebamipide;l-ergothioneine;nxy-059;nicaraven,rebamipide;l-ergothioneine;nxy-059;nicaraven,rebamipide;l-ergothioneine;nxy-059;nicaraven,rebamipide;l-ergothioneine;nxy-059;nicaraven,4
fungal squalene epoxidase inhibitor,liranaftate;tolnaftate;terbinafine;naftifine,liranaftate;tolnaftate;terbinafine;naftifine,liranaftate;tolnaftate;terbinafine;naftifine,liranaftate;tolnaftate;terbinafine;naftifine,liranaftate;tolnaftate;terbinafine;naftifine,liranaftate;tolnaftate;terbinafine;naftifine,4
gaba receptor agonist,cl-218872;ivermectin;temazepam,cl-218872;ivermectin;temazepam,cl-218872;ivermectin;temazepam,cl-218872;ivermectin;temazepam,cl-218872;ivermectin;temazepam,cl-218872;ivermectin;temazepam,3
gaba receptor antagonist,thiocolchicoside;primidone,thiocolchicoside;primidone,thiocolchicoside;primidone,thiocolchicoside;primidone,thiocolchicoside;primidone,thiocolchicoside;primidone,2
gaba receptor modulator,ganaxolone;tracazolate;etomidate;chlormezanone,ganaxolone;tracazolate;etomidate;chlormezanone,ganaxolone;tracazolate;etomidate;chlormezanone,ganaxolone;tracazolate;etomidate;chlormezanone,ganaxolone;tracazolate;etomidate;chlormezanone,ganaxolone;tracazolate;etomidate;chlormezanone,4
gamma secretase inhibitor,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,7
gap junction modulator,danegaptide;enoxolone,danegaptide;enoxolone,danegaptide;enoxolone,danegaptide;enoxolone,danegaptide;enoxolone,danegaptide;enoxolone,2
glucocorticoid receptor agonist,clobetasol;rimexolone;ciclesonide;medrysone;amcinonide;piretanide;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;prednisone;fluticasone;fludroxycortide;hydrocortisone;halcinonide,clobetasol;rimexolone;ciclesonide;medrysone;amcinonide;piretanide;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;prednisone;fluticasone;fludroxycortide;hydrocortisone;halcinonide,clobetasol;rimexolone;ciclesonide;medrysone;amcinonide;piretanide;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;prednisone;fluticasone;fludroxycortide;hydrocortisone;halcinonide,clobetasol;rimexolone;ciclesonide;medrysone;amcinonide;piretanide;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;prednisone;fluticasone;fludroxycortide;hydrocortisone;halcinonide,clobetasol;rimexolone;ciclesonide;medrysone;amcinonide;piretanide;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;prednisone;fluticasone;fludroxycortide;hydrocortisone;halcinonide,clobetasol;rimexolone;ciclesonide;medrysone;amcinonide;piretanide;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;prednisone;fluticasone;fludroxycortide;hydrocortisone;halcinonide,16
"glucose-dependent insulinotropic receptor (gdir, gpr119) agonists",apd668;gsk1292263,apd668;gsk1292263,apd668;gsk1292263,apd668;gsk1292263,apd668;gsk1292263,apd668;gsk1292263,2
glucosidase inhibitor,castanospermine;luteolin;acarbose;voglibose;miglitol,castanospermine;luteolin;acarbose;voglibose;miglitol,castanospermine;luteolin;acarbose;voglibose;miglitol,castanospermine;luteolin;acarbose;voglibose;miglitol,castanospermine;luteolin;acarbose;voglibose;miglitol,castanospermine;luteolin;acarbose;voglibose;miglitol,5
glutamate receptor agonist,bci-540;ampalex;d-serine;aniracetam,bci-540;ampalex;d-serine;aniracetam,bci-540;ampalex;d-serine;aniracetam,bci-540;ampalex;d-serine;aniracetam,bci-540;ampalex;d-serine;aniracetam,bci-540;ampalex;d-serine;aniracetam,4
glutamate receptor antagonist,budipine;cnqx;felbamate;ly215490;fenobam;basimglurant;amantadine,budipine;cnqx;felbamate;ly215490;fenobam;basimglurant;amantadine,budipine;cnqx;felbamate;ly215490;fenobam;basimglurant;amantadine,budipine;cnqx;felbamate;ly215490;fenobam;basimglurant;amantadine,budipine;cnqx;felbamate;ly215490;fenobam;basimglurant;amantadine,budipine;cnqx;felbamate;ly215490;fenobam;basimglurant;amantadine,7
glutamate receptor modulator,cx516;pregnenolone;s18986;mibampator,cx516;pregnenolone;s18986;mibampator,cx516;pregnenolone;s18986;mibampator,cx516;pregnenolone;s18986;mibampator,cx516;pregnenolone;s18986;mibampator,cx516;pregnenolone;s18986;mibampator,4
gonadotropin releasing factor hormone receptor agonist,triptorelin;goserelin-acetate,triptorelin;goserelin-acetate,triptorelin;goserelin-acetate,triptorelin;goserelin-acetate,triptorelin;goserelin-acetate,triptorelin;goserelin-acetate,2
growth hormone secretagogue receptor agonist,anamorelin;ibutamoren,anamorelin;ibutamoren,anamorelin;ibutamoren,anamorelin;ibutamoren,anamorelin;ibutamoren,anamorelin;ibutamoren,2
hcv inhibitor,grazoprevir;clemizole;ledipasvir;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,grazoprevir;clemizole;ledipasvir;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,grazoprevir;clemizole;ledipasvir;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,grazoprevir;clemizole;ledipasvir;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,grazoprevir;clemizole;ledipasvir;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,grazoprevir;clemizole;ledipasvir;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,8
hdac inhibitor,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,13
hepatocyte growth factor receptor inhibitor,sgx523;emd-1214063,sgx523;emd-1214063,sgx523;emd-1214063,sgx523;emd-1214063,sgx523;emd-1214063,sgx523;emd-1214063,2
histamine receptor agonist,amodiaquine;histamine;lidocaine,amodiaquine;histamine;lidocaine,amodiaquine;histamine;lidocaine,amodiaquine;histamine;lidocaine,amodiaquine;histamine;lidocaine,amodiaquine;histamine;lidocaine,3
histamine receptor antagonist,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;mizolastine;trimethobenzamide;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;levomequitazine;acrivastine;lodoxamide;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;mizolastine;trimethobenzamide;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;levomequitazine;acrivastine;lodoxamide;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;mizolastine;trimethobenzamide;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;levomequitazine;acrivastine;lodoxamide;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;mizolastine;trimethobenzamide;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;levomequitazine;acrivastine;lodoxamide;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;mizolastine;trimethobenzamide;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;levomequitazine;acrivastine;lodoxamide;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;mizolastine;trimethobenzamide;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;levomequitazine;acrivastine;lodoxamide;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,26
histamine receptor modulator,amlexanox;cyclizine,amlexanox;cyclizine,amlexanox;cyclizine,amlexanox;cyclizine,amlexanox;cyclizine,amlexanox;cyclizine,2
hiv integrase inhibitor,dolutegravir;elvitegravir;raltegravir;bms-707035,dolutegravir;elvitegravir;raltegravir;bms-707035,dolutegravir;elvitegravir;raltegravir;bms-707035,dolutegravir;elvitegravir;raltegravir;bms-707035,dolutegravir;elvitegravir;raltegravir;bms-707035,dolutegravir;elvitegravir;raltegravir;bms-707035,4
hiv protease inhibitor,saquinavir;indinavir;tipranavir;ritonavir;efavirenz;darunavir;lopinavir,saquinavir;indinavir;tipranavir;ritonavir;efavirenz;darunavir;lopinavir,saquinavir;indinavir;tipranavir;ritonavir;efavirenz;darunavir;lopinavir,saquinavir;indinavir;tipranavir;ritonavir;efavirenz;darunavir;lopinavir,saquinavir;indinavir;tipranavir;ritonavir;efavirenz;darunavir;lopinavir,saquinavir;indinavir;tipranavir;ritonavir;efavirenz;darunavir;lopinavir,7
hmgcr inhibitor,simvastatin;procaine;pravastatin;rosuvastatin;pitavastatin;atorvastatin,simvastatin;procaine;pravastatin;rosuvastatin;pitavastatin;atorvastatin,simvastatin;procaine;pravastatin;rosuvastatin;pitavastatin;atorvastatin,simvastatin;procaine;pravastatin;rosuvastatin;pitavastatin;atorvastatin,simvastatin;procaine;pravastatin;rosuvastatin;pitavastatin;atorvastatin,simvastatin;procaine;pravastatin;rosuvastatin;pitavastatin;atorvastatin,6
hsp inhibitor,alvespimycin;ganetespib;xl888;kw-2478;biib021;snx-2112,alvespimycin;ganetespib;xl888;kw-2478;biib021;snx-2112,alvespimycin;ganetespib;xl888;kw-2478;biib021;snx-2112,alvespimycin;ganetespib;xl888;kw-2478;biib021;snx-2112,alvespimycin;ganetespib;xl888;kw-2478;biib021;snx-2112,alvespimycin;ganetespib;xl888;kw-2478;biib021;snx-2112,6
hypoxia inducible factor inhibitor,2-methoxyestradiol;bay-87-2243,2-methoxyestradiol;bay-87-2243,2-methoxyestradiol;bay-87-2243,2-methoxyestradiol;bay-87-2243,2-methoxyestradiol;bay-87-2243,2-methoxyestradiol;bay-87-2243,2
immunostimulant,metenkephalin;nikethamide,metenkephalin;nikethamide,metenkephalin;nikethamide,metenkephalin;nikethamide,metenkephalin;nikethamide,metenkephalin;nikethamide,2
immunosuppressant,cromoglicic-acid;lobenzarit,cromoglicic-acid;lobenzarit,cromoglicic-acid;lobenzarit,cromoglicic-acid;lobenzarit,cromoglicic-acid;lobenzarit,cromoglicic-acid;lobenzarit,2
inosine monophosphate dehydrogenase inhibitor,merimepodib;avn-944,merimepodib;avn-944,merimepodib;avn-944,merimepodib;avn-944,merimepodib;avn-944,merimepodib;avn-944,2
insulin secretagogue,glimepiride;mitiglinide;nateglinide;tak-875;repaglinide,glimepiride;mitiglinide;nateglinide;tak-875;repaglinide,glimepiride;mitiglinide;nateglinide;tak-875;repaglinide,glimepiride;mitiglinide;nateglinide;tak-875;repaglinide,glimepiride;mitiglinide;nateglinide;tak-875;repaglinide,glimepiride;mitiglinide;nateglinide;tak-875;repaglinide,5
insulin sensitizer,inositol;metformin,inositol;metformin,inositol;metformin,inositol;metformin,inositol;metformin,inositol;metformin,2
integrin antagonist,firategrast;sb-683698;atn-161;ct-7758;cilengitide,firategrast;sb-683698;atn-161;ct-7758;cilengitide,firategrast;sb-683698;atn-161;ct-7758;cilengitide,firategrast;sb-683698;atn-161;ct-7758;cilengitide,firategrast;sb-683698;atn-161;ct-7758;cilengitide,firategrast;sb-683698;atn-161;ct-7758;cilengitide,5
isocitrate dehydrogenase inhibitor,agi-6780;agi-5198,agi-6780;agi-5198,agi-6780;agi-5198,agi-6780;agi-5198,agi-6780;agi-5198,agi-6780;agi-5198,2
