Metadata_broad_sample,broad_id,pert_iname,moa
BRD-A95869247-001-26-9,BRD-A95869247,indapamide,Thiazide diuretic
BRD-A95939040-001-01-2,BRD-A95939040,sertaconazole,Sterol demethylase inhibitor
BRD-A96060515-004-01-6,BRD-A96060515,ipratropium,Acetylcholine receptor antagonist
BRD-A96292436-003-16-1,BRD-A96292436,eflornithine,Ornithine decarboxylase inhibitor
BRD-A96456596-001-02-2,BRD-A96456596,FPL-55712,Leukotriene receptor antagonist
BRD-A96754982-001-01-4,BRD-A96754982,tacrolimus,Calcineurin inhibitor
BRD-A97104540-004-15-0,BRD-A97104540,fenoterol,Adrenergic receptor agonist
BRD-A97437073-050-14-5,BRD-A97437073,rosiglitazone,PPAR receptor agonist|Insulin sensitizer
BRD-A97479839-003-13-3,BRD-A97479839,piperidolate,Acetylcholine receptor antagonist
BRD-A97502381-001-01-3,BRD-A97502381,cyanocobalamin,Methylmalonyl CoA mutase stimulant|Vitamin B
BRD-A97674275-001-11-8,BRD-A97674275,ranolazine,Sodium channel blocker
BRD-A97701745-001-16-0,BRD-A97701745,pindolol,Adrenergic receptor antagonist
BRD-A97739905-001-26-5,BRD-A97739905,ketoprofen,Cyclooxygenase inhibitor
BRD-A97808748-001-03-8,BRD-A97808748,spironolactone,Mineralocorticoid receptor antagonist
BRD-A98702003-304-04-8,BRD-A98702003,carbenoxolone,11-beta-HSD1 inhibitor
BRD-A98845662-036-03-7,BRD-A98845662,desvenlafaxine,Serotonin reuptake inhibitor
BRD-A98990573-003-01-3,BRD-A98990573,epinastine,Histamine receptor antagonist
BRD-A99939097-001-24-2,BRD-A99939097,carisoprodol,Acetylcholine receptor antagonist
BRD-K00077635-304-01-2,BRD-K00077635,estramustine-phosphate,DNA synthesis inhibitor|Microtubule inhibitor|DNA alkylating drug|DNA inhibitor|Estrogen receptor agonist
BRD-K00152668-001-01-5,BRD-K00152668,adarotene,Retinoid receptor agonist
BRD-K00259736-001-16-4,BRD-K00259736,colchicine,Microtubule inhibitor
BRD-K00494077-066-01-9,BRD-K00494077,trovafloxacin,Bacterial DNA gyrase inhibitor
BRD-K00521308-019-01-9,BRD-K00521308,atn-161,integrin antagonist
BRD-K00603606-003-24-0,BRD-K00603606,ticlopidine,Purinergic receptor antagonist
BRD-K00610438-003-02-5,BRD-K00610438,altanserin,Serotonin receptor antagonist
BRD-K00662280-001-09-4,BRD-K00662280,CL-218872,GABA receptor agonist
BRD-K00673382-001-18-9,BRD-K00673382,famotidine,Histamine receptor antagonist
BRD-K00674894-001-01-4,BRD-K00674894,orteronel,Androgen biosynthesis inhibitor|Androgen receptor antagonist|Cytochrome P450 inhibitor
BRD-K00911143-001-01-9,BRD-K00911143,brexpiprazole,Dopamine receptor partial agonist
BRD-K01029106-001-01-4,BRD-K01029106,picolinic-acid,Chelating agent
BRD-K01039503-001-01-2,BRD-K01039503,sofalcone,Mucus protecting agent
BRD-K01174345-001-01-9,BRD-K01174345,anamorelin,Growth hormone secretagogue receptor agonist
BRD-K01292756-001-25-0,BRD-K01292756,pimozide,Dopamine receptor antagonist
BRD-K01577834-001-15-1,BRD-K01577834,adenosine,Adenosine receptor agonist
BRD-K01621533-001-01-1,BRD-K01621533,acarbose,Glucosidase inhibitor
BRD-K01638814-051-10-1,BRD-K01638814,rilmenidine,Adrenergic receptor agonist|Imidazoline receptor agonist
BRD-K01663662-003-20-2,BRD-K01663662,diphenidol,Acetylcholine receptor agonist
BRD-K01674964-300-06-3,BRD-K01674964,histamine,Histamine receptor agonist
BRD-K01815685-001-15-5,BRD-K01815685,indole,"Aryl hydrocarbon receptor agonist|Indoleamine 2,3-dioxygenase inhibitor"
BRD-K01824921-001-18-5,BRD-K01824921,dpcpx,Adenosine receptor antagonist
BRD-K02079473-001-01-3,BRD-K02079473,oxatomide,Histamine receptor antagonist
BRD-K02113016-001-15-4,BRD-K02113016,olaparib,PARP inhibitor
BRD-K02123250-001-06-7,BRD-K02123250,JNJ-38877605,Tyrosine kinase inhibitor
BRD-K02265150-001-26-5,BRD-K02265150,amoxapine,Norepinephrine reputake inhibitor
BRD-K02292852-001-02-1,BRD-K02292852,cefoperazone,Bacterial cell wall synthesis inhibitor
BRD-K02314383-001-01-3,BRD-K02314383,epitiostanol,Androgen receptor agonist
BRD-K02389548-001-02-5,BRD-K02389548,rg2833,HDAC inhibitor
BRD-K02404261-001-16-7,BRD-K02404261,caffeine,Adenosine receptor antagonist|Phosphodiesterase inhibitor
BRD-K02501528-001-01-1,BRD-K02501528,s18986,Glutamate receptor modulator
BRD-K02637541-001-18-0,BRD-K02637541,celecoxib,Cyclooxygenase inhibitor
BRD-K02867583-300-08-9,BRD-K02867583,minaprine,Serotonin reuptake inhibitor
BRD-K02900412-001-11-3,BRD-K02900412,clofoctol,Protein synthesis inhibitor
BRD-K02943813-001-01-9,BRD-K02943813,dasabuvir,HCV inhibitor
BRD-K02950022-001-02-9,BRD-K02950022,BMS-299897,Gamma secretase inhibitor
BRD-K02992638-001-11-8,BRD-K02992638,lamivudine,Nucleoside reverse transcriptase inhibitor
BRD-K03095347-001-06-1,BRD-K03095347,levosimendan,Calcium sensitizer
BRD-K03194791-001-04-8,BRD-K03194791,roflumilast,Phosphodiesterase inhibitor
BRD-K03289534-001-01-4,BRD-K03289534,lersivirine,Non-nucleoside reverse transcriptase inhibitor
BRD-K03384561-001-02-7,BRD-K03384561,roquinimex,Angiogenesis inhibitor|TNF production inhibitor
BRD-K03390685-001-01-7,BRD-K03390685,cobimetinib,MEK inhibitor
BRD-K03449891-001-08-6,BRD-K03449891,foretinib,VEGFR inhibitor
BRD-K03601870-001-01-2,BRD-K03601870,ixabepilone,Microtubule stabilizing agent
BRD-K03816923-001-05-4,BRD-K03816923,rottlerin,MAP kinase inhibitor|Protein kinase inhibitor
BRD-K03842655-001-02-1,BRD-K03842655,penitrem-a,Potassium channel blocker
BRD-K04111260-001-10-0,BRD-K04111260,raclopride,Dopamine receptor antagonist
BRD-K04112579-001-07-0,BRD-K04112579,nepafenac,Cyclooxygenase inhibitor
BRD-K04185004-003-11-9,BRD-K04185004,oxybuprocaine,Local anesthetic
BRD-K04264130-001-01-4,BRD-K04264130,favipiravir,RNA polymerase inhibitor
BRD-K04691817-001-01-8,BRD-K04691817,agi-6780,isocitrate dehydrogenase inhibitor
BRD-K04704168-003-14-3,BRD-K04704168,clemizole,HCV inhibitor
BRD-K04804440-001-09-5,BRD-K04804440,ciprofloxacin,Bacterial DNA gyrase inhibitor
BRD-K04887706-375-01-4,BRD-K04887706,AKT-inhibitor-1-2,AKT inhibitor
BRD-K04956647-003-02-5,BRD-K04956647,nebivolol,Adrenergic receptor antagonist
BRD-K04993719-001-01-7,BRD-K04993719,ly2334737,Antitumor agent|Ribonucleoside reductase inhibitor
BRD-K05104363-001-10-0,BRD-K05104363,PD-184352,MEK inhibitor
BRD-K05236810-001-19-0,BRD-K05236810,luteolin,Glucosidase inhibitor
BRD-K05395900-322-05-4,BRD-K05395900,nicotine,Acetylcholine receptor agonist
BRD-K05446112-001-01-8,BRD-K05446112,ledipasvir,HCV inhibitor
BRD-K05524748-003-04-4,BRD-K05524748,dronedarone,Adrenergic receptor antagonist
BRD-K05658747-001-02-9,BRD-K05658747,raltegravir,HIV integrase inhibitor
BRD-K05673000-236-12-1,BRD-K05673000,dicloxacillin,Bacterial cell wall synthesis inhibitor
BRD-K05674516-001-02-5,BRD-K05674516,sofosbuvir,RNA polymerase inhibitor
BRD-K05804044-001-06-0,BRD-K05804044,AZ-628,RAF inhibitor
BRD-K05977355-001-19-0,BRD-K05977355,fluconazole,Sterol demethylase inhibitor
BRD-K06240250-001-01-6,BRD-K06240250,rilpivirine,Non-nucleoside reverse transcriptase inhibitor
BRD-K06294530-001-01-5,BRD-K06294530,uk-383367,procollagen C-endopeptidase inhibitor
BRD-K06335600-003-20-7,BRD-K06335600,tizanidine,Adrenergic receptor agonist
BRD-K06388322-312-02-6,BRD-K06388322,pramipexole,Dopamine receptor agonist
BRD-K06557128-001-07-0,BRD-K06557128,voriconazole,Cytochrome P450 inhibitor
BRD-K06674495-334-03-2,BRD-K06674495,nafamostat,Serine protease inhibitor
BRD-K06762493-001-08-1,BRD-K06762493,isbufylline,Phosphodiesterase inhibitor
BRD-K06858286-001-01-3,BRD-K06858286,cabazitaxel,Microtubule inhibitor
BRD-K06878038-001-18-6,BRD-K06878038,deferiprone,Chelating agent
BRD-K06900071-001-01-2,BRD-K06900071,tebipenem,Bacterial cell wall synthesis inhibitor
BRD-K06902185-003-01-7,BRD-K06902185,minoxidil,KATP activator|Kir6 channel (KATP) activator|Vasodilator
BRD-K07106112-003-03-8,BRD-K07106112,bms-599626,EGFR inhibitor|protein tyrosine kinase inhibitor
BRD-K07160047-001-01-3,BRD-K07160047,fiacitabine,DNA synthesis inhibitor
BRD-K07208025-001-29-7,BRD-K07208025,trimethoprim,Dihydrofolate reductase inhibitor
BRD-K07220430-001-18-4,BRD-K07220430,cinnarizine,Calcium channel blocker
BRD-K07237224-001-19-6,BRD-K07237224,moclobemide,Monoamine oxidase inhibitor
BRD-K07310275-001-02-5,BRD-K07310275,pf-04691502,mTOR inhibitor|PI3K inhibitor
BRD-K07572174-001-17-0,BRD-K07572174,curcumin,Cyclooxygenase inhibitor|Histone acetyltransferase inhibitor|Lipoxygenase inhibitor|NFkB pathway inhibitor
BRD-K07609981-001-01-7,BRD-K07609981,dexloxiglumide,CCK receptor antagonist
BRD-K07691486-001-15-5,BRD-K07691486,roscovitine,CDK inhibitor
BRD-K07753030-003-17-6,BRD-K07753030,acecainide,Polarization inhibitor
BRD-K07798980-001-01-9,BRD-K07798980,psi-6130,RNA polymerase inhibitor
BRD-K07857022-002-01-1,BRD-K07857022,alvimopan,Opioid receptor antagonist
BRD-K07881437-001-03-8,BRD-K07881437,danusertib,Aurora kinase inhibitor|Growth factor receptor inhibitor
BRD-K07954936-001-01-3,BRD-K07954936,2-iminobiotin,Nitric oxide synthase inhibitor
BRD-K08037784-001-12-6,BRD-K08037784,arbutin,Melanin inhibitor
BRD-K08109215-001-06-4,BRD-K08109215,i-bet-762,bromodomain inhibitor
BRD-K08206212-002-01-0,BRD-K08206212,entecavir,DNA replication inhibitor|Reverse transcriptase inhibitor
BRD-K08248804-001-01-8,BRD-K08248804,lcl-161,XIAP inhibitor
BRD-K08252256-236-33-8,BRD-K08252256,diclofenac,Cyclooxygenase inhibitor
BRD-K08547377-394-03-5,BRD-K08547377,irinotecan,Topoisomerase inhibitor
BRD-K08586861-001-01-1,BRD-K08586861,ramatroban,Prostanoid receptor antagonist
BRD-K08703257-001-12-1,BRD-K08703257,3-amino-benzamide,PARP inhibitor
BRD-K08799216-001-05-3,BRD-K08799216,pelitinib,EGFR inhibitor
BRD-K08832567-001-11-5,BRD-K08832567,naringenin,Aromatase inhibitor|TRPV antagonist
BRD-K08859203-001-01-9,BRD-K08859203,du-728,structural glycoprotein antagonist
BRD-K08924299-003-06-1,BRD-K08924299,palonosetron,Serotonin receptor antagonist
BRD-K08976401-001-18-5,BRD-K08976401,azelaic-acid,Tyrosinase inhibitor
BRD-K09078998-001-01-4,BRD-K09078998,deforolimus,MTOR inhibitor
BRD-K09090949-001-01-9,BRD-K09090949,"cp-945,598",cannabinoid receptor antagonist
BRD-K09132007-001-07-5,BRD-K09132007,D-4476,TGF beta receptor inhibitor
BRD-K09255212-001-16-6,BRD-K09255212,clioquinol,Chelating agent
BRD-K09372874-001-01-0,BRD-K09372874,merimepodib,Inosine monophosphate dehydrogenase inhibitor
BRD-K09397065-003-06-1,BRD-K09397065,SR-57227A,Serotonin receptor agonist
BRD-K09426783-300-01-0,BRD-K09426783,tas-103,topoisomerase inhibitor
BRD-K09471561-001-18-2,BRD-K09471561,levofloxacin,Bacterial DNA gyrase inhibitor
BRD-K09549677-300-03-4,BRD-K09549677,mibefradil,T-type calcium channel blocker
BRD-K09602097-001-13-6,BRD-K09602097,forskolin,Adenylyl cyclase activator
BRD-K09711437-001-04-3,BRD-K09711437,varespladib,Secretory phospholipase inhibitor
BRD-K09951645-001-06-8,BRD-K09951645,dabrafenib,RAF inhibitor
BRD-K10670311-001-15-5,BRD-K10670311,sulfasalazine,Antirheumatic drug|NFkB pathway inhibitor
BRD-K10843433-001-22-7,BRD-K10843433,phenylbutazone,Cyclooxygenase inhibitor|Prostanoid receptor antagonist
BRD-K10845183-304-01-6,BRD-K10845183,tiludronate,Bone resorption inhibitor|Osteoclast inhibitor
BRD-K10852020-001-04-5,BRD-K10852020,tolcapone,Catechol O methyltransferase inhibitor
BRD-K10859802-001-01-0,BRD-K10859802,apd668,"Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119) Agonists"
BRD-K10961822-001-05-1,BRD-K10961822,latanoprost,Prostanoid receptor agonist
BRD-K11071038-001-01-7,BRD-K11071038,ici-162846,histamine receptor antagonist
BRD-K11073688-001-01-6,BRD-K11073688,cpi-1189,tumor necrosis factor release inhibitor
BRD-K11129031-001-27-5,BRD-K11129031,gemfibrozil,Lipoprotein lipase activator
BRD-K11153516-001-05-5,BRD-K11153516,iniparib,PARP inhibitor
BRD-K11196887-001-21-2,BRD-K11196887,norfloxacin,Bacterial DNA gyrase inhibitor
BRD-K11267252-001-04-4,BRD-K11267252,alectinib,ALK tyrosine kinase receptor inhibitor
BRD-K11399644-003-11-3,BRD-K11399644,phenformin,AMPK activator
BRD-K11433652-001-17-0,BRD-K11433652,aspirin,Cyclooxygenase inhibitor
BRD-K11717138-001-30-3,BRD-K11717138,benzbromarone,Chloride channel blocker
BRD-K11973162-003-01-8,BRD-K11973162,tipiracil,Thymidine phosphorylase inhibitor
BRD-K12184916-001-15-4,BRD-K12184916,NVP-BEZ235,MTOR inhibitor|PI3K inhibitor
BRD-K12219985-001-26-1,BRD-K12219985,glipizide,Sulfonylurea
BRD-K12423485-001-01-7,BRD-K12423485,griseofulvin,Tubulin inhibitor
BRD-K12539416-001-01-4,BRD-K12539416,sulbutiamine,Acetylcholine receptor antagonist
BRD-K12609457-001-03-1,BRD-K12609457,exalamide,Membrane permeability inhibitor
BRD-K12735121-001-01-4,BRD-K12735121,tg-100801,SRC inhibitor|VEGFR inhibitor
BRD-K12737986-001-01-4,BRD-K12737986,veliparib,PARP inhibitor
BRD-K12787259-001-04-3,BRD-K12787259,cx-5461,RNA polymerase inhibitor
BRD-K12867552-001-04-7,BRD-K12867552,THM-I-94,HDAC inhibitor
BRD-K12885236-001-02-7,BRD-K12885236,dapivirine,Non-nucleoside reverse transcriptase inhibitor
BRD-K12932420-001-02-3,BRD-K12932420,YM-976,Phosphodiesterase inhibitor
BRD-K12994359-001-18-4,BRD-K12994359,valdecoxib,Cyclooxygenase inhibitor
BRD-K13050541-001-01-9,BRD-K13050541,acivicin,Gamma glutamyltransferase Inhibitors
BRD-K13154216-001-01-3,BRD-K13154216,everolimus,MTOR inhibitor
BRD-K13183738-317-10-2,BRD-K13183738,pentamidine,Anti-pneumocystis agent
BRD-K13296708-001-05-8,BRD-K13296708,rimonabant,Cannabinoid receptor antagonist
BRD-K13356952-001-25-1,BRD-K13356952,methazolamide,Carbonic anhydrase inhibitor
BRD-K13390322-001-06-3,BRD-K13390322,AT-7519,CDK inhibitor|Cell cycle inhibitor
BRD-K13646352-001-03-8,BRD-K13646352,midostaurin,FLT3 inhibitor|KIT inhibitor|PKC inhibitor
BRD-K13662825-001-07-5,BRD-K13662825,dinaciclib,CDK inhibitor
BRD-K13756951-001-01-4,BRD-K13756951,bitopertin,Glycine transporter inhibitor|GlyT-1 inhibitor
BRD-K13819402-003-10-2,BRD-K13819402,desoxypeganine,Acetylcholinesterase inhibitor|Monoamine oxidase inhibitor
BRD-K13926615-003-03-3,BRD-K13926615,vardenafil,Phosphodiesterase inhibitor
BRD-K14175878-001-01-6,BRD-K14175878,mk-0812,CC chemokine receptor antagonist
BRD-K14529030-001-01-9,BRD-K14529030,meisoindigo,STAT inhibitor
BRD-K14619660-001-01-5,BRD-K14619660,altrenogest,Progestogen hormone
BRD-K14653796-001-01-1,BRD-K14653796,tasquinimod,Angiogenesis inhibitor|S100A9 inhibitor
BRD-K14704277-001-22-6,BRD-K14704277,cinoxacin,Topoisomerase inhibitor
BRD-K14796088-003-26-8,BRD-K14796088,berberine,LDL receptor activator
BRD-K14870255-001-02-3,BRD-K14870255,r-428,AXL kinase inhibitor
BRD-K14993104-001-05-9,BRD-K14993104,bemegride,Chemoreceptor agonist
BRD-K15010214-364-02-7,BRD-K15010214,emedastine,Histamine receptor antagonist
BRD-K15108141-001-06-6,BRD-K15108141,gemcitabine,Ribonucleotide reductase inhibitor
BRD-K15170068-001-03-2,BRD-K15170068,swainsonine,Alpha mannosidase inhibitor
BRD-K15179879-001-03-2,BRD-K15179879,carfilzomib,Proteasome inhibitor
BRD-K15318383-201-01-5,BRD-K15318383,ammonium-glycyrrhizinate,Thrombin inhibitor
BRD-K15409150-001-05-8,BRD-K15409150,penfluridol,T-type calcium channel blocker
BRD-K15426076-001-01-2,BRD-K15426076,iguratimod,Cyclooxygenase inhibitor|NFkB pathway inhibitor
BRD-K15502390-001-20-9,BRD-K15502390,nevirapine,Reverse transcriptase inhibitor
BRD-K15507868-001-03-7,BRD-K15507868,tesaglitazar,Insulin sensitizer|PPAR receptor agonist
BRD-K15567136-003-27-2,BRD-K15567136,papaverine,Phosphodiesterase inhibitor
BRD-K15766189-001-09-8,BRD-K15766189,cefdinir,Bacterial cell wall synthesis inhibitor
BRD-K15916496-001-27-9,BRD-K15916496,clotrimazole,Cytochrome P450 inhibitor|Imidazoline ligand
BRD-K15933101-003-06-1,BRD-K15933101,ropinirole,Dopamine receptor agonist
BRD-K15976406-001-03-3,BRD-K15976406,telbivudine,DNA polymerase inhibitor
BRD-K16037980-001-01-1,BRD-K16037980,z160,N-type calcium channel blocker
BRD-K16077845-001-06-1,BRD-K16077845,fentiazac,Cyclooxygenase inhibitor
BRD-K16133773-001-01-9,BRD-K16133773,abiraterone-acetate,"17,20 lyase inhibitor|Cytochrome P450 inhibitor|Steroid sulfatase inhibitor|Androgen biosynthesis inhibitor"
BRD-K16195444-003-26-0,BRD-K16195444,oxymetazoline,Adrenergic receptor agonist
BRD-K16295392-003-01-3,BRD-K16295392,atrasentan,Endothelin receptor antagonist
BRD-K16444452-001-09-1,BRD-K16444452,ibudilast,Phosphodiesterase inhibitor|Leukotriene receptor antagonist
BRD-K16508793-001-05-9,BRD-K16508793,diazepam,Benzodiazepine receptor agonist
BRD-K16542329-001-13-5,BRD-K16542329,zaprinast,Phosphodiesterase inhibitor
BRD-K16730910-001-07-3,BRD-K16730910,regorafenib,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
BRD-K16732600-001-01-7,BRD-K16732600,mk-0893,glucagon receptor antagonist
BRD-K16757695-050-02-5,BRD-K16757695,prx-08066,serotonin receptor antagonist
BRD-K16761703-001-03-8,BRD-K16761703,sotrastaurin,PKC inhibitor
BRD-K16762525-001-01-6,BRD-K16762525,clarithromycin,Bacterial 50S ribosomal subunit inhibitor
BRD-K16803204-001-01-6,BRD-K16803204,filgotinib,JAK inhibitor
BRD-K16898998-001-01-6,BRD-K16898998,bevirimat-dimeglumine,HIV capsid assembly inhibitor|HIV gag inhibitor
BRD-K17026858-001-01-2,BRD-K17026858,pibenzimol,DNA inhibitor
BRD-K17068645-003-04-2,BRD-K17068645,bendamustine,DNA inhibitor
BRD-K17075857-001-17-6,BRD-K17075857,chloroxine,Opioid receptor antagonist
BRD-K17203476-001-01-9,BRD-K17203476,ly2874455,FGFR antagonist
BRD-K17498618-344-02-6,BRD-K17498618,atracurium,Acetylcholine receptor antagonist
BRD-K17500877-001-02-1,BRD-K17500877,bropirimine,Interferon inducer
BRD-K17513304-001-01-9,BRD-K17513304,firategrast,Integrin antagonist
BRD-K17555800-003-01-5,BRD-K17555800,talmapimod,P38 MAPK inhibitor
BRD-K17561142-003-32-5,BRD-K17561142,amiodarone,Potassium channel blocker
BRD-K17705806-003-04-4,BRD-K17705806,JTC-801,Opioid receptor antagonist
BRD-K17743125-001-08-4,BRD-K17743125,belinostat,HDAC inhibitor
BRD-K17849083-001-31-1,BRD-K17849083,tranilast,Angiogenesis inhibitor
BRD-K17894950-001-14-3,BRD-K17894950,indirubin,CDK inhibitor|Glycogen synthase kinase inhibitor
BRD-K17930269-001-01-8,BRD-K17930269,retapamulin,Protein synthesis inhibitor
BRD-K17944737-001-02-1,BRD-K17944737,artesunate,DNA synthesis inhibitor
BRD-K17953908-001-01-7,BRD-K17953908,ly2886721,Beta-secretase inhibitor
BRD-K18157228-001-01-7,BRD-K18157228,fdcyd,DNA methyltransferase inhibitor
BRD-K18194590-065-08-0,BRD-K18194590,mephentermine,Adrenergic receptor agonist
BRD-K18324993-001-01-6,BRD-K18324993,budipine,Glutamate receptor antagonist
BRD-K18673820-001-15-5,BRD-K18673820,folic-acid,Folate receptor ligand
BRD-K18678457-003-02-8,BRD-K18678457,ZD-7288,HCN channel blocker
BRD-K18779551-003-07-8,BRD-K18779551,bifemelane,Acetylcholine release stimulant
BRD-K18850819-001-04-6,BRD-K18850819,mk-0752,gamma secretase inhibitor
BRD-K19111024-001-20-9,BRD-K19111024,clofibric-acid,PPAR receptor agonist
BRD-K19284129-001-02-6,BRD-K19284129,salvinorin-a,Opioid receptor agonist
BRD-K19352500-070-12-4,BRD-K19352500,prochlorperazine,Dopamine receptor antagonist
BRD-K19388745-003-01-7,BRD-K19388745,colforsin-daproate,Adenylyl cyclase activator|Adenylate cyclase stimulant
BRD-K19540840-001-09-4,BRD-K19540840,saracatinib,Src inhibitor
BRD-K19687926-379-07-4,BRD-K19687926,lapatinib,EGFR inhibitor|ErbB2 inhibitor
BRD-K19939891-001-05-4,BRD-K19939891,tic10,AKT inhibitor|TRAIL modulator
BRD-K20141153-003-13-7,BRD-K20141153,atomoxetine,Norepinephrine transporter inhibitor
BRD-K20285085-001-07-1,BRD-K20285085,fostamatinib,SYK inhibitor
BRD-K20920669-304-09-1,BRD-K20920669,cromoglicic-acid,Immunosuppressant
BRD-K21295289-001-01-6,BRD-K21295289,senicapoc,Intermediate conductance potassium channel blocker
BRD-K21361524-001-01-1,BRD-K21361524,kpt-330,exportin antagonist
BRD-K21396683-001-04-8,BRD-K21396683,marimastat,Matrix metalloprotease inhibitor
BRD-K21450440-001-14-6,BRD-K21450440,benzthiazide,Carbonic anhydrase inhibitor
BRD-K21718444-001-06-8,BRD-K21718444,kw-2449,Abl kinase inhibitor|Aurora kinase inhibitor|FLT3 inhibitor
BRD-K21908111-001-01-8,BRD-K21908111,azd1208,Pim kinase inhibitor
BRD-K22024824-001-03-7,BRD-K22024824,rg4733,Gamma secretase inhibitor
BRD-K22031190-001-23-6,BRD-K22031190,diflunisal,Prostanoid receptor antagonist
BRD-K22134346-001-22-3,BRD-K22134346,simvastatin,HMGCR inhibitor
BRD-K22749967-046-02-3,BRD-K22749967,abt-239,histamine receptor antagonist
BRD-K22822991-001-02-3,BRD-K22822991,odanacatib,Cathepsin inhibitor
BRD-K22848513-001-01-9,BRD-K22848513,bardoxolone-methyl,"Nuclear factor erythroid derived, like (NRF2) activator|Apoptosis stimulant|BCL inhibitor|Glutathione Reductase (NADPH) Activators|Heme Oxygenase Activators|IKK-1 (IKK-alpha) Inhibitors|NFkB pathway inhibitor|Nitric oxide production inhibitor|PPAR receptor agonist|Reducing agent"
BRD-K23248433-001-01-8,BRD-K23248433,camicinal,Motilin receptor agonist
BRD-K23363278-001-02-1,BRD-K23363278,CYT-997,Tubulin inhibitor
BRD-K23499943-003-01-6,BRD-K23499943,alvespimycin,HSP inhibitor
BRD-K23672206-001-01-4,BRD-K23672206,bci-540,glutamate receptor agonist
BRD-K23677682-003-01-2,BRD-K23677682,voreloxin,Topoisomerase inhibitor
BRD-K23728141-001-01-2,BRD-K23728141,tafamidis-meglumine,Transthyretin amyloid inhibitor|Transthyretin stabilizer
BRD-K23875128-001-04-2,BRD-K23875128,RHO-kinase-inhibitor-III[rockout],Rho associated kinase inhibitor
BRD-K23976833-001-01-0,BRD-K23976833,travoprost,Prostanoid receptor agonist
BRD-K24616672-003-20-1,BRD-K24616672,procaine,HMGCR inhibitor
BRD-K24723746-036-02-5,BRD-K24723746,solifenacin-succinate,Acetylcholine receptor antagonist
BRD-K24771047-001-01-6,BRD-K24771047,ampalex,Glutamate receptor agonist
BRD-K24844714-001-24-5,BRD-K24844714,fluorouracil,RNA synthesis inhibitor|Thymidylate synthase inhibitor
BRD-K24943235-001-01-3,BRD-K24943235,grazoprevir,HCV inhibitor
BRD-K24968862-001-01-0,BRD-K24968862,sb-683698,integrin antagonist
BRD-K25114078-003-08-1,BRD-K25114078,aminoguanidine,Nitric oxide synthase inhibitor
BRD-K25140590-001-03-0,BRD-K25140590,cx516,Glutamate receptor modulator
BRD-K25204779-001-01-1,BRD-K25204779,pritelivir,Helicase primase inhibitor
BRD-K25361343-001-01-6,BRD-K25361343,batimastat,Matrix metalloprotease inhibitor
BRD-K25394294-001-14-9,BRD-K25394294,oxaprozin,Cyclooxygenase inhibitor
BRD-K25412176-001-01-9,BRD-K25412176,gsk2110183,AKT inhibitor
BRD-K25433859-003-25-4,BRD-K25433859,maprotiline,Norepinephrine reputake inhibitor|Tricyclic antidepressant
BRD-K25630527-001-03-8,BRD-K25630527,ly2784544,JAK inhibitor
BRD-K25650355-065-02-0,BRD-K25650355,physostigmine,Cholinesterase inhibitor|Acetylcholinesterase inhibitor
BRD-K25837718-001-03-8,BRD-K25837718,josamycin,Bacterial 50S ribosomal subunit inhibitor
BRD-K25943794-001-02-3,BRD-K25943794,blonanserin,Dopamine receptor antagonist|Serotonin receptor antagonist
BRD-K26011976-001-01-0,BRD-K26011976,licochalcone-a,Topoisomerase inhibitor
BRD-K26325692-003-01-3,BRD-K26325692,api-001,sigma receptor antagonist
BRD-K26341917-001-01-3,BRD-K26341917,l-ergothioneine,free radical scavenger
BRD-K26603252-003-04-9,BRD-K26603252,pd153035,EGFR inhibitor
BRD-K26619122-001-02-1,BRD-K26619122,thiocolchicoside,GABA receptor antagonist
BRD-K26657438-001-15-2,BRD-K26657438,imiquimod,Interferon inducer|TLR agonist
BRD-K26667523-001-02-5,BRD-K26667523,tak-733,MEK inhibitor
BRD-K26701552-001-01-8,BRD-K26701552,tegobuvir,HCV inhibitor|Protease inhibitor
BRD-K26712974-001-01-5,BRD-K26712974,vx-765,caspase inhibitor
BRD-K26823213-001-02-9,BRD-K26823213,gw842166,Cannabinoid receptor agonist
BRD-K27182532-001-02-3,BRD-K27182532,metatinib,Bcr-Abl kinase inhibitor
BRD-K27184429-300-01-3,BRD-K27184429,levocetirizine,Histamine receptor antagonist
BRD-K27204852-001-01-9,BRD-K27204852,balicatib,Cathepsin inhibitor
BRD-K27938825-001-02-4,BRD-K27938825,asa-404,angiogenesis inhibitor
BRD-K27955832-001-02-9,BRD-K27955832,lomeguatrib,O6-alkylguanine-DNA alkyltransferase inhibitor
BRD-K28115081-001-02-7,BRD-K28115081,apafant,Platelet activating factor receptor antagonist
BRD-K28143534-003-25-9,BRD-K28143534,cyproheptadine,Histamine receptor antagonist
BRD-K28183345-003-11-4,BRD-K28183345,proguanil,Dihydrofolate reductase inhibitor
BRD-K28217197-001-01-4,BRD-K28217197,ganaxolone,GABA receptor modulator
BRD-K28307902-001-21-7,BRD-K28307902,flutamide,Androgen receptor antagonist
BRD-K28392481-001-05-1,BRD-K28392481,azd4547,FGFR inhibitor
BRD-K28428262-001-04-1,BRD-K28428262,brivanib,FGFR inhibitor|VEGFR inhibitor
