moa,moa_cpds_dose_1,moa_cpds_dose_2,moa_cpds_dose_3,moa_cpds_dose_4,moa_cpds_dose_5,moa_cpds_dose_6,moa_size
dna alkylating agent,dacarbazine;ifosfamide,dacarbazine;ifosfamide,dacarbazine;ifosfamide,dacarbazine;ifosfamide,dacarbazine;ifosfamide,dacarbazine;ifosfamide,2
dna alkylating drug,temozolomide;estramustine,temozolomide;estramustine,temozolomide;estramustine,temozolomide;estramustine,temozolomide;estramustine,temozolomide;estramustine,2
dna directed dna polymerase inhibitor,brivudine;penciclovir;edoxudine,brivudine;penciclovir;edoxudine,brivudine;penciclovir;edoxudine,brivudine;penciclovir;edoxudine,brivudine;penciclovir;edoxudine,brivudine;penciclovir;edoxudine,3
dna inhibitor,pibenzimol;bendamustine;chlorambucil;teroxirone;cordycepin;tirapazamine,pibenzimol;bendamustine;chlorambucil;teroxirone;cordycepin;tirapazamine,pibenzimol;bendamustine;chlorambucil;teroxirone;cordycepin;tirapazamine,pibenzimol;bendamustine;chlorambucil;teroxirone;cordycepin;tirapazamine,pibenzimol;bendamustine;chlorambucil;teroxirone;cordycepin;tirapazamine,pibenzimol;bendamustine;chlorambucil;teroxirone;cordycepin;tirapazamine,6
dna methyltransferase inhibitor,fdcyd;azacitidine;decitabine,fdcyd;azacitidine;decitabine,fdcyd;azacitidine;decitabine,fdcyd;azacitidine;decitabine,fdcyd;azacitidine;decitabine,fdcyd;azacitidine;decitabine,3
dna polymerase inhibitor,telbivudine;famciclovir;torcitabine,telbivudine;famciclovir;torcitabine,telbivudine;famciclovir;torcitabine,telbivudine;famciclovir;torcitabine,telbivudine;famciclovir;torcitabine,telbivudine;famciclovir;torcitabine,3
dna synthesis inhibitor,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,artesunate;fiacitabine;cb-10-277-(free-acid);altretamine;methoxsalen;idoxuridin;floxuridine,7
dopamine receptor agonist,ropinirole;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,ropinirole;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,ropinirole;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,ropinirole;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,ropinirole;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,ropinirole;pramipexole;dopamine;abt-724;bromocriptine;piribedil;cabergoline;mesulergine;rotigotine,9
dopamine receptor antagonist,prochlorperazine;raclopride;isofloxythepin;pimozide;alizapride;chlorprothixene;cariprazine;tiapride;fluphenazine;triflupromazine;haloperidol;molindone;thioridazine;nemonapride;oxiperomide;fluspirilene;chlorpromazine;droperidol;thiothixene;itopride,prochlorperazine;raclopride;isofloxythepin;pimozide;alizapride;cariprazine;chlorprothixene;tiapride;fluphenazine;triflupromazine;haloperidol;molindone;thioridazine;nemonapride;oxiperomide;fluspirilene;chlorpromazine;droperidol;thiothixene;itopride,prochlorperazine;raclopride;isofloxythepin;pimozide;alizapride;chlorprothixene;cariprazine;tiapride;fluphenazine;triflupromazine;haloperidol;molindone;thioridazine;nemonapride;oxiperomide;fluspirilene;chlorpromazine;droperidol;thiothixene;itopride,prochlorperazine;raclopride;isofloxythepin;pimozide;alizapride;cariprazine;chlorprothixene;tiapride;fluphenazine;triflupromazine;haloperidol;molindone;thioridazine;nemonapride;oxiperomide;fluspirilene;chlorpromazine;droperidol;thiothixene;itopride,prochlorperazine;raclopride;isofloxythepin;pimozide;alizapride;chlorprothixene;cariprazine;tiapride;fluphenazine;triflupromazine;haloperidol;molindone;thioridazine;nemonapride;oxiperomide;fluspirilene;chlorpromazine;droperidol;thiothixene;itopride,prochlorperazine;raclopride;isofloxythepin;pimozide;alizapride;chlorprothixene;cariprazine;tiapride;fluphenazine;triflupromazine;haloperidol;molindone;thioridazine;nemonapride;oxiperomide;fluspirilene;chlorpromazine;droperidol;thiothixene;itopride,20
dopamine receptor antagonist|serotonin receptor antagonist,blonanserin;ziprasidone;lurasidone;risperidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,blonanserin;ziprasidone;lurasidone;risperidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,blonanserin;ziprasidone;risperidone;lurasidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,blonanserin;ziprasidone;lurasidone;risperidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,blonanserin;ziprasidone;lurasidone;risperidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,blonanserin;ziprasidone;lurasidone;risperidone;quetiapine;sertindole;metoclopramide;melperone;asenapine,9
dopamine reuptake inhibitor,diclofensine;bts-54505,diclofensine;bts-54505,diclofensine;bts-54505,diclofensine;bts-54505,diclofensine;bts-54505,diclofensine;bts-54505,2
dopamine uptake inhibitor,vanoxerine;bupropion,vanoxerine;bupropion,vanoxerine;bupropion,vanoxerine;bupropion,vanoxerine;bupropion,vanoxerine;bupropion,2
egfr inhibitor,pd153035;pelitinib;rociletinib;dacomitinib;canertinib;arry-334543;gefitinib;afatinib;tak-285;neratinib;erlotinib;azd8931;tyrphostin-1,pd153035;pelitinib;rociletinib;dacomitinib;canertinib;arry-334543;gefitinib;afatinib;tak-285;neratinib;erlotinib;azd8931;tyrphostin-1,pd153035;pelitinib;rociletinib;dacomitinib;canertinib;arry-334543;gefitinib;afatinib;tak-285;neratinib;erlotinib;azd8931;tyrphostin-1,pd153035;pelitinib;rociletinib;dacomitinib;canertinib;arry-334543;gefitinib;afatinib;tak-285;neratinib;erlotinib;azd8931;tyrphostin-1,pd153035;pelitinib;rociletinib;dacomitinib;canertinib;arry-334543;gefitinib;afatinib;tak-285;neratinib;erlotinib;azd8931;tyrphostin-1,pd153035;pelitinib;rociletinib;dacomitinib;canertinib;arry-334543;gefitinib;afatinib;tak-285;neratinib;erlotinib;azd8931;tyrphostin-1,13
elastase inhibitor,azd9668;dmp-777,azd9668;dmp-777,azd9668;dmp-777,azd9668;dmp-777,azd9668;dmp-777,azd9668;dmp-777,2
endothelin receptor antagonist,atrasentan;ambrisentan;macitentan;bosentan,atrasentan;ambrisentan;macitentan;bosentan,atrasentan;ambrisentan;macitentan;bosentan,atrasentan;ambrisentan;macitentan;bosentan,atrasentan;ambrisentan;macitentan;bosentan,atrasentan;ambrisentan;macitentan;bosentan,4
estrogen receptor agonist,estriol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,estriol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,estriol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,estriol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,estriol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,estriol;mestranol;equol;mf-101;diethylstilbestrol;erteberel,6
estrogen receptor antagonist,clomifene;fulvestrant,clomifene;fulvestrant,clomifene;fulvestrant,clomifene;fulvestrant,clomifene;fulvestrant,clomifene;fulvestrant,2
estrogen receptor antagonist|selective estrogen receptor modulator (serm),raloxifene;tamoxifen,raloxifene;tamoxifen,raloxifene;tamoxifen,raloxifene;tamoxifen,raloxifene;tamoxifen,raloxifene;tamoxifen,2
farnesyltransferase inhibitor,lonafarnib;tipifarnib-p2;arglabin,lonafarnib;tipifarnib-p2;arglabin,lonafarnib;tipifarnib-p2;arglabin,lonafarnib;tipifarnib-p2;arglabin,lonafarnib;tipifarnib-p2;arglabin,lonafarnib;tipifarnib-p2;arglabin,3
fatty acid synthase inhibitor,pyrazinamide;cianidanol,pyrazinamide;cianidanol,pyrazinamide;cianidanol,pyrazinamide;cianidanol,pyrazinamide;cianidanol,pyrazinamide;cianidanol,2
fgfr inhibitor|vegfr inhibitor,lucitanib;brivanib;mk-2461,lucitanib;brivanib;mk-2461,lucitanib;brivanib;mk-2461,lucitanib;brivanib;mk-2461,lucitanib;brivanib;mk-2461,lucitanib;brivanib;mk-2461,3
focal adhesion kinase inhibitor,defactinib;pf-562271,defactinib;pf-562271,defactinib;pf-562271,defactinib;pf-562271,defactinib;pf-562271,defactinib;pf-562271,2
free radical scavenger,rebamipide;l-ergothioneine;nxy-059;nicaraven,rebamipide;l-ergothioneine;nxy-059;nicaraven,rebamipide;l-ergothioneine;nxy-059;nicaraven,rebamipide;l-ergothioneine;nxy-059;nicaraven,rebamipide;l-ergothioneine;nxy-059;nicaraven,rebamipide;l-ergothioneine;nxy-059;nicaraven,4
fungal squalene epoxidase inhibitor,liranaftate;tolnaftate;terbinafine;naftifine,liranaftate;tolnaftate;terbinafine;naftifine,liranaftate;tolnaftate;terbinafine;naftifine,liranaftate;tolnaftate;terbinafine;naftifine,liranaftate;tolnaftate;terbinafine;naftifine,liranaftate;tolnaftate;terbinafine;naftifine,4
gaba receptor agonist,cl-218872;ivermectin;temazepam,cl-218872;ivermectin;temazepam,cl-218872;ivermectin;temazepam,cl-218872;ivermectin;temazepam,cl-218872;ivermectin;temazepam,cl-218872;ivermectin;temazepam,3
gaba receptor antagonist,thiocolchicoside;primidone,thiocolchicoside;primidone,thiocolchicoside;primidone,thiocolchicoside;primidone,thiocolchicoside;primidone,thiocolchicoside;primidone,2
gaba receptor modulator,ganaxolone;tracazolate;etomidate;chlormezanone,ganaxolone;tracazolate;etomidate;chlormezanone,ganaxolone;tracazolate;etomidate;chlormezanone,ganaxolone;tracazolate;etomidate;chlormezanone,ganaxolone;tracazolate;etomidate;chlormezanone,ganaxolone;tracazolate;etomidate;chlormezanone,4
gamma secretase inhibitor,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,mk-0752;rg4733;bms-299897;pf-03084014;avagacestat;pinitol;semagacestat,7
glucocorticoid receptor agonist,clobetasol;rimexolone;ciclesonide;medrysone;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;fluticasone;prednisone;fludroxycortide;hydrocortisone;halcinonide,clobetasol;rimexolone;ciclesonide;medrysone;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;fluticasone;prednisone;fludroxycortide;hydrocortisone;halcinonide,clobetasol;rimexolone;ciclesonide;medrysone;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;fluticasone;prednisone;fludroxycortide;hydrocortisone;halcinonide,clobetasol;rimexolone;ciclesonide;medrysone;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;fluticasone;prednisone;fludroxycortide;hydrocortisone;halcinonide,clobetasol;rimexolone;ciclesonide;medrysone;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;fluticasone;prednisone;fludroxycortide;hydrocortisone;halcinonide,clobetasol;rimexolone;ciclesonide;medrysone;fluorometholone;fluocinonide;triamcinolone;methylprednisolone;dexamethasone;fluticasone;prednisone;fludroxycortide;hydrocortisone;halcinonide,14
"glucose-dependent insulinotropic receptor (gdir, gpr119) agonists",apd668;gsk1292263,apd668;gsk1292263,apd668;gsk1292263,apd668;gsk1292263,apd668;gsk1292263,apd668;gsk1292263,2
glucosidase inhibitor,luteolin;acarbose;voglibose;miglitol,luteolin;acarbose;voglibose;miglitol,luteolin;acarbose;voglibose;miglitol,luteolin;acarbose;voglibose;miglitol,luteolin;acarbose;voglibose;miglitol,luteolin;acarbose;voglibose;miglitol,4
glutamate receptor agonist,bci-540;ampalex;d-serine;aniracetam,bci-540;ampalex;d-serine;aniracetam,bci-540;ampalex;d-serine;aniracetam,bci-540;ampalex;d-serine;aniracetam,bci-540;ampalex;d-serine;aniracetam,bci-540;ampalex;d-serine;aniracetam,4
glutamate receptor antagonist,budipine;ly215490;fenobam;basimglurant;amantadine,budipine;ly215490;fenobam;basimglurant;amantadine,budipine;ly215490;fenobam;basimglurant;amantadine,budipine;ly215490;fenobam;basimglurant;amantadine,budipine;ly215490;fenobam;basimglurant;amantadine,budipine;ly215490;fenobam;basimglurant;amantadine,5
glutamate receptor modulator,cx516;s18986;mibampator,cx516;s18986;mibampator,cx516;s18986;mibampator,cx516;s18986;mibampator,cx516;s18986;mibampator,cx516;s18986;mibampator,3
gonadotropin releasing factor hormone receptor agonist,triptorelin;goserelin-acetate,triptorelin;goserelin-acetate,triptorelin;goserelin-acetate,triptorelin;goserelin-acetate,triptorelin;goserelin-acetate,triptorelin;goserelin-acetate,2
growth hormone secretagogue receptor agonist,anamorelin;ibutamoren,anamorelin;ibutamoren,anamorelin;ibutamoren,anamorelin;ibutamoren,anamorelin;ibutamoren,anamorelin;ibutamoren,2
hcv inhibitor,grazoprevir;clemizole;ledipasvir;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,grazoprevir;ledipasvir;clemizole;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,grazoprevir;clemizole;ledipasvir;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,grazoprevir;clemizole;ledipasvir;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,grazoprevir;clemizole;ledipasvir;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,grazoprevir;clemizole;ledipasvir;dasabuvir;narlaprevir;simeprevir;mericitabine;vx-222,8
hdac inhibitor,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,belinostat;resminostat;thm-i-94;rg2833;valproic-acid;dacinostat;romidepsin;tacedinaline;acy-1215;jnj-26854165;sb-939;entinostat;phenylbutyrate,13
histamine receptor agonist,histamine;lidocaine,histamine;lidocaine,histamine;lidocaine,histamine;lidocaine,histamine;lidocaine,histamine;lidocaine,2
histamine receptor antagonist,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;acrivastine;lodoxamide;levomequitazine;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;acrivastine;lodoxamide;levomequitazine;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;acrivastine;lodoxamide;levomequitazine;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;acrivastine;lodoxamide;levomequitazine;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;acrivastine;lodoxamide;levomequitazine;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,cyproheptadine;levocabastine;abt-239;levocetirizine;ici-162846;cimetidine;emedastine;chlorphenamine;famotidine;oxatomide;doxepin;acrivastine;lodoxamide;levomequitazine;lafutidine;tecastemizole;loratadine;fexofenadine;azelastine;ranitidine;bavisant;bepotastine;epinastine;mepyramine,24
histamine receptor modulator,amlexanox;cyclizine,amlexanox;cyclizine,amlexanox;cyclizine,amlexanox;cyclizine,amlexanox;cyclizine,amlexanox;cyclizine,2
hiv integrase inhibitor,dolutegravir;raltegravir;bms-707035,dolutegravir;raltegravir;bms-707035,dolutegravir;raltegravir;bms-707035,dolutegravir;raltegravir;bms-707035,dolutegravir;raltegravir;bms-707035,dolutegravir;raltegravir;bms-707035,3
hiv protease inhibitor,saquinavir;indinavir;tipranavir;efavirenz;darunavir;lopinavir,saquinavir;indinavir;tipranavir;efavirenz;darunavir;lopinavir,saquinavir;indinavir;tipranavir;efavirenz;darunavir;lopinavir,saquinavir;indinavir;tipranavir;efavirenz;darunavir;lopinavir,saquinavir;indinavir;tipranavir;efavirenz;darunavir;lopinavir,saquinavir;indinavir;tipranavir;efavirenz;darunavir;lopinavir,6
hmgcr inhibitor,procaine;simvastatin;pravastatin;rosuvastatin;pitavastatin;atorvastatin,procaine;simvastatin;pravastatin;rosuvastatin;pitavastatin;atorvastatin,procaine;simvastatin;pravastatin;rosuvastatin;pitavastatin;atorvastatin,procaine;simvastatin;pravastatin;rosuvastatin;pitavastatin;atorvastatin,procaine;simvastatin;pravastatin;rosuvastatin;pitavastatin;atorvastatin,simvastatin;procaine;pravastatin;rosuvastatin;pitavastatin;atorvastatin,6
hsp inhibitor,alvespimycin;xl888;kw-2478;biib021;snx-2112,alvespimycin;xl888;kw-2478;biib021;snx-2112,alvespimycin;xl888;kw-2478;biib021;snx-2112,alvespimycin;xl888;kw-2478;biib021;snx-2112,alvespimycin;xl888;kw-2478;biib021;snx-2112,alvespimycin;xl888;kw-2478;biib021;snx-2112,5
immunostimulant,metenkephalin;nikethamide,metenkephalin;nikethamide,metenkephalin;nikethamide,metenkephalin;nikethamide,metenkephalin;nikethamide,metenkephalin;nikethamide,2
immunosuppressant,cromoglicic-acid;lobenzarit,cromoglicic-acid;lobenzarit,cromoglicic-acid;lobenzarit,cromoglicic-acid;lobenzarit,cromoglicic-acid;lobenzarit,cromoglicic-acid;lobenzarit,2
inosine monophosphate dehydrogenase inhibitor,merimepodib;avn-944,merimepodib;avn-944,merimepodib;avn-944,merimepodib;avn-944,merimepodib;avn-944,merimepodib;avn-944,2
insulin secretagogue,glimepiride;nateglinide;tak-875;repaglinide,glimepiride;nateglinide;tak-875;repaglinide,glimepiride;nateglinide;tak-875;repaglinide,glimepiride;nateglinide;tak-875;repaglinide,glimepiride;nateglinide;tak-875;repaglinide,glimepiride;nateglinide;tak-875;repaglinide,4
insulin sensitizer,inositol;metformin,inositol;metformin,inositol;metformin,inositol;metformin,inositol;metformin,inositol;metformin,2
integrin antagonist,firategrast;sb-683698;atn-161;cilengitide;ct-7758,firategrast;sb-683698;atn-161;cilengitide;ct-7758,firategrast;sb-683698;atn-161;cilengitide;ct-7758,firategrast;sb-683698;atn-161;cilengitide;ct-7758,firategrast;sb-683698;atn-161;cilengitide;ct-7758,firategrast;sb-683698;atn-161;cilengitide;ct-7758,5
isocitrate dehydrogenase inhibitor,agi-6780;agi-5198,agi-6780;agi-5198,agi-6780;agi-5198,agi-6780;agi-5198,agi-6780;agi-5198,agi-6780;agi-5198,2
jak inhibitor,filgotinib;tofacitinib;ly2784544;azd1480;cyt387,filgotinib;tofacitinib;ly2784544;azd1480;cyt387,filgotinib;tofacitinib;ly2784544;azd1480;cyt387,filgotinib;tofacitinib;ly2784544;azd1480;cyt387,filgotinib;tofacitinib;ly2784544;azd1480;cyt387,filgotinib;tofacitinib;ly2784544;azd1480;cyt387,5
jnk inhibitor,cc-401;cc-930,cc-401;cc-930,cc-401;cc-930,cc-401;cc-930,cc-401;cc-930,cc-401;cc-930,2
leukotriene inhibitor,ubenimex;quiflapon,ubenimex;quiflapon,ubenimex;quiflapon,quiflapon;ubenimex,ubenimex;quiflapon,ubenimex;quiflapon,2
leukotriene receptor antagonist,sr-2640;zafirlukast;tomelukast;fpl-55712;pranlukast,sr-2640;zafirlukast;tomelukast;fpl-55712;pranlukast,sr-2640;zafirlukast;tomelukast;fpl-55712;pranlukast,sr-2640;zafirlukast;tomelukast;fpl-55712;pranlukast,sr-2640;zafirlukast;fpl-55712;pranlukast,sr-2640;zafirlukast;fpl-55712;pranlukast,5
lipase inhibitor,oxybenzone;orlistat,oxybenzone;orlistat,oxybenzone;orlistat,oxybenzone;orlistat,oxybenzone;orlistat,oxybenzone;orlistat,2
lipoxygenase inhibitor,am-24;diethylcarbamazine;masoprocol,am-24;diethylcarbamazine;masoprocol,am-24;diethylcarbamazine;masoprocol,am-24;diethylcarbamazine;masoprocol,am-24;diethylcarbamazine;masoprocol,am-24;diethylcarbamazine;masoprocol,3
matrix metalloprotease inhibitor,batimastat;marimastat;ilomastat,batimastat;marimastat;ilomastat,batimastat;marimastat;ilomastat,batimastat;marimastat;ilomastat,batimastat;marimastat;ilomastat,batimastat;marimastat;ilomastat,3
mdm inhibitor,nutlin-3;rg-7388;amg-232,nutlin-3;rg-7388;amg-232,nutlin-3;rg-7388;amg-232,nutlin-3;rg-7388;amg-232,nutlin-3;rg-7388;amg-232,nutlin-3;rg-7388;amg-232,3
mek inhibitor,tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,8
membrane integrity inhibitor,miltefosine;tetracaine,miltefosine;tetracaine,miltefosine;tetracaine,miltefosine;tetracaine,miltefosine;tetracaine,miltefosine;tetracaine,2
membrane permeability inhibitor,exalamide;agp-103,exalamide;agp-103,exalamide;agp-103,exalamide;agp-103,exalamide;agp-103,exalamide;agp-103,2
microtubule inhibitor,cabazitaxel;colchicine;cytochalasin-b;triclabendazole,cabazitaxel;colchicine;cytochalasin-b;triclabendazole,cabazitaxel;colchicine;cytochalasin-b;triclabendazole,cabazitaxel;colchicine;cytochalasin-b;triclabendazole,cabazitaxel;colchicine;cytochalasin-b;triclabendazole,cabazitaxel;colchicine;triclabendazole,4
mineralocorticoid receptor antagonist,canrenoic-acid;drospirenone;spironolactone,canrenoic-acid;drospirenone;spironolactone,canrenoic-acid;drospirenone;spironolactone,canrenoic-acid;drospirenone;spironolactone,canrenoic-acid;drospirenone;spironolactone,canrenoic-acid;drospirenone;spironolactone,3
monoamine oxidase inhibitor,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,6
mtor inhibitor,deforolimus;everolimus;mln0128;temsirolimus;sirolimus;azd2014,deforolimus;everolimus;mln0128;temsirolimus;sirolimus;azd2014,deforolimus;everolimus;mln0128;temsirolimus;sirolimus;azd2014,deforolimus;everolimus;mln0128;temsirolimus;sirolimus;azd2014,deforolimus;everolimus;mln0128;temsirolimus;sirolimus;azd2014,deforolimus;everolimus;mln0128;temsirolimus;sirolimus;azd2014,6
mtor inhibitor|pi3k inhibitor,pki-179;nvp-bez235;pf-04691502;voxtalisib,pki-179;nvp-bez235;pf-04691502;voxtalisib,pki-179;nvp-bez235;pf-04691502;voxtalisib,pki-179;nvp-bez235;pf-04691502;voxtalisib,pki-179;nvp-bez235;pf-04691502;voxtalisib,pki-179;nvp-bez235;pf-04691502;voxtalisib,4
mucolytic agent,telmesteine;sorbitol;acetylcysteine,telmesteine;sorbitol;acetylcysteine,telmesteine;sorbitol;acetylcysteine,telmesteine;sorbitol;acetylcysteine,telmesteine;sorbitol;acetylcysteine,telmesteine;sorbitol;acetylcysteine,3
neurotrophic agent,inosine;pym50028;nsi-189,inosine;pym50028;nsi-189,inosine;pym50028;nsi-189,inosine;pym50028;nsi-189,inosine;pym50028;nsi-189,inosine;nsi-189,3
nfkb pathway inhibitor,bindarit;erythromycin;sasapyrine;cepharanthine;gibberellic-acid,bindarit;erythromycin;sasapyrine;cepharanthine;gibberellic-acid,bindarit;erythromycin;sasapyrine;cepharanthine;gibberellic-acid,bindarit;erythromycin;sasapyrine;cepharanthine;gibberellic-acid,bindarit;erythromycin;sasapyrine;cepharanthine;gibberellic-acid,bindarit;erythromycin;sasapyrine;cepharanthine,5
nitric oxide donor,linsidomine;pa-824,linsidomine;pa-824,linsidomine;pa-824,linsidomine;pa-824,linsidomine;pa-824,linsidomine;pa-824,2
nitric oxide stimulant,l-citrulline;isosorbide,l-citrulline;isosorbide,l-citrulline;isosorbide,l-citrulline;isosorbide,l-citrulline;isosorbide,l-citrulline;isosorbide,2
nitric oxide synthase inhibitor,aminoguanidine;l-name;2-iminobiotin;targinine,aminoguanidine;l-name;2-iminobiotin;targinine,aminoguanidine;l-name;2-iminobiotin;targinine,aminoguanidine;l-name;2-iminobiotin;targinine,aminoguanidine;l-name;2-iminobiotin;targinine,aminoguanidine;l-name;2-iminobiotin;targinine,4
non-nucleoside reverse transcriptase inhibitor,dapivirine;rilpivirine;lersivirine;etravirine,dapivirine;rilpivirine;lersivirine;etravirine,dapivirine;rilpivirine;lersivirine;etravirine,dapivirine;rilpivirine;lersivirine;etravirine,dapivirine;rilpivirine;lersivirine;etravirine,dapivirine;rilpivirine;lersivirine;etravirine,4
norepinephrine reputake inhibitor|tricyclic antidepressant,trimipramine;maprotiline,trimipramine;maprotiline,trimipramine;maprotiline,trimipramine;maprotiline,trimipramine;maprotiline,trimipramine;maprotiline,2
nucleoside reverse transcriptase inhibitor,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,4
o6-alkylguanine-dna alkyltransferase inhibitor,lomeguatrib;o6-benzylguanine,lomeguatrib;o6-benzylguanine,lomeguatrib;o6-benzylguanine,lomeguatrib;o6-benzylguanine,lomeguatrib;o6-benzylguanine,lomeguatrib;o6-benzylguanine,2
opioid receptor agonist,salvinorin-a;loperamide;trimebutine,salvinorin-a;loperamide;trimebutine,salvinorin-a;loperamide;trimebutine,salvinorin-a;loperamide;trimebutine,salvinorin-a;loperamide;trimebutine,salvinorin-a;loperamide;trimebutine,3
